species/code,symbol
human,CHD2
human,AKT1
human,FGF13
human,MTOR
human,RICTOR
human,HCN1
human,KCNA2
human,NFKB1
human,PIK3CA
human,PRR5
human,PRKCA
human,SCN3B
human,MAPK11
human,PCDH19
human,SCN1A
human,SCN1B
human,SCN2A
human,SCN2B
human,SCN3A
human,SCN4B
human,SCN8A
human,MLST8
human,SNTA1
human,STXBP1
human,TNF
human,MAPKAP1
human,PRR5L
human,CALM1
human,CAMK2A
