slug	status	input_sha256	n_pfacts	n_retracted	candidate_retractions	elapsed_seconds	solution_written	error
46_XX_Gonadal_Dysgenesis	TIMED_OUT	529cb52bd2156b093dc52c62069cc533d113a7c30f345d656d8e6cf37f2ee7e5	67	NA	0	60.489	True	NA
Apparent_Mineralocorticoid_Excess	TIMED_OUT	aeeb3e3f932a916abb403e99624a72b2d73a6c0184add24b8aaf4410acabe263	12	NA	0	60.528	True	NA
Autosomal_Agammaglobulinemia	TIMED_OUT	e7f170686a308fa8985f4c876c3317b32a91ad58d658b1a1164bd379fa04f9dd	66	NA	0	60.508	True	NA
Autosomal_Dominant_Hyper-IgE_Syndrome	TIMED_OUT	e2f9c67b7a2aff64110074f69fc602fd902923b62897ad0b38053f398acf8ff5	10	NA	0	60.367	True	NA
Bazex_Dupre_Christol_Syndrome	ALL_MAPPINGS_CONSISTENT	1d3e2cd729dbd7fd4d66c0d278bce7450b4262d1f9733728c36c3778cb88f091	8	0	0	1.231	True	NA
Benign_Neonatal_Seizures	TIMED_OUT	6bdddc2e9bac89291dcf2f54d1fac14d5552b9db0039d96b5c0714899ae845f4	17	NA	0	60.487	True	NA
Biotin_Thiamine_Responsive_Basal_Ganglia_Disease	TIMED_OUT	f5d0a870071d3a311111fadf52661e916110ce21b3ba5c96ff30cf17bbee86dd	11	NA	0	60.417	True	NA
CANVAS	TIMED_OUT	0dfb0f0616ee55b54e8b0db31c8bcb25cc2e0286277b58c5ebadd101dd245ec5	10	NA	0	60.392	True	NA
COL11A2_Skeletal_Spectrum	RETRACTED	83c6c7af4002151621d6d96d48f97273c47a1211122fd4de66c1b2301684cfd1	10	1	1	54.106	True	NA
Chromosome_18p_Deletion_Syndrome	TIMED_OUT	f03b1c781b794315adff01bbf0219a8613f6ff87e99b61b5336b0099bda817a2	11	NA	0	60.41	True	NA
Chromosome_2q32-q33_Deletion_Syndrome	TIMED_OUT	212a48e361a84b944d2fcf2c6127c9d2036b3eecb2d783045e1bffb12ffea119	10	NA	0	60.477	True	NA
Combined_Immunodeficiency_Due_To_CD3gamma_Deficiency	ALL_MAPPINGS_CONSISTENT	94b45f8501f1156242461f02af5588e2a2edec67e96f8f227cbff22548e2cf9e	8	0	0	1.095	True	NA
Congenital_Stationary_Night_Blindness	TIMED_OUT	c19355fa09a29b03c865a76c9b2930b9304bee7b364f91093764e51485eba44e	26	NA	1	60.508	True	NA
Diffuse_Nonepidermolytic_Palmoplantar_Keratoderma	ALL_MAPPINGS_CONSISTENT	dd5cf9d69f2e1967323341d906e0919b9d1d494ab543d49e18f62a1ab3482c22	8	0	0	1.304	True	NA
Duane_Radial_Ray_Syndrome	ALL_MAPPINGS_CONSISTENT	d97fd6bd06882a843d2c4e71fc87ef74f475449f78d151e98fe30e8217da7a6e	9	0	0	6.299	True	NA
Elsahy-Waters_Syndrome	ALL_MAPPINGS_CONSISTENT	7109988a242919e75760e592e295fcbb0cd16e2309d10e72106732b36642deaf	9	0	0	5.866	True	NA
Erythrokeratodermia_Variabilis	TIMED_OUT	064be0335ca046b69412920e643645dfd04c23635bce345c0c811d2605197b62	13	NA	0	60.51	True	NA
Familial_Hyperaldosteronism	TIMED_OUT	a23292bbceb6f1d877545c6e34c244ec267f7d18d919e5de0e615382846da0ba	41	NA	0	60.607	True	NA
Fontaine_Progeroid_Syndrome	TIMED_OUT	43704665c5d40f0aae828963695476d195c314a0eede8e3bd1397d951045cd85	12	NA	0	60.381	True	NA
Glycogen_Storage_Disease_Type_IX	TIMED_OUT	91854a0105e3f7c9c7486acbc1b78f181a823720da9e11eede01e2673537265b	40	NA	1	60.44	True	NA
HSD10_Mitochondrial_Disease	ALL_MAPPINGS_CONSISTENT	c8ad6e68a0aadf89f91e443011d1cbbd3a528f3b23c66bbc743e02eab91c31cc	9	0	0	5.841	True	NA
H_Syndrome	TIMED_OUT	f0c03b5982e94910f4263643ae54d766218c3b78e741661b39130f956a0d2e4e	10	NA	0	60.402	True	NA
Hunter_syndrome	TIMED_OUT	d71d4f3648266d4ab85aa698f90ede69bb6f4965c100621628b94dcb76831811	22	NA	0	60.5	True	NA
Hypotonia-Cystinuria_Syndrome	TIMED_OUT	55d71ecca2e84793117c64bbb62c32f80efda5cb531f98ec27d7852272ae87bc	11	NA	1	60.415	True	NA
Immunodeficiency_25	ALL_MAPPINGS_CONSISTENT	7858d9b6bdb6ede236b4a05454720f36d0be2de747526820bd446248a6483917	7	0	0	0.591	True	NA
Inherited_Retinal_Dystrophy	TIMED_OUT	98b42c3e9429a824e91858b2e542f0ba18cb9ac09450e296e5e68b8c67a8d56a	46	NA	1	60.674	True	NA
Intellectual_Disability_Autosomal_Dominant_30	ALL_MAPPINGS_CONSISTENT	43fdb00bacc0cf6a14aa4376333fcc096bf3d5d4e17fa9e1e08c79b72ec3bfc8	7	0	0	0.597	True	NA
Leukocyte_Adhesion_Deficiency_Type_II	TIMED_OUT	248404c4f90f13e5901490095a996623037d3b219fcb4286af2279c2eb4c755c	10	NA	0	60.384	True	NA
Methylcobalamin_Deficiency_Type_cblE	TIMED_OUT	7c3c316eab92d3d671647b3829054d4e7aecb61cf3de7fef76b628c744950ce0	10	NA	0	60.433	True	NA
Methylcobalamin_Deficiency_Type_cblG	ALL_MAPPINGS_CONSISTENT	b48cd95bc363a321e052d68516b99a7707de299852b5975338ff7c080d745e60	8	0	0	1.145	True	NA
Mucolipidosis_Type_III_Alpha_Beta	ALL_MAPPINGS_CONSISTENT	b4c4153b1259b901283be9178481b06e55a26605774e9a0c3ad8d9da75ae0d9e	9	0	0	6.026	True	NA
Musculocontractural_Ehlers-Danlos_Syndrome	TIMED_OUT	2cab9b57784aff43d3bdc76e721d0003f3155c2089d75255e2c9f93b62b45f86	18	NA	0	60.498	True	NA
Myofibrillar_Myopathy	TIMED_OUT	20ff9727bc7c5861546f9aa7aa1aa7de729d26ae77a9f349ca2b49811e0026bf	79	NA	0	60.464	True	NA
Northern_Epilepsy	ALL_MAPPINGS_CONSISTENT	e94fb3917524982396b6f887985d97675630874f636b9ec312ab95d669142fc2	9	0	0	5.989	True	NA
Raine_Syndrome	ALL_MAPPINGS_CONSISTENT	ea3b3d823b362ac96a9497baede8b350d62bf00851b95f232a2576cdb443390c	9	0	0	5.873	True	NA
Sensory_Ataxic_Neuropathy_Dysarthria_Ophthalmoparesis	ALL_MAPPINGS_CONSISTENT	686156f569892a94a6a1b048833d7c4a878c1fd97c9d3525b7ec41f64c0d034b	9	0	0	6.241	True	NA
