slug	previous_status	status	previous_confidence	confidence	previous_retractions	retractions	changed_choices	input_sha256
46_XX_Gonadal_Dysgenesis	TIMED_OUT	TIMED_OUT	NA	NA	NA	NA	NA	529cb52bd2156b093dc52c62069cc533d113a7c30f345d656d8e6cf37f2ee7e5
Apparent_Mineralocorticoid_Excess	TIMED_OUT	TIMED_OUT	NA	NA	NA	NA	NA	aeeb3e3f932a916abb403e99624a72b2d73a6c0184add24b8aaf4410acabe263
Autosomal_Agammaglobulinemia	TIMED_OUT	TIMED_OUT	NA	NA	NA	NA	NA	e7f170686a308fa8985f4c876c3317b32a91ad58d658b1a1164bd379fa04f9dd
Autosomal_Dominant_Hyper-IgE_Syndrome	RETRACTED	ALL_MAPPINGS_CONSISTENT	0.5	0.9	1	0	1	e2f9c67b7a2aff64110074f69fc602fd902923b62897ad0b38053f398acf8ff5
Bazex_Dupre_Christol_Syndrome	RETRACTED	ALL_MAPPINGS_CONSISTENT	0.5	0.9	1	0	1	1d3e2cd729dbd7fd4d66c0d278bce7450b4262d1f9733728c36c3778cb88f091
Benign_Neonatal_Seizures	TIMED_OUT	TIMED_OUT	NA	NA	NA	NA	NA	6bdddc2e9bac89291dcf2f54d1fac14d5552b9db0039d96b5c0714899ae845f4
Biotin_Thiamine_Responsive_Basal_Ganglia_Disease	TIMED_OUT	TIMED_OUT	NA	NA	NA	NA	NA	f5d0a870071d3a311111fadf52661e916110ce21b3ba5c96ff30cf17bbee86dd
CANVAS	RETRACTED	ALL_MAPPINGS_CONSISTENT	0.5	0.9	1	0	1	0dfb0f0616ee55b54e8b0db31c8bcb25cc2e0286277b58c5ebadd101dd245ec5
COL11A2_Skeletal_Spectrum	RETRACTED	RETRACTED	0.5	0.5	2	1	1	83c6c7af4002151621d6d96d48f97273c47a1211122fd4de66c1b2301684cfd1
Chromosome_18p_Deletion_Syndrome	TIMED_OUT	TIMED_OUT	NA	NA	NA	NA	NA	f03b1c781b794315adff01bbf0219a8613f6ff87e99b61b5336b0099bda817a2
Chromosome_2q32-q33_Deletion_Syndrome	RETRACTED	ALL_MAPPINGS_CONSISTENT	0.5	0.9	1	0	1	212a48e361a84b944d2fcf2c6127c9d2036b3eecb2d783045e1bffb12ffea119
Combined_Immunodeficiency_Due_To_CD3gamma_Deficiency	RETRACTED	ALL_MAPPINGS_CONSISTENT	0.5	0.9	1	0	1	94b45f8501f1156242461f02af5588e2a2edec67e96f8f227cbff22548e2cf9e
Congenital_Stationary_Night_Blindness	TIMED_OUT	TIMED_OUT	NA	NA	NA	NA	NA	c19355fa09a29b03c865a76c9b2930b9304bee7b364f91093764e51485eba44e
Diffuse_Nonepidermolytic_Palmoplantar_Keratoderma	RETRACTED	ALL_MAPPINGS_CONSISTENT	0.5	0.9	1	0	1	dd5cf9d69f2e1967323341d906e0919b9d1d494ab543d49e18f62a1ab3482c22
Duane_Radial_Ray_Syndrome	RETRACTED	ALL_MAPPINGS_CONSISTENT	0.5	0.9	1	0	1	d97fd6bd06882a843d2c4e71fc87ef74f475449f78d151e98fe30e8217da7a6e
Elsahy-Waters_Syndrome	RETRACTED	ALL_MAPPINGS_CONSISTENT	0.5	0.9	1	0	1	7109988a242919e75760e592e295fcbb0cd16e2309d10e72106732b36642deaf
Erythrokeratodermia_Variabilis	TIMED_OUT	TIMED_OUT	NA	NA	NA	NA	NA	064be0335ca046b69412920e643645dfd04c23635bce345c0c811d2605197b62
Familial_Hyperaldosteronism	TIMED_OUT	TIMED_OUT	NA	NA	NA	NA	NA	a23292bbceb6f1d877545c6e34c244ec267f7d18d919e5de0e615382846da0ba
Fontaine_Progeroid_Syndrome	TIMED_OUT	TIMED_OUT	NA	NA	NA	NA	NA	43704665c5d40f0aae828963695476d195c314a0eede8e3bd1397d951045cd85
Glycogen_Storage_Disease_Type_IX	TIMED_OUT	TIMED_OUT	NA	NA	NA	NA	NA	91854a0105e3f7c9c7486acbc1b78f181a823720da9e11eede01e2673537265b
HSD10_Mitochondrial_Disease	RETRACTED	ALL_MAPPINGS_CONSISTENT	0.5	0.9	1	0	1	c8ad6e68a0aadf89f91e443011d1cbbd3a528f3b23c66bbc743e02eab91c31cc
H_Syndrome	TIMED_OUT	TIMED_OUT	NA	NA	NA	NA	NA	f0c03b5982e94910f4263643ae54d766218c3b78e741661b39130f956a0d2e4e
Hunter_syndrome	TIMED_OUT	TIMED_OUT	NA	NA	NA	NA	NA	d71d4f3648266d4ab85aa698f90ede69bb6f4965c100621628b94dcb76831811
Hypotonia-Cystinuria_Syndrome	TIMED_OUT	TIMED_OUT	NA	NA	NA	NA	NA	55d71ecca2e84793117c64bbb62c32f80efda5cb531f98ec27d7852272ae87bc
Immunodeficiency_25	RETRACTED	ALL_MAPPINGS_CONSISTENT	0.5	0.9	1	0	1	7858d9b6bdb6ede236b4a05454720f36d0be2de747526820bd446248a6483917
Inherited_Retinal_Dystrophy	TIMED_OUT	TIMED_OUT	NA	NA	NA	NA	NA	98b42c3e9429a824e91858b2e542f0ba18cb9ac09450e296e5e68b8c67a8d56a
Intellectual_Disability_Autosomal_Dominant_30	RETRACTED	ALL_MAPPINGS_CONSISTENT	0.5	0.9	1	0	1	43fdb00bacc0cf6a14aa4376333fcc096bf3d5d4e17fa9e1e08c79b72ec3bfc8
Leukocyte_Adhesion_Deficiency_Type_II	RETRACTED	ALL_MAPPINGS_CONSISTENT	0.5	0.9	1	0	1	248404c4f90f13e5901490095a996623037d3b219fcb4286af2279c2eb4c755c
Methylcobalamin_Deficiency_Type_cblE	RETRACTED	ALL_MAPPINGS_CONSISTENT	0.5	0.9	1	0	1	7c3c316eab92d3d671647b3829054d4e7aecb61cf3de7fef76b628c744950ce0
Methylcobalamin_Deficiency_Type_cblG	RETRACTED	ALL_MAPPINGS_CONSISTENT	0.5	0.9	1	0	1	b48cd95bc363a321e052d68516b99a7707de299852b5975338ff7c080d745e60
Mucolipidosis_Type_III_Alpha_Beta	RETRACTED	ALL_MAPPINGS_CONSISTENT	0.5	0.9	1	0	1	b4c4153b1259b901283be9178481b06e55a26605774e9a0c3ad8d9da75ae0d9e
Musculocontractural_Ehlers-Danlos_Syndrome	TIMED_OUT	TIMED_OUT	NA	NA	NA	NA	NA	2cab9b57784aff43d3bdc76e721d0003f3155c2089d75255e2c9f93b62b45f86
Myofibrillar_Myopathy	TIMED_OUT	TIMED_OUT	NA	NA	NA	NA	NA	20ff9727bc7c5861546f9aa7aa1aa7de729d26ae77a9f349ca2b49811e0026bf
Northern_Epilepsy	RETRACTED	ALL_MAPPINGS_CONSISTENT	0.5	0.9	1	0	1	e94fb3917524982396b6f887985d97675630874f636b9ec312ab95d669142fc2
Raine_Syndrome	RETRACTED	ALL_MAPPINGS_CONSISTENT	0.5	0.9	1	0	1	ea3b3d823b362ac96a9497baede8b350d62bf00851b95f232a2576cdb443390c
