mondo_id	label	dismech_status	1079_categories	category_source
MONDO:0018160	hereditary retinoblastoma	absent		
MONDO:0008748	Hermansky-Pudlak syndrome 1	secondary_only		
MONDO:0004952	Hodgkins lymphoma	absent		
MONDO:0008310	Hutchinson-Gilford progeria syndrome	secondary_only		
MONDO:0018037	hyper-IgE syndrome	absent		
MONDO:0003947	hyper-IgM syndrome	absent		
MONDO:0009849	hyperimmunoglobulinemia D with periodic fever	absent		
MONDO:0009734	hyperinsulinemic hypoglycemia, familial, 1	absent		
MONDO:0008224	hyperkalemic periodic paralysis	secondary_only		
MONDO:0005152	hypopituitarism	absent		
MONDO:0800029	idiopathic pulmonary fibrosis	absent		
MONDO:0010580	immune dysregulation-polyendocrinopathy-enteropathy-X-linked syndrome	absent		
MONDO:0010631	incontinentia pigmenti	absent		
MONDO:0019146	inherited susceptibility to mycobacterial diseases	absent		
MONDO:0018301	interstitial cystitis	absent		
MONDO:0100429	intrahepatic cholestasis of pregnancy	absent		
MONDO:0008278	juvenile polyposis/hereditary hemorrhagic telangiectasia syndrome	secondary_only		
MONDO:0017570	leukocyte adhesion deficiency	absent		
MONDO:0007293	leukocyte adhesion deficiency 1	absent		
MONDO:0009953	leukocyte adhesion deficiency type II	absent		
MONDO:0006266	Leydig cell tumor	absent		
MONDO:0011705	lymphangioleiomyomatosis	absent		
MONDO:0800449	lysosomal acid lipase deficiency	secondary_only		
MONDO:0800188	malignant hyperthermia susceptibility	absent		
MONDO:0859147	Marbach-Rustad progeroid syndrome	absent		
MONDO:0007452	maturity-onset diabetes of the young type 1	secondary_only		
MONDO:0007453	maturity-onset diabetes of the young type 2	secondary_only		
MONDO:0017771	Mayer-Rokitansky-Kuster-Hauser syndrome	secondary_only		
MONDO:0017775	melioidosis	absent		
MONDO:0010790	MERRF syndrome	absent		
MONDO:0001117	methemoglobinemia	absent		
MONDO:0001586	mucopolysaccharidosis type 1	absent		
MONDO:0009659	mucopolysaccharidosis type 4A	secondary_only		
MONDO:0007540	multiple endocrine neoplasia type 1	absent		
MONDO:0008234	multiple endocrine neoplasia type 2A	absent		
MONDO:0016107	myotonic dystrophy	absent		
MONDO:0008062	narcolepsy 1	absent		
MONDO:0018360	neonatal lupus erythematosus	absent		
MONDO:0016383	nephrogenic diabetes insipidus	absent		
MONDO:0007039	NF2-related schwannomatosis	absent		
MONDO:0009757	Niemann-Pick disease, type C1	secondary_only		
MONDO:0018908	non-Hodgkin lymphoma	absent		
MONDO:0009366	normal pressure hydrocephalus	absent		
MONDO:0008746	oculocutaneous albinism type 2	absent		
MONDO:0008116	oculopharyngeal muscular dystrophy	absent		
MONDO:0019019	osteogenesis imperfecta	absent		
MONDO:0700272	PALB2-related cancer predisposition	absent		
MONDO:0100244	paroxysmal nocturnal hemoglobinuria	absent		
MONDO:0010134	Pendred syndrome	absent		
MONDO:0008228	pernicious anemia	absent		
MONDO:0008274	polyostotic fibrous dysplasia	absent		
MONDO:0015104	porphyria cutanea tarda	absent		
MONDO:0009823	primary hyperoxaluria type 1	absent		
MONDO:0005387	primary ovarian failure	absent		
MONDO:0020732	progeria	absent		
MONDO:0015333	progeroid syndrome	absent		
MONDO:0005181	progressive external ophthalmoplegia	absent		
MONDO:0009945	pyridoxine-dependent epilepsy	absent		
MONDO:0009948	pyropoikilocytosis, hereditary	absent		
MONDO:0016019	Rasmussen subacute encephalitis	absent		
MONDO:0001909	renal tubular acidosis	absent		
MONDO:0010775	retinitis pigmentosa-deafness syndrome	absent		
MONDO:0005212	rhabdomyosarcoma	absent		
MONDO:0008247	Robin sequence-oligodactyly syndrome	absent		
MONDO:0019359	Rocky mountain spotted fever	absent		
MONDO:0002479	Sertoli-Leydig cell tumor	absent		
MONDO:0007064	severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-negative, NK cell-negative, due to adenosine deaminase deficiency	absent		
