slug	name	parent_term	n_subtypes	n_pfacts	agrees	silent	reversed	same_term	status	n_retracted
3-M_Syndrome	3-M Syndrome	MONDO:0007477	3	19	3	0	0	0	ALL_MAPPINGS_CONSISTENT	0
3-Phosphoglycerate_Dehydrogenase_Deficiency	3-Phosphoglycerate Dehydrogenase Deficiency	MONDO:0011152	1	13	0	1	0	0	ALL_MAPPINGS_CONSISTENT	0
3MC_Syndrome	3MC Syndrome	MONDO:0017398	3	23	3	0	0	0	ALL_MAPPINGS_CONSISTENT	0
46_XX_Gonadal_Dysgenesis	46,XX Gonadal Dysgenesis	MONDO:0009299	11	65	10	1	0	0	RETRACTED	1
46_XX_Testicular_DSD	46,XX testicular disorder of sex development	MONDO:0100249	4	29	4	0	0	0	ALL_MAPPINGS_CONSISTENT	0
ALDH18A1_De_Barsy_Spectrum	ALDH18A1-Related Spastic Paraplegia and Neurocutaneous Spectrum	MONDO:0100126	3	22	3	0	0	0	ALL_MAPPINGS_CONSISTENT	0
ATRX_Syndrome	ATR-X-Related Syndrome	MONDO:0016980	2	17	2	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Acrodysostosis	Acrodysostosis	MONDO:0019797	2	16	2	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Acromesomelic_Dysplasia_Grebe_Type	Acromesomelic Dysplasia Grebe Type	MONDO:0008703	1	13	0	1	0	0	ALL_MAPPINGS_CONSISTENT	0
Activated_PI3K-delta_Syndrome	Activated PI3K-delta syndrome	MONDO:0018338	2	17	2	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Acute_Lichenoid_Pityriasis	Acute Lichenoid Pityriasis	MONDO:0024250	1	8	1	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Acute_Lymphoblastic_Leukemia	Acute Lymphoblastic Leukemia	MONDO:0004967	5	36	0	5	0	0	ALL_MAPPINGS_CONSISTENT	0
Acute_Megakaryoblastic_Leukemia	Acute Megakaryoblastic Leukemia	MONDO:0018872	4	25	3	1	0	0	ALL_MAPPINGS_CONSISTENT	0
Acute_Respiratory_Distress_Syndrome	Acute Respiratory Distress Syndrome	MONDO:0006502	2	17	2	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Adams-Oliver_Syndrome	Adams-Oliver Syndrome	MONDO:0007034	6	32	6	0	0	0	ALL_MAPPINGS_CONSISTENT	0
Adult-Onset_Autosomal_Dominant_Demyelinating_Leukodystrophy	Adult-Onset Autosomal Dominant Demyelinating Leukodystrophy	MONDO:0008215	1	12	1	0	0	0	RETRACTED	1
Adult_Onset_Foveomacular_Vitelliform_Dystrophy	Adult-Onset Foveomacular Vitelliform Dystrophy	MONDO:0011979	3	17	3	0	0	0	ALL_MAPPINGS_CONSISTENT	0
