slug	status	subject	subject_label	relation	object	object_label	prior	accepted	posterior
2-Methylbutyryl-CoA_Dehydrogenase_Deficiency	ALL_MAPPINGS_CONSISTENT	dismech:2-Methylbutyryl-CoA_Dehydrogenase_Deficiency	2-Methylbutyryl-CoA Dehydrogenase Deficiency (dismech entry)	EquivalentTo	MONDO:0012392	2-methylbutyryl-CoA dehydrogenase deficiency	0.9	True	0.890542734293
2-Methylbutyryl-CoA_Dehydrogenase_Deficiency	ALL_MAPPINGS_CONSISTENT	dismech:2-Methylbutyryl-CoA_Dehydrogenase_Deficiency	2-Methylbutyryl-CoA Dehydrogenase Deficiency (dismech entry)	ProperSubClassOf	MONDO:0012392	2-methylbutyryl-CoA dehydrogenase deficiency	0.07	False	0.007447788698
2-Methylbutyryl-CoA_Dehydrogenase_Deficiency	ALL_MAPPINGS_CONSISTENT	MONDO:0012392	2-methylbutyryl-CoA dehydrogenase deficiency	ProperSubClassOf	dismech:2-Methylbutyryl-CoA_Dehydrogenase_Deficiency	2-Methylbutyryl-CoA Dehydrogenase Deficiency (dismech entry)	0.03	False	0.00306028431
2-Methylbutyryl-CoA_Dehydrogenase_Deficiency	ALL_MAPPINGS_CONSISTENT	MONDO:0012392	2-methylbutyryl-CoA dehydrogenase deficiency	EquivalentTo	MESH:C566487	2-Methylbutyryl-CoA Dehydrogenase Deficiency	0.95	True	0.95
2-Methylbutyryl-CoA_Dehydrogenase_Deficiency	ALL_MAPPINGS_CONSISTENT	MONDO:0012392	2-methylbutyryl-CoA dehydrogenase deficiency	EquivalentTo	NCIT:C98863	Butyryl-CoA Dehydrogenase Deficiency	0.95	True	0.95
2-Methylbutyryl-CoA_Dehydrogenase_Deficiency	ALL_MAPPINGS_CONSISTENT	MONDO:0012392	2-methylbutyryl-CoA dehydrogenase deficiency	EquivalentTo	OMIM:610006	2-methylbutyryl-coa dehydrogenase deficiency	0.95	True	0.95
2-Methylbutyryl-CoA_Dehydrogenase_Deficiency	ALL_MAPPINGS_CONSISTENT	MONDO:0012392	2-methylbutyryl-CoA dehydrogenase deficiency	EquivalentTo	ORDO:79157	2-methylbutyryl-CoA dehydrogenase deficiency	0.95	True	0.95
2-Methylbutyryl-CoA_Dehydrogenase_Deficiency	ALL_MAPPINGS_CONSISTENT	ORDO:79157	2-methylbutyryl-CoA dehydrogenase deficiency	ProperSubClassOf	ICD10:E71.1	Other disorders of branched-chain amino-acid metabolism	0.9	True	0.9
3-Hydroxy-3-Methylglutaryl-CoA_Synthase_Deficiency	ALL_MAPPINGS_CONSISTENT	dismech:3-Hydroxy-3-Methylglutaryl-CoA_Synthase_Deficiency	3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency (dismech entry)	EquivalentTo	MONDO:0011614	3-hydroxy-3-methylglutaryl-CoA synthase deficiency	0.9	True	0.890542734293
3-Hydroxy-3-Methylglutaryl-CoA_Synthase_Deficiency	ALL_MAPPINGS_CONSISTENT	dismech:3-Hydroxy-3-Methylglutaryl-CoA_Synthase_Deficiency	3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency (dismech entry)	ProperSubClassOf	MONDO:0011614	3-hydroxy-3-methylglutaryl-CoA synthase deficiency	0.07	False	0.007447788698
3-Hydroxy-3-Methylglutaryl-CoA_Synthase_Deficiency	ALL_MAPPINGS_CONSISTENT	MONDO:0011614	3-hydroxy-3-methylglutaryl-CoA synthase deficiency	ProperSubClassOf	dismech:3-Hydroxy-3-Methylglutaryl-CoA_Synthase_Deficiency	3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency (dismech entry)	0.03	False	0.00306028431
