slug	status	input_sha256	n_pfacts	n_retracted	candidate_retractions	elapsed_seconds	solution_written	error
2-Methylbutyryl-CoA_Dehydrogenase_Deficiency	ALL_MAPPINGS_CONSISTENT	ee922ec03b91094ffc2a591646580c6c199d04ea01e8fba5c3f5c71a00c0d544	8	0	0	0.887	True	NA
3-Hydroxy-3-Methylglutaryl-CoA_Synthase_Deficiency	ALL_MAPPINGS_CONSISTENT	0107962067eddb3dc18f33be54db9c348e1f162d02b649fb5ad38af38589d3d6	8	0	0	0.882	True	NA
3-Hydroxyisobutyryl-CoA_Hydrolase_Deficiency	ALL_MAPPINGS_CONSISTENT	2ca2cde294150106279437e0be3ca1f7ec14209f2314b752a19cd205bd8b519f	8	0	0	0.87	True	NA
3-Methylcrotonyl-CoA_Carboxylase_Deficiency	ALL_MAPPINGS_CONSISTENT	47123283c483442a9f0b7fc80628f7ef2474d85c647b8a26d2896a0f1acf6cb3	7	0	0	0.525	True	NA
3-methylglutaconic_Aciduria_With_Deafness_Encephalopathy_And_Leigh-like_Syndrome	ALL_MAPPINGS_CONSISTENT	9b3eb58eee1eb7a9c8c76110fc6b64e6e326b1f61994ba958d3d330253c8ecd3	7	0	0	0.517	True	NA
46_XY_DSD_Due_to_5_Alpha_Reductase_2_Deficiency	ALL_MAPPINGS_CONSISTENT	8955456244f19365093513e7a9edd37bfe20c185d6573e4c6f2ff446c4b8175a	9	0	0	5.403	True	NA
46_XY_Partial_Gonadal_Dysgenesis	ALL_MAPPINGS_CONSISTENT	3b2ecafe9ec00759d798060d034b28095b53ec7beee08e83b6a7793cfd5fe2be	5	0	0	0.364	True	NA
46_XY_Sex_Reversal_5	ALL_MAPPINGS_CONSISTENT	7d8ea495965fac07f9c95137a40e684d4c3bc0231a85066fd2218e9a6f2c8f15	6	0	0	0.361	True	NA
46_XY_complete_gonadal_dysgenesis	ALL_MAPPINGS_CONSISTENT	f178a3e9c69dbf1b1d48f1cd8fb0fac5958cad11da2c3a9079ffad7e5022422e	8	0	0	0.881	True	NA
5-Oxoprolinase_Deficiency	ALL_MAPPINGS_CONSISTENT	52e04e9f3510381fef847dd86f7e1aae9f33da8d4fcada91573f5062a665f19a	7	0	0	0.564	True	NA
