mondo_id	disease_name	n_dismech	direct_hpoa_ids	direct_n_hpoa	direct_n_exact	direct_n_more_specific	direct_n_more_general	direct_n_novel	direct_n_hpoa_only	direct_novel_terms	subtree_hpoa_ids	subtree_n_hpoa	subtree_n_exact	subtree_n_more_specific	subtree_n_more_general	subtree_n_novel	subtree_n_hpoa_only	subtree_novel_terms
MONDO:0014376	intellectual developmental disorder with microcephaly and with or without ocular malformations or hypogonadotropic hypogonadism	32	OMIM:615866	42	7	1	4	20	35	HP:0000028;HP:0000044;HP:0000054;HP:0000175;HP:0000407;HP:0000458;HP:0000568;HP:0000589;HP:0000612;HP:0000657;HP:0000729;HP:0000786;HP:0000821;HP:0001263;HP:0001320;HP:0001680;HP:0002474;HP:0007018;HP:0034585;HP:0040326	OMIM:615866	42	7	1	4	20	35	HP:0000028;HP:0000044;HP:0000054;HP:0000175;HP:0000407;HP:0000458;HP:0000568;HP:0000589;HP:0000612;HP:0000657;HP:0000729;HP:0000786;HP:0000821;HP:0001263;HP:0001320;HP:0001680;HP:0002474;HP:0007018;HP:0034585;HP:0040326
MONDO:0002413	glycogen storage disease I	27	ORPHA:364	11	6	2	0	19	5	HP:0000083;HP:0000093;HP:0000105;HP:0000132;HP:0000155;HP:0000421;HP:0000822;HP:0000823;HP:0000939;HP:0001397;HP:0001733;HP:0001875;HP:0001903;HP:0001997;HP:0002014;HP:0002092;HP:0002240;HP:0003128;HP:0012028	OMIM:232200;OMIM:232220;OMIM:232240;ORPHA:364;ORPHA:79259	95	27	0	0	0	68	
MONDO:0007079	alcohol dependence	21	OMIM:103780	2	1	0	1	19	1	HP:0000716;HP:0000738;HP:0000739;HP:0001033;HP:0001251;HP:0001337;HP:0001394;HP:0001397;HP:0001644;HP:0001649;HP:0001733;HP:0002017;HP:0002069;HP:0002354;HP:0009830;HP:0031258;HP:0033051;HP:0100785;HP:6000028	OMIM:103780	2	1	0	1	19	1	HP:0000716;HP:0000738;HP:0000739;HP:0001033;HP:0001251;HP:0001337;HP:0001394;HP:0001397;HP:0001644;HP:0001649;HP:0001733;HP:0002017;HP:0002069;HP:0002354;HP:0009830;HP:0031258;HP:0033051;HP:0100785;HP:6000028
MONDO:0013968	PGM1-congenital disorder of glycosylation	34	OMIM:614921	47	14	0	2	18	33	HP:0000044;HP:0000486;HP:0000496;HP:0000579;HP:0000825;HP:0000846;HP:0001249;HP:0001250;HP:0001508;HP:0001654;HP:0002023;HP:0002925;HP:0003115;HP:0006554;HP:0008465;HP:0009926;HP:0034323;HP:4000141	OMIM:614921	47	14	0	2	18	33	HP:0000044;HP:0000486;HP:0000496;HP:0000579;HP:0000825;HP:0000846;HP:0001249;HP:0001250;HP:0001508;HP:0001654;HP:0002023;HP:0002925;HP:0003115;HP:0006554;HP:0008465;HP:0009926;HP:0034323;HP:4000141
MONDO:0019169	pyruvate dehydrogenase deficiency	55	ORPHA:765	35	35	2	0	18	0	HP:0000546;HP:0000708;HP:0001399;HP:0001943;HP:0002013;HP:0002151;HP:0002180;HP:0002240;HP:0002395;HP:0002454;HP:0002480;HP:0002910;HP:0002928;HP:0003128;HP:0003542;HP:0008344;HP:0100503;HP:0100724	OMIM:245348;OMIM:245349;OMIM:246900;OMIM:312170;OMIM:608782;OMIM:614111;OMIM:614462;ORPHA:2394;ORPHA:255138;ORPHA:255182;ORPHA:765;ORPHA:79243;ORPHA:79244;ORPHA:79246	215	55	0	0	0	160	
MONDO:0026729	congenital disorder of glycosylation, type ICC	20	OMIM:301031	5	2	0	0	18	3	HP:0000155;HP:0001744;HP:0001873;HP:0001875;HP:0001973;HP:0002389;HP:0002665;HP:0002716;HP:0002720;HP:0002851;HP:0002910;HP:0003236;HP:0004315;HP:0005404;HP:0005425;HP:0032163;HP:0032204;HP:0032218	OMIM:301031	5	2	0	0	18	3	HP:0000155;HP:0001744;HP:0001873;HP:0001875;HP:0001973;HP:0002389;HP:0002665;HP:0002716;HP:0002720;HP:0002851;HP:0002910;HP:0003236;HP:0004315;HP:0005404;HP:0005425;HP:0032163;HP:0032204;HP:0032218
MONDO:0030852	neurodevelopmental disorder with dysmorphic facies, sleep disturbance, and brain abnormalities	47	OMIM:619103	40	21	0	8	18	19	HP:0000218;HP:0000286;HP:0000365;HP:0000729;HP:0000824;HP:0000954;HP:0001156;HP:0001252;HP:0002015;HP:0002019;HP:0002020;HP:0002376;HP:0002463;HP:0002714;HP:0010627;HP:0010780;HP:0011968;HP:0030084	OMIM:619103	40	21	0	8	18	19	HP:0000218;HP:0000286;HP:0000365;HP:0000729;HP:0000824;HP:0000954;HP:0001156;HP:0001252;HP:0002015;HP:0002019;HP:0002020;HP:0002376;HP:0002463;HP:0002714;HP:0010627;HP:0010780;HP:0011968;HP:0030084
MONDO:0044319	intellectual developmental disorder with dysmorphic facies, seizures, and distal limb anomalies	33	OMIM:617452;ORPHA:505237	62	10	1	4	18	52	HP:0000319;HP:0000639;HP:0000678;HP:0000680;HP:0000821;HP:0000966;HP:0000977;HP:0001212;HP:0001335;HP:0001572;HP:0003468;HP:0004313;HP:0004426;HP:0006237;HP:0006482;HP:0007766;HP:0010442;HP:0100539	OMIM:617452;ORPHA:505237	62	10	1	4	18	52	HP:0000319;HP:0000639;HP:0000678;HP:0000680;HP:0000821;HP:0000966;HP:0000977;HP:0001212;HP:0001335;HP:0001572;HP:0003468;HP:0004313;HP:0004426;HP:0006237;HP:0006482;HP:0007766;HP:0010442;HP:0100539
MONDO:0018485	glycogen storage disease due to acid maltase deficiency, late-onset	18	OMIM:621314	16	1	0	0	17	15	HP:0000020;HP:0000939;HP:0001297;HP:0002015;HP:0002019;HP:0002020;HP:0002650;HP:0002747;HP:0002877;HP:0003326;HP:0003327;HP:0003546;HP:0003701;HP:0004944;HP:0012727;HP:0020038;HP:0030890	OMIM:621314	16	1	0	0	17	15	HP:0000020;HP:0000939;HP:0001297;HP:0002015;HP:0002019;HP:0002020;HP:0002650;HP:0002747;HP:0002877;HP:0003326;HP:0003327;HP:0003546;HP:0003701;HP:0004944;HP:0012727;HP:0020038;HP:0030890
MONDO:0032703	short stature, amelogenesis imperfecta, and skeletal dysplasia with scoliosis	33	OMIM:618363	38	12	1	3	17	26	HP:0000508;HP:0000540;HP:0000648;HP:0000687;HP:0000691;HP:0001156;HP:0001256;HP:0001511;HP:0001631;HP:0001655;HP:0002999;HP:0003316;HP:0004349;HP:0006285;HP:0011645;HP:0012095;HP:0012368	OMIM:618363	38	12	1	3	17	26	HP:0000508;HP:0000540;HP:0000648;HP:0000687;HP:0000691;HP:0001156;HP:0001256;HP:0001511;HP:0001631;HP:0001655;HP:0002999;HP:0003316;HP:0004349;HP:0006285;HP:0011645;HP:0012095;HP:0012368
MONDO:0032942	neurodevelopmental disorder with microcephaly and dysmorphic facies	24	OMIM:618828	38	6	0	1	17	32	HP:0000316;HP:0000486;HP:0000508;HP:0000581;HP:0000639;HP:0000818;HP:0001250;HP:0001508;HP:0001626;HP:0001627;HP:0001643;HP:0001655;HP:0001999;HP:0002119;HP:0002360;HP:0004322;HP:0004482	OMIM:618828	38	6	0	1	17	32	HP:0000316;HP:0000486;HP:0000508;HP:0000581;HP:0000639;HP:0000818;HP:0001250;HP:0001508;HP:0001626;HP:0001627;HP:0001643;HP:0001655;HP:0001999;HP:0002119;HP:0002360;HP:0004322;HP:0004482
MONDO:0008681	WAGR syndrome	35	OMIM:194072;ORPHA:893	30	10	2	2	21	20	HP:0000010;HP:0000481;HP:0000609;HP:0000717;HP:0000739;HP:0000750;HP:0000822;HP:0001132;HP:0001250;HP:0001252;HP:0001263;HP:0001627;HP:0002019;HP:0002591;HP:0002719;HP:0002870;HP:0007018;HP:0007750;HP:0008643;HP:0011968;HP:0100880	OMIM:194072;OMIM:612469;ORPHA:893	55	13	3	3	16	42	HP:0000010;HP:0000609;HP:0000750;HP:0001132;HP:0001250;HP:0001252;HP:0001263;HP:0001627;HP:0002019;HP:0002719;HP:0002870;HP:0007018;HP:0007750;HP:0008643;HP:0011968;HP:0100880
MONDO:0014229	microphthalmia, syndromic 12	22	OMIM:615524	19	5	0	1	16	14	HP:0000122;HP:0000526;HP:0000589;HP:0000659;HP:0000750;HP:0001250;HP:0001252;HP:0001257;HP:0001263;HP:0001270;HP:0001332;HP:0002072;HP:0007099;HP:0007957;HP:0011968;HP:0033725	OMIM:615524	19	5	0	1	16	14	HP:0000122;HP:0000526;HP:0000589;HP:0000659;HP:0000750;HP:0001250;HP:0001252;HP:0001257;HP:0001263;HP:0001270;HP:0001332;HP:0002072;HP:0007099;HP:0007957;HP:0011968;HP:0033725
MONDO:0014679	polymicrogyria, perisylvian, with cerebellar hypoplasia and arthrogryposis	20	OMIM:616531	18	4	0	0	16	14	HP:0000252;HP:0000639;HP:0001249;HP:0001250;HP:0001251;HP:0001252;HP:0001263;HP:0001882;HP:0002037;HP:0002061;HP:0003429;HP:0004797;HP:0005387;HP:0011968;HP:0033725;HP:0100321	OMIM:616531	18	4	0	0	16	14	HP:0000252;HP:0000639;HP:0001249;HP:0001250;HP:0001251;HP:0001252;HP:0001263;HP:0001882;HP:0002037;HP:0002061;HP:0003429;HP:0004797;HP:0005387;HP:0011968;HP:0033725;HP:0100321
MONDO:0030994	neurodevelopmental disorder with or without autism or seizures	27	OMIM:619239	24	3	4	4	16	21	HP:0000307;HP:0000348;HP:0001252;HP:0001263;HP:0001321;HP:0001332;HP:0001337;HP:0001511;HP:0001999;HP:0002020;HP:0002119;HP:0002376;HP:0004209;HP:0004322;HP:0010880;HP:0100543	OMIM:619239	24	3	4	4	16	21	HP:0000307;HP:0000348;HP:0001252;HP:0001263;HP:0001321;HP:0001332;HP:0001337;HP:0001511;HP:0001999;HP:0002020;HP:0002119;HP:0002376;HP:0004209;HP:0004322;HP:0010880;HP:0100543
