disease_name	disease_id	total_gaps	missing_locally	covered_by_broader	unlinked_to_pathograph	local_missing_evidence
ANK2-Related Complex Neurodevelopmental Disorder	MONDO:0100038	986	929	57	0	0
BLOC1S1-related Complex Neurodevelopmental Disorder with Leukodystrophy	MONDO:0100038	966	926	40	0	0
Complex Hereditary Spastic Paraplegia	MONDO:0015150	527	482	45	0	0
Arthrogryposis Multiplex Congenita	MONDO:0015168	513	491	22	0	0
Dilated Cardiomyopathy	MONDO:0005021	491	440	39	8	4
Chemotherapy-Induced Neutropenia	MONDO:0001475	477	448	27	2	0
Combined Pituitary Hormone Deficiencies, Genetic Form	MONDO:0018762	475	469	6	0	0
Autosomal Dominant Cerebellar Ataxia Type I	MONDO:0019792	453	434	19	0	0
Autosomal Dominant Non-Syndromic Intellectual Disability	MONDO:0015802	450	417	26	7	0
Charcot-Marie-Tooth Disease	MONDO:0015626	439	420	11	4	4
Addison's Disease	MONDO:0015128	339	313	13	8	5
Chronic Primary Adrenal Insufficiency	MONDO:0015129	332	315	10	4	3
Amyloidosis	MONDO:0019065	325	297	25	2	1
Congenital Insensitivity to Pain	MONDO:0015364	315	313	2	0	0
Autosomal Recessive Limb-Girdle Muscular Dystrophy	MONDO:0015152	308	274	26	8	0
Charcot-Marie-Tooth Disease Type 2	MONDO:0018993	246	228	15	1	2
Coffin-Siris syndrome	MONDO:0015452	242	205	28	9	0
Cranioectodermal Dysplasia	MONDO:0009032	235	223	12	0	0
22q11.2 Deletion Syndrome	MONDO:0018923	231	196	27	8	0
Amyotrophic Lateral Sclerosis	MONDO:0004976	228	146	36	46	0
Congenital Adrenal Hyperplasia	MONDO:0018479	214	202	4	8	0
Diabetes mellitus	MONDO:0005015	214	183	13	18	0
Congenital Myasthenic Syndrome	MONDO:0018940	208	170	26	12	0
CADASIL Type 1	MONDO:0007432	203	188	10	3	2
Bardet-Biedl syndrome	MONDO:0015229	202	169	23	10	0
Cornelia de Lange syndrome	MONDO:0016033	196	189	7	0	0
Diamond-Blackfan Anemia	MONDO:0015253	192	190	2	0	0
Autosomal Recessive Primary Microcephaly	MONDO:0016660	187	163	24	0	0
Cockayne Syndrome	MONDO:0016006	180	162	18	0	0
Cardiofaciocutaneous Syndrome	MONDO:0015280	175	142	14	11	8
Distal Hereditary Motor Neuronopathy, Autosomal Dominant	MONDO:0015362	173	145	21	7	0
Congenital Hypothyroidism	MONDO:0018612	161	146	8	7	0
Chemotherapy-Induced Diarrhea	MONDO:0001673	160	149	10	1	0
DYRK1A-related intellectual disability syndrome	MONDO:0013578	146	99	47	0	0
Aicardi-Goutieres Syndrome	MONDO:0018866	146	127	18	1	0
CTCF-related Neurodevelopmental Disorder	MONDO:0014213	145	79	56	10	0
ADNP-Related Syndrome	MONDO:0014379	144	73	71	0	0
BBSome-related retinitis pigmentosa	MONDO:0019200	136	113	23	0	0
Centronuclear Myopathy	MONDO:0018947	134	127	7	0	0
CHARGE syndrome	MONDO:0008965	134	88	41	5	0
Adams-Oliver Syndrome	MONDO:0007034	132	92	35	5	0
Common Variable Immunodeficiency	MONDO:0015517	131	90	32	3	6
ALDH18A1-Related Spastic Paraplegia and Neurocutaneous Spectrum	MONDO:0100126	130	123	7	0	0
Alstrom Syndrome	MONDO:0008763	130	121	9	0	0
Autoimmune Enteropathy	MONDO:0019787	124	122	2	0	0
Cushing's Syndrome	MONDO:0018912	121	112	2	7	0
BRAF V600E-Mutant Colorectal Cancer	MONDO:0005575	120	109	1	5	5
ATR-X-Related Syndrome	MONDO:0016980	119	84	35	0	0
Arboleda-Tham Syndrome	MONDO:0014558	117	74	25	18	0
Charcot-Marie-Tooth Disease Type 1	MONDO:0019011	116	108	6	1	1
Distal Hereditary Motor Neuronopathy, Autosomal Recessive	MONDO:0015363	116	106	10	0	0
Bilateral Striopallidodentate Calcinosis	MONDO:0008947	115	84	20	11	0
Autosomal Dominant Cerebellar Ataxia Type III	MONDO:0019793	115	107	8	0	0
DeSanto-Shinawi syndrome	MONDO:0018760	111	101	10	0	0
Chromosome 18q Deletion Syndrome	MONDO:0011147	110	80	24	6	0
ALG12-congenital disorder of glycosylation	MONDO:0011783	109	65	44	0	0
CHIME_syndrome	MONDO:0010221	109	92	14	1	2
DEPDC5-Related Epilepsy	MONDO:0005384	108	78	24	6	0
Coffin-Lowry syndrome	MONDO:0010561	106	104	2	0	0
DOORS Syndrome	MONDO:0009079	103	97	6	0	0
Carnitine Palmitoyltransferase II Deficiency	MONDO:0015515	103	95	7	1	0
COFS Syndrome	MONDO:0008926	102	87	7	8	0
Hereditary Transthyretin Amyloidosis	MONDO:0007100	102	98	4	0	0
Apert Syndrome	MONDO:0007041	99	95	4	0	0
Autoimmune Polyendocrinopathy	MONDO:0017278	98	90	8	0	0
ALG9-congenital disorder of glycosylation	MONDO:0012117	97	91	6	0	0
Congenital Isolated Hyperinsulinism	MONDO:0019010	96	89	5	2	0
Bohring-Opitz syndrome	MONDO:0011510	96	90	6	0	0
Costello Syndrome	MONDO:0009026	96	82	8	6	0
Autosomal Recessive Multiple Pterygium Syndrome	MONDO:0009926	94	76	15	3	0
Dermatomyositis	MONDO:0016367	94	40	7	47	0
Disorder of Catecholamine Synthesis	MONDO:0017759	91	74	17	0	0
Chromosome 2q32-q33 Deletion Syndrome	MONDO:0012864	91	64	20	7	0
Campomelic Dysplasia	MONDO:0007251	91	79	12	0	0
Chorea-acanthocytosis	MONDO:0008695	90	64	25	1	0
Alternating Hemiplegia of Childhood	MONDO:0016241	90	86	4	0	0
Cowden Syndrome	MONDO:0016063	90	73	4	13	0
Chediak-Higashi Syndrome	MONDO:0008963	89	56	17	16	0
Dopa-Responsive Dystonia	MONDO:0016812	88	83	5	0	0
Acrodysostosis	MONDO:0019797	88	75	11	2	0
46,XY complete gonadal dysgenesis	MONDO:0010765	86	84	2	0	0
CDKL5 Deficiency Disorder	MONDO:0100039	85	40	17	16	12
Congenital Dyserythropoietic Anemia	MONDO:0019403	84	76	8	0	0
Alpha-mannosidosis	MONDO:0009561	84	52	32	0	0
Chronic Granulomatous Disease	MONDO:0018305	84	62	11	11	0
Cleidocranial Dysplasia	MONDO:0007340	84	64	5	15	0
Cri-du-Chat Syndrome	MONDO:0007404	84	46	5	33	0
Autosomal Recessive Congenital Ichthyosis	MONDO:0017265	83	74	9	0	0
COG1-congenital disorder of glycosylation	MONDO:0012637	82	73	9	0	0
Behcet's Disease	MONDO:0007191	82	63	5	14	0
Citrin Deficiency	MONDO:0016602	81	66	14	1	0
Atrial Septal Defect	MONDO:0006664	80	69	11	0	0
Arterial Tortuosity Syndrome	MONDO:0008818	80	71	2	7	0
Aneurysm-Osteoarthritis Syndrome	MONDO:0013426	79	57	6	16	0
Alsahan-Harris Syndrome	MONDO:0979871	77	71	3	3	0
Bloom syndrome	MONDO:0008876	77	52	24	1	0
Beckwith-Wiedemann Syndrome	MONDO:0007534	76	69	2	5	0
Brucellosis	MONDO:0005683	76	55	3	18	0
Beta Thalassemia	MONDO:0019402	76	55	4	0	17
Branchiooculofacial Syndrome	MONDO:0007235	75	59	16	0	0
Central Congenital Hypothyroidism	MONDO:0016410	75	65	5	5	0
Acrocallosal Syndrome	MONDO:0008708	74	72	2	0	0
CACNA1A-Related Disorder	MONDO:0100254	73	55	13	5	0
Autosomal Dominant Hyper-IgE Syndrome	MONDO:0007818	72	59	1	12	0
Arterial Calcification of Infancy	MONDO:0018870	71	57	12	2	0
Baraitser-Winter Cerebrofrontofacial Syndrome	MONDO:0017579	71	68	3	0	0
Aicardi Syndrome	MONDO:0010568	70	56	7	0	7
Angelman Syndrome	MONDO:0007113	69	46	23	0	0
3-Hydroxy-3-Methylglutaric Aciduria	MONDO:0009520	69	57	2	10	0
2q37 Microdeletion Syndrome	MONDO:0010886	69	49	18	2	0
Autosomal Dominant Optic Atrophy Plus	MONDO:0014720	68	55	11	2	0
Alexander Disease	MONDO:0008752	68	58	10	0	0
Coccidioidomycosis	MONDO:0005706	67	63	2	2	0
Alagille syndrome	MONDO:0007318	67	59	8	0	0
Camurati-Engelmann Disease	MONDO:0007542	67	63	3	1	0
Adult-Onset Autosomal Dominant Demyelinating Leukodystrophy	MONDO:0008215	66	51	15	0	0
Bartter syndrome	MONDO:0015231	65	60	5	0	0
Cardiospondylocarpofacial syndrome	MONDO:0008005	64	34	5	25	0
3-Methylcrotonyl-CoA Carboxylase Deficiency	MONDO:0018950	63	56	7	0	0
Achondroplasia	MONDO:0007037	63	28	3	32	0
Classic Familial Adenomatous Polyposis	MONDO:0021055	62	49	7	6	0
Blepharophimosis-Intellectual Disability Syndrome, MKB Type	MONDO:0010477	62	42	7	13	0
Cystinosis	MONDO:0016239	61	41	19	1	0
Autoimmune Polyendocrine Syndrome Type 1	MONDO:0009411	60	51	9	0	0
Creatine Transporter Deficiency	MONDO:0010305	60	38	14	8	0
Cerebrotendinous xanthomatosis	MONDO:0008948	60	49	11	0	0
Agenesis of the Corpus Callosum with Peripheral Neuropathy	MONDO:0000902	59	35	9	15	0
Cernunnos-XLF deficiency	MONDO:0012650	59	52	7	0	0
Diastrophic Dysplasia	MONDO:0009107	59	55	4	0	0
COG7-congenital disorder of glycosylation	MONDO:0012118	58	42	15	1	0
Antiphospholipid Syndrome	MONDO:8000010	58	54	3	1	0
Ataxia-telangiectasia	MONDO:0008840	58	49	9	0	0
Anti-NMDA Receptor Encephalitis	MONDO:0021081	57	38	9	10	0
Auriculocondylar Syndrome	MONDO:0000107	57	55	2	0	0
Cerebellar Ataxia, Intellectual Disability, and Dysequilibrium Syndrome	MONDO:0009133	56	35	10	11	0
D-Bifunctional Protein Deficiency	MONDO:0009855	56	54	2	0	0
Argininosuccinic Aciduria	MONDO:0008815	55	48	5	2	0
arrhythmogenic right ventricular cardiomyopathy	MONDO:0016587	54	49	5	0	0
Autoimmune Hepatitis	MONDO:0016264	54	52	2	0	0
Charlevoix-Saguenay spastic ataxia	MONDO:0010041	53	41	8	4	0
