trait	biosample	tissue	annotation	enrichment	pValue	ancestry
AD	germinal_center	lymphoid_tissue	enhancer	6.655	8.25182208848921e-07	Mixed
AD	B_cell	blood	enhancer	5.446	1.0344406976936604e-06	Mixed
AD	DOHH2	blood	enhancer	6.33	5.463624442194243e-06	Mixed
AD	thymus	thymus	enhancer	4.437	2.020733562788179e-05	Mixed
AD	inflammatory_macrophage	blood	enhancer	5.894	2.7030665177540816e-05	Mixed
AD	spleen	spleen	enhancer	3.654	2.9535020107427348e-05	Mixed
AD	tissue-resident_macrophage	pancreas	accessible_chromatin	32.778	3.0000444474000405e-05	Mixed
AD	alternatively_activated_macrophage	blood	enhancer	4.533	3.0121412656044787e-05	Mixed
AD	natural_killer_cell	blood	enhancer	5.631	3.345136729769105e-05	Mixed
AD	CD34-negative;_CD41-positive;_CD42-positive_megakaryocyte_cell	blood	enhancer	4.596	4.1974509907436724e-05	Mixed
AD	microglial_cell_(immune_cell)	pancreas	uniform_accessible_chromatin_sites	26.856	5.6225364314444326e-05	Mixed
AD	substantia_nigra	central_nervous_system	enhancer	4.918	7.935214750062369e-05	Mixed
AD	CD8-positive;_alpha-beta_memory_T_cell	blood	enhancer	4.356	0.0001271943859417879	Mixed
AD	CD14-positive;_CD16-negative_classical_monocyte	blood	enhancer	5.767	0.00014001557822671947	Mixed
AD	mature_neutrophil	blood	enhancer	5.912	0.00017005736949567138	Mixed
AD	common_myeloid_progenitor;_CD34-positive	blood	enhancer	4.165	0.0002283545559941233	Mixed
AD	CD14-positive_monocyte	blood	enhancer	4.791	0.00022916001437341628	Mixed
AD	DG-75_cell	blood	enhancer	6.379	0.0002891704291899939	Mixed
AD	CD4-positive;_alpha-beta_memory_T_cell	blood	enhancer	3.686	0.000305890765945201	Mixed
AD	naive_T_cell	blood	enhancer	5.849	0.0003428963351075124	Mixed
AD	macrophage	blood	binding_sites	11.005	0.0003541016372077789	Mixed
AD	liver	liver	enhancer	3.8	0.0005768196031568869	Mixed
AD	OVCA-429_cell	female_gonad	binding_sites	-41.188	0.0006412561261274669	Mixed
AD	erythroblast	blood	enhancer	4.743	0.000646264179023273	Mixed
AD	adipose_tissue	adipose_tissue	enhancer	3.855	0.0006854398673742236	Mixed
AD	caudate_nucleus	central_nervous_system	enhancer	4.491	0.000933531290516658	Mixed
PD	islet_of_Langerhans	pancreas	enhancer	3.156	1.2155923762473143e-06	Mixed
PD	caudate_nucleus	central_nervous_system	enhancer	3.517	4.642558895443518e-06	Mixed
PD	CD4-positive;_alpha-beta_memory_T_cell	blood	enhancer	3.332	7.313231067912662e-06	Mixed
PD	B_cell	blood	enhancer	3.362	8.119254053096897e-06	Mixed
PD	natural_killer_cell	blood	enhancer	3.503	8.664733274044152e-05	Mixed
PD	arterial_endothelial_cell_(endothelial_cell_of_artery)	lung	uniform_accessible_chromatin_sites	7.401	0.00011660963928857761	Mixed
