dataset,gene,gene_class,comparison,n_ETR,n_control,mean_ETR_log2,mean_control_log2,log2_mean_diff,fold_change,t_statistic,p_value,q_value_BH,cohens_d
GSE65914,ACSL5,lipid_metabolism,ETR_vs_healthy_control,14,20,8.302964285714285,5.812855000000001,2.4901092857142846,5.618205071961575,12.764474742237278,4.7298145956497676e-14,3.3108702169548374e-13,4.229654981389134
GSE65914,ACADVL,lipid_metabolism,ETR_vs_healthy_control,14,20,11.085128571428571,10.067184999999998,1.0179435714285727,2.025030407519625,10.37420812960776,1.7299140769207313e-09,4.0364661794817066e-09,3.920476075944653
GSE65914,PPARG,lipid_metabolism,ETR_vs_healthy_control,14,20,8.598657142857142,6.43459,2.1640671428571423,4.481765432758059,9.082888869996097,2.390246644170216e-10,8.365863254595755e-10,2.9315517044739123
GSE65914,CPT1A,lipid_metabolism,ETR_vs_healthy_control,14,20,5.293664285714287,5.296643749999999,-0.0029794642857128295,0.9979369238040231,-0.042767720401986495,0.9661658572799194,0.9661658572799194,-0.014518689784738024
GSE65914,CD68,macrophage_marker,ETR_vs_healthy_control,14,20,5.509200000000001,4.830055,0.679145000000001,1.6011905430286588,4.701147426654632,0.00015269485399530585,0.0002137727955934282,1.7935272660040802
GSE65914,CD163,macrophage_marker,ETR_vs_healthy_control,14,20,7.103371428571428,6.2843866666666655,0.8189847619047628,1.7641640967665044,4.378653847135971,0.0002856324111214936,0.0003332378129750759,1.651172654846219
GSE65914,CD86,macrophage_marker,ETR_vs_healthy_control,14,20,6.335157142857144,5.850015,0.48514214285714363,1.3997237678745176,5.630415055889896,2.884741887124423e-05,5.04829830246774e-05,2.201997698687196
