dataset,group,n,gene_x,gene_y,spearman_rho,p_value,q_value_BH
GSE65914,ETR,14,ACSL5,CD68,0.2967032967032967,0.302966723838702,0.454450085758053
GSE65914,ETR,14,ACSL5,CD163,0.03736263736263736,0.8990930969739669,0.8990930969739669
GSE65914,ETR,14,ACSL5,CD86,0.3098901098901099,0.2809332808692584,0.454450085758053
