region,aa_range,n_pLoF_variants,var_per_aa,sum_allele_count,AC_per_aa
N-term,1-579,188,0.325,332,0.57
Hotspot,580-1000,437,1.038,1371,3.26
Distal,1001-1541,89,0.165,81,0.15
# Source: gnomAD v4 (gnomad_r4), ASXL1 ENST00000375687, GRCh38. Retrieved 2026-09-07.
# pLoF = stop_gained + frameshift + splice_donor/acceptor. 714 of 738 pLoF mappable to aa.
# Hotspot (aa 580-1000) = 27% of protein length holds 61.2% of distinct pLoF and 76.8% of pLoF allele burden.
# Interpretation: blood-derived gnomAD; ASXL1 is the top CHIP gene; hotspot reflects somatic clonal expansion.
