dataset,gene,comparison,group1_label,group2_label,n_group1,n_group2,mean_group1,mean_group2,log2_mean_diff,fold_change,test_statistic,p_value,q_value,cohens_d
GSE155141,CAMP,il1b_vs_untreated_nonlesional,nonlesional_noTx,nonlesional_IL1b,5,5,0.1244583679,0.2946324314,0.1701740634,1.125194233,1.312236309,0.2596754799,0.5193509598,0.5868499179
GSE155141,CASP1,il1b_vs_untreated_nonlesional,nonlesional_noTx,nonlesional_IL1b,5,5,3.291909081,3.454485414,0.1625763332,1.119284148,0.7267183822,0.5076460644,0.8122337031,0.3249983406
GSE155141,IL18,il1b_vs_untreated_nonlesional,nonlesional_noTx,nonlesional_IL1b,5,5,3.528717139,3.449915592,-0.07880154705,0.9468438674,-0.2633034302,0.8053237291,0.9203699761,-0.1177528737
GSE155141,IL1B,il1b_vs_untreated_nonlesional,nonlesional_noTx,nonlesional_IL1b,5,5,2.089598088,3.099757976,1.010159887,2.014134305,1.796652635,0.146809165,0.5193509598,0.8034874849
GSE155141,IL1RN,il1b_vs_untreated_nonlesional,nonlesional_noTx,nonlesional_IL1b,5,5,5.305667374,5.977101944,0.6714345697,1.592655866,1.345026437,0.249814362,0.5193509598,0.601514109
GSE155141,KLK5,il1b_vs_untreated_nonlesional,nonlesional_noTx,nonlesional_IL1b,5,5,6.286785263,6.158053712,-0.1287315505,0.9146352644,-0.5516560474,0.6105520305,0.814069374,-0.2467080844
GSE155141,NLRP3,il1b_vs_untreated_nonlesional,nonlesional_noTx,nonlesional_IL1b,5,5,0.3041819636,0.5495796032,0.2453976396,1.185419454,3.515275327,0.02455457457,0.1964365966,1.572078918
GSE155141,PYCARD,il1b_vs_untreated_nonlesional,nonlesional_noTx,nonlesional_IL1b,5,5,2.63220009,2.600278811,-0.03192127859,0.9781168434,-0.08601065685,0.9355912354,0.9355912354,-0.0384651351
GSE155141,CAMP,lesional_vs_nonlesional,nonlesional_noTx,lesional_noTx,5,5,0.1244583679,0.05126089123,-0.07319747672,0.9505289835,-1.142288317,0.3170654086,0.8455077562,-0.5108468654
GSE155141,CASP1,lesional_vs_nonlesional,nonlesional_noTx,lesional_noTx,5,5,3.291909081,2.759254607,-0.5326544734,0.6912816459,-1.302694892,0.2626154094,0.8455077562,-0.5825828665
GSE155141,IL18,lesional_vs_nonlesional,nonlesional_noTx,lesional_noTx,5,5,3.528717139,3.69395994,0.1652428009,1.121354783,0.3100732677,0.7719885829,0.8822726662,0.1386689809
GSE155141,IL1B,lesional_vs_nonlesional,nonlesional_noTx,lesional_noTx,5,5,2.089598088,2.653401791,0.5638037027,1.478161295,1.218050433,0.2901373307,0.8455077562,0.5447287135
GSE155141,IL1RN,lesional_vs_nonlesional,nonlesional_noTx,lesional_noTx,5,5,5.305667374,5.12517404,-0.1804933337,0.8824012051,-0.3579505887,0.7384702357,0.8822726662,-0.1600803698
GSE155141,KLK5,lesional_vs_nonlesional,nonlesional_noTx,lesional_noTx,5,5,6.286785263,6.042911373,-0.2438738891,0.8444747026,-0.3764777191,0.7256803933,0.8822726662,-0.1683659544
GSE155141,NLRP3,lesional_vs_nonlesional,nonlesional_noTx,lesional_noTx,5,5,0.3041819636,0.3687580826,0.06457611905,1.045777633,0.4371071884,0.6845962051,0.8822726662,0.1954802774
GSE155141,PYCARD,lesional_vs_nonlesional,nonlesional_noTx,lesional_noTx,5,5,2.63220009,2.610867531,-0.02133255918,0.9853221817,-0.0604607607,0.9546889299,0.9546889299,-0.02703887418
