curie,ancestor_curies,ancestor_labels,retrieved_at
NCIT:C101039,NCIT:C7057|NCIT:C2991|NCIT:C28193|NCIT:C101039,"Disease, Disorder or Finding|Disease or Disorder|Syndrome|Escobar Syndrome",2026-09-06T17:00:30+00:00
NCIT:C112116,NCIT:C7057|NCIT:C2991|NCIT:C27551|NCIT:C27574|NCIT:C26326|NCIT:C27573|NCIT:C50559|NCIT:C112116,"Disease, Disorder or Finding|Disease or Disorder|Disorder by Site|Connective and Soft Tissue Disorder|Non-Neoplastic Connective and Soft Tissue Disorder|Non-Neoplastic Soft Tissue Disorder|Fasciitis|Eosinophilic Fasciitis",2026-09-06T17:00:30+00:00
NCIT:C116538,NCIT:C7057|NCIT:C2991|NCIT:C27551|NCIT:C26835|NCIT:C27588|NCIT:C27586|NCIT:C97154|NCIT:C3020|NCIT:C116538,"Disease, Disorder or Finding|Disease or Disorder|Disorder by Site|Nervous System Disorder|Non-Neoplastic Nervous System Disorder|Non-Neoplastic Central Nervous System Disorder|Non-Neoplastic Brain Disorder|Seizure Disorder|Benign Rolandic Epilepsy",2026-09-06T17:00:30+00:00
NCIT:C119676,NCIT:C7057|NCIT:C2991|NCIT:C4873|NCIT:C53543|NCIT:C119676,"Disease, Disorder or Finding|Disease or Disorder|Rare Disorder|Rare Non-Neoplastic Disorder|D-Bifunctional Protein Deficiency",2026-09-06T17:00:30+00:00
NCIT:C122655,NCIT:C7057|NCIT:C2991|NCIT:C3101|NCIT:C176696|NCIT:C122655,"Disease, Disorder or Finding|Disease or Disorder|Genetic Disorder|Repeat Expansion Disease|Neuronal Intranuclear Inclusion Disease",2026-09-06T17:00:30+00:00
NCIT:C125384,NCIT:C7057|NCIT:C2991|NCIT:C27551|NCIT:C26835|NCIT:C27588|NCIT:C27586|NCIT:C97154|NCIT:C26760|NCIT:C125384,"Disease, Disorder or Finding|Disease or Disorder|Disorder by Site|Nervous System Disorder|Non-Neoplastic Nervous System Disorder|Non-Neoplastic Central Nervous System Disorder|Non-Neoplastic Brain Disorder|Encephalitis|Rasmussen Subacute Encephalitis",2026-09-06T17:00:30+00:00
NCIT:C125387,NCIT:C7057|NCIT:C2991|NCIT:C4873|NCIT:C53543|NCIT:C125387,"Disease, Disorder or Finding|Disease or Disorder|Rare Disorder|Rare Non-Neoplastic Disorder|Migrating Partial Seizures in Infancy",2026-09-06T17:00:30+00:00
NCIT:C128427,NCIT:C7057|NCIT:C2991|NCIT:C53529|NCIT:C53547|NCIT:C93210|NCIT:C26726|NCIT:C2890|NCIT:C35373|NCIT:C128427,"Disease, Disorder or Finding|Disease or Disorder|Non-Neoplastic Disorder|Non-Neoplastic Disorder by Special Category|Inflammatory Disorder|Infectious Disorder|Bacterial Infection|Zoonotic Bacterial Infection|Southern Tick-Associated Rash Illness",2026-09-06T17:00:30+00:00
NCIT:C171031,NCIT:C7057|NCIT:C2991|NCIT:C27551|NCIT:C3009|NCIT:C3010|NCIT:C3809|NCIT:C162460|NCIT:C171031,"Disease, Disorder or Finding|Disease or Disorder|Disorder by Site|Endocrine Disorder|Endocrine Neoplasm|Neuroendocrine Neoplasm|Thymus Neuroendocrine Neoplasm|Thymus Neuroendocrine Carcinoma",2026-09-06T17:00:30+00:00
NCIT:C179861,NCIT:C7057|NCIT:C2991|NCIT:C3101|NCIT:C176696|NCIT:C179861,"Disease, Disorder or Finding|Disease or Disorder|Genetic Disorder|Repeat Expansion Disease|Spinocerebellar Ataxia Type 17",2026-09-06T17:00:30+00:00
NCIT:C188139,NCIT:C7057|NCIT:C2991|NCIT:C27551|NCIT:C26835|NCIT:C27588|NCIT:C27586|NCIT:C97154|NCIT:C26920|NCIT:C122814|NCIT:C188139,"Disease, Disorder or Finding|Disease or Disorder|Disorder by Site|Nervous System Disorder|Non-Neoplastic Nervous System Disorder|Non-Neoplastic Central Nervous System Disorder|Non-Neoplastic Brain Disorder|Encephalopathy|Developmental and Epileptic Encephalopathy|Developmental and Epileptic Encephalopathy 13",2026-09-06T17:00:30+00:00
NCIT:C2919,NCIT:C7057|NCIT:C2991|NCIT:C3262|NCIT:C4741|NCIT:C3709|NCIT:C2916|NCIT:C2852|NCIT:C2919,"Disease, Disorder or Finding|Disease or Disorder|Neoplasm|Neoplasm by Morphology|Epithelial Neoplasm|Carcinoma|Adenocarcinoma|Prostate Adenocarcinoma",2026-09-06T17:00:30+00:00
NCIT:C2947,NCIT:C7057|NCIT:C2991|NCIT:C3262|NCIT:C7062|NCIT:C3264|NCIT:C7063|NCIT:C2947,"Disease, Disorder or Finding|Disease or Disorder|Neoplasm|Neoplasm by Special Category|Embryonal Neoplasm|Notochordal Tumor|Chordoma",2026-09-06T17:00:30+00:00
