pmid,nbk,retired,pubdate,title
20301282,NBK1103,0,1993,Primary Trimethylaminuria.
20301283,NBK1104,0,1993,Cornelia de Lange Syndrome.
20301284,NBK1105,0,1993,Spinocerebellar Ataxia with Axonal Neuropathy Type 1.
20301285,NBK1106,0,1993,Char Syndrome.
20301286,NBK1107,0,1993,SPG7-Related Neurologic Disorder.
20301287,NBK1108,0,1993,Autoimmune Lymphoproliferative Syndrome.
20301288,NBK1109,0,1993,Neurofibromatosis 1.
20301289,NBK1110,0,1993,PMM2-CDG.
20301290,NBK1111,0,1993,Holt-Oram Syndrome.
20301291,NBK1112,0,1993,Hypohidrotic Ectodermal Dysplasia.
20301292,NBK1113,0,1993,Pseudoxanthoma Elasticum.
20301293,NBK1114,0,1993,Weill-Marchesani Syndrome.
20301294,NBK1115,0,1993,ATP1A3-Related Disorder.
20301295,NBK1116,0,1993,
20301296,NBK1117,0,1993,CHD7 Disorder.
20301297,NBK1118,0,1993,IPEX Syndrome.
20301298,NBK1119,0,1993,Dystrophinopathies.
20301299,NBK1120,0,1993,Heritable Thoracic Aortic Disease Overview.
20301300,NBK1121,0,1993,Hutchinson-Gilford Progeria Syndrome.
20301301,NBK1122,0,1993,Primary Ciliary Dyskinesia.
20301302,NBK1123,0,1993,"Multiple Epiphyseal Dysplasia, Autosomal Dominant."
20301303,NBK1124,0,1993,Noonan Syndrome.
20301304,NBK1125,0,1993,Junctional Epidermolysis Bullosa.
20301305,NBK1126,0,1993,Oculopharyngeal Muscular Dystrophy.
20301306,NBK1127,0,1993,CLCN7-Related Osteopetrosis.
20301307,NBK1128,0,1993,Enlarged Parietal Foramina.
20301308,NBK1129,0,1993,Long QT Syndrome Overview.
20301309,NBK1130,0,1993,Arylsulfatase A Deficiency.
20301310,NBK1131,0,1993,Arrhythmogenic Right Ventricular Cardiomyopathy Overview.
20301311,NBK1132,0,1993,Nail-Patella Syndrome.
20301312,NBK1133,0,1993,Loeys-Dietz Syndrome.
20301314,NBK1135,1,1993,"Primary Congenital Glaucoma – RETIRED CHAPTER, FOR HISTORICAL REFERENCE ONLY."
20301315,NBK1136,0,1993,GAN-Related Neurodegeneration.
20301316,NBK1137,0,1993,Cherubism.
20301317,NBK1138,0,1993,Hereditary Ataxia Overview.
20301318,NBK1139,0,1993,Diffuse Gastric and Lobular Breast Cancer Syndrome.
20301319,NBK1140,0,1993,Spinocerebellar Ataxia Type 6.
20301320,NBK1141,0,1993,Neuroferritinopathy.
20301321,NBK1142,0,1993,Progressive Myoclonic Epilepsy Type 1.
20301322,NBK1143,0,1993,Smith-Lemli-Opitz Syndrome.
20301323,NBK1144,0,1993,Angelman Syndrome.
20301324,NBK1145,0,1993,X-Linked Spondyloepiphyseal Dysplasia Tarda.
20301325,NBK1146,0,1993,Nonsyndromic Malignant Hyperthermia Susceptibility.
20301326,NBK1147,1,1993,"Familial Exudative Vitreoretinopathy, Autosomal Dominant – RETIRED CHAPTER, FOR HISTORICAL REFERENCE ONLY."
20301327,NBK1148,0,1993,Prothrombin Thrombophilia.
20301328,NBK1149,0,1993,HPRT1 Disorders.
20301329,NBK1150,0,1993,Hypophosphatasia.
20301330,NBK1151,0,1993,Nevoid Basal Cell Carcinoma Syndrome.
20301331,NBK1152,0,1993,Achondroplasia.
20301332,NBK1153,0,1993,ESCO2 Spectrum Disorder.
20301333,NBK1154,0,1993,Ataxia with Oculomotor Apraxia Type 2.
20301334,NBK1155,0,1993,Monogenic Isolated Dystonia Overview.
20301335,NBK1156,0,1993,Camurati-Engelmann Disease.
20301336,NBK1157,0,1993,Epidermolysis Bullosa with Pyloric Atresia.
20301337,NBK1158,1,1993,"2q37 Microdeletion Syndrome – RETIRED CHAPTER, FOR HISTORICAL REFERENCE ONLY."
20301338,NBK1159,0,1993,Arginase Deficiency.
20301339,NBK1160,0,1993,Spastic Paraplegia 4.
20301340,NBK1161,0,1993,Alzheimer Disease Overview.
20301341,NBK1162,0,1993,Mucopolysaccharidosis Type I.
20301342,NBK1163,0,1993,SCN9A Neuropathic Pain Syndromes.
20301343,NBK1164,1,1993,"Sialuria – RETIRED CHAPTER, FOR HISTORICAL REFERENCE ONLY."
20301344,NBK1165,0,1993,Myotonic Dystrophy Type 1.
20301345,NBK1166,1,1993,"Oculocutaneous Albinism Type 1 – RETIRED CHAPTER, FOR HISTORICAL REFERENCE ONLY."
20301346,NBK1167,0,1993,Bestrophinopathies.
20301347,NBK1168,0,1993,Congenital Myasthenic Syndromes Overview.
20301348,NBK1169,0,1993,Autosomal Dominant Sleep-Related Hypermotor (Hyperkinetic) Epilepsy.
20301349,NBK1170,0,1993,HAMP- and HJV-Related Hemochromatosis.
20301350,NBK1171,0,1993,21-Hydroxylase-Deficient Congenital Adrenal Hyperplasia.
20301351,NBK1172,0,1993,Alexander Disease.
20301352,NBK1173,0,1993,Mitochondrial DNA-Associated Leigh Syndrome Spectrum.
20301353,NBK1174,0,1993,Leber Hereditary Optic Neuropathy.
20301354,NBK1175,0,1993,Spinocerebellar Ataxia Type 10.
20301355,NBK1176,0,1993,Nijmegen Breakage Syndrome.
20301356,NBK1177,0,1993,Hereditary Nephrogenic Diabetes Insipidus.
20301357,NBK1178,0,1993,WAS-Related Disorders.
20301358,NBK1179,0,1993,Mitochondrial Neurogastrointestinal Encephalopathy Disease.
20301359,NBK1180,0,1993,Familial Dysautonomia.
20301360,NBK1181,0,1993,Citrin Deficiency.
20301361,NBK1182,0,1993,PLP1-Related Disorders.
20301362,NBK1183,1,1993,"Wolf-Hirschhorn Syndrome – RETIRED CHAPTER, FOR HISTORICAL REFERENCE ONLY."
20301363,NBK1184,0,1993,Spinocerebellar Ataxia Type 1.
20301364,NBK1185,0,1993,DCX-Related Disorders.
20301365,NBK1186,0,1993,Cardiofaciocutaneous Syndrome.
20301366,NBK1187,1,1993,"Charcot-Marie-Tooth Neuropathy Type 2E/1F – RETIRED CHAPTER, FOR HISTORICAL REFERENCE ONLY."
20301367,NBK1188,0,1993,Oral-Facial-Digital Syndrome Type I.
20301368,NBK1189,0,1993,Saethre-Chotzen Syndrome.
20301369,NBK1190,0,1993,Duane Syndrome.
20301370,NBK1191,1,1993,"1p36 Deletion Syndrome – RETIRED CHAPTER, FOR HISTORICAL REFERENCE ONLY."
20301371,NBK1192,0,1993,Marinesco-Sjögren Syndrome.
20301372,NBK1193,0,1993,Acute Intermittent Porphyria.
20301373,NBK1194,0,1993,Hereditary Transthyretin Amyloidosis.
20301374,NBK1195,0,1993,Succinic Semialdehyde Dehydrogenase Deficiency.
20301375,NBK1196,0,1993,Spinocerebellar Ataxia Type 3.
20301376,NBK1197,0,1993,Polycystic Lipomembranous Osteodysplasia with Sclerosing Leukoencephalopathy.
20301377,NBK1198,0,1993,Phelan-McDermid Syndrome-SHANK3 Related.
20301378,NBK1199,0,1993,CHMP2B-Related Frontotemporal Dementia-Amyotrophic Lateral Sclerosis.
20301379,NBK1200,0,1993,Hidrotic Ectodermal Dysplasia 2.
20301380,NBK1201,0,1993,NF2-Related Schwannomatosis.
20301381,NBK1202,1,1993,"Spinocerebellar Ataxia Type 12 – RETIRED CHAPTER, FOR HISTORICAL REFERENCE ONLY."
20301382,NBK1203,0,1993,Single Large-Scale Mitochondrial DNA Deletion Syndromes.
20301383,NBK1204,0,1993,Baller-Gerold Syndrome.
20301384,NBK1205,1,1993,"Charcot-Marie-Tooth Neuropathy Type 1 – RETIRED CHAPTER, FOR HISTORICAL REFERENCE ONLY."
20301385,NBK1206,0,1993,Fukuyama Congenital Muscular Dystrophy.
20301386,NBK1207,0,1993,Alport Syndrome.
20301387,NBK1208,0,1993,LRRK2-Related Parkinson Disease.
20301388,NBK1209,0,1993,DFNA2 Nonsyndromic Hearing Loss.
20301389,NBK1210,0,1993,Spastic Paraplegia 11.
20301390,NBK1211,0,1993,Lynch Syndrome.
20301391,NBK1212,1,1993,"Berardinelli-Seip Congenital Lipodystrophy – RETIRED CHAPTER, FOR HISTORICAL REFERENCE ONLY."
20301392,NBK1213,0,1993,FLNA Deficiency.
20301393,NBK1214,0,1993,Mucolipidosis IV.
20301394,NBK1215,0,1993,SHOX Deficiency Disorders.
20301395,NBK1216,0,1993,Deafness-Dystonia-Optic Neuronopathy Syndrome.
20301396,NBK1217,0,1993,Urea Cycle Disorders Overview.
20301397,NBK1218,0,1993,HEXA Disorders.
20301398,NBK1219,0,1993,Simpson-Golabi-Behmel Syndrome Type 1.
20301399,NBK1220,0,1993,Tuberous Sclerosis Complex.
20301400,NBK1221,0,1993,Familial Paroxysmal Nonkinesigenic Dyskinesia.
20301401,NBK1222,0,1993,X-Linked Congenital Retinoschisis.
20301402,NBK1223,0,1993,Monogenic Parkinson Disease Overview.
20301403,NBK1224,0,1993,Primary Mitochondrial Disorders Overview.
20301404,NBK1225,0,1993,Spinocerebellar Ataxia Type 13.
20301405,NBK1227,0,1993,Familial Mediterranean Fever.
20301407,NBK1229,0,1993,Genetic Prion Disease.
20301408,NBK1230,0,1993,Pulmonary Fibrosis Predisposition Overview.
20301409,NBK1231,0,1993,Isolated Methylmalonic Acidemia.
20301410,NBK1232,1,1993,"Oculocutaneous Albinism Type 2 – RETIRED CHAPTER, FOR HISTORICAL REFERENCE ONLY."
20301411,NBK1233,0,1993,MELAS.
20301412,NBK1234,0,1993,Canavan Disease.
20301413,NBK1235,0,1993,Hereditary Multiple Osteochondromas.
20301414,NBK1236,1,1993,"Early-Onset Familial Alzheimer Disease – RETIRED CHAPTER, FOR HISTORICAL REFERENCE ONLY."
20301415,NBK1237,0,1993,Rothmund-Thomson Syndrome.
20301416,NBK1238,0,1993,Krabbe Disease.
20301417,NBK1239,0,1993,Milroy Disease.
20301418,NBK1240,0,1993,ROR2-Related Robinow Syndrome.
20301419,NBK1241,0,1993,Ataxia with Vitamin E Deficiency.
20301420,NBK1242,0,1993,GARS1-Associated Axonal Neuropathy.
20301421,NBK1243,0,1993,ALS2-Related Disorder.
20301422,NBK1244,0,1993,Classic Ehlers-Danlos Syndrome.
20301423,NBK1245,0,1993,X-Linked Congenital Stationary Night Blindness.
20301424,NBK1246,0,1993,"Polycystic Kidney Disease, Autosomal Dominant."
20301425,NBK1247,0,1993,BRCA1- and BRCA2-Associated Hereditary Breast and Ovarian Cancer.
