species/code,symbol
human,GZMB
human,HLA-A
human,HLA-B
human,HLA-C
human,HLA-DMA
human,HLA-DMB
human,HLA-DOA
human,HLA-DOB
human,HLA-DPA1
human,HLA-DPB1
human,HLA-DQA1
human,HLA-DQA2
human,HLA-DQB1
human,HLA-DRA
human,HLA-DRB1
human,HLA-DRB3
human,HLA-DRB4
human,HLA-DRB5
human,HLA-E
human,HLA-F
human,HLA-G
human,IFNG
human,FAS
human,IL1A
human,IL1B
human,IL2
human,FASLG
human,IL6
human,KIR2DL1
human,KIR2DL2
human,KIR2DL3
human,KIR3DL1
human,KIR3DL2
human,KLRC1
human,KLRD1
human,PRF1
human,KIR2DL5A
human,TNF
human,CD28
human,CD80
human,CD86
