dataset,gene,comparison,group1_label,group2_label,n_group1,n_group2,mean_group1,mean_group2,log2_mean_difference,fold_change,t_statistic,p_value,q_value_bh,cohens_d
GSE65391,IFI27,SLE_vs_Healthy_firstvisit,SLE,Healthy,158,46,12.394511543987342,6.813769747608695,5.580741796378647,47.85977788764809,15.708118581097093,1.5530756751562595e-26,5.176918917187532e-26,2.4402490118656015
GSE65391,IFI44L,SLE_vs_Healthy_firstvisit,SLE,Healthy,158,46,11.665643721329113,7.8862285395652165,3.7794151817638966,13.731479591911473,16.016467824122643,3.7092699067828265e-28,1.8546349533914132e-27,2.367728018663754
GSE65391,IFIT1,SLE_vs_Healthy_firstvisit,SLE,Healthy,158,46,12.351754208417718,9.504506622826089,2.8472475855916297,7.196261365054281,14.33500518819009,2.966040138920847e-24,7.415100347302118e-24,2.2100757174811423
GSE65391,ISG15,SLE_vs_Healthy_firstvisit,SLE,Healthy,158,46,12.097641321582277,9.324728447826088,2.772912873756189,6.834865148192176,12.787694277537334,5.179206231740839e-22,8.632010386234734e-22,1.888373950432618
GSE65391,RSAD2,SLE_vs_Healthy_firstvisit,SLE,Healthy,158,46,10.52508329721519,6.816690624347825,3.7083926728673644,13.071861273999202,14.293711969712874,5.011705889974891e-24,1.0023411779949782e-23,2.2235988271579226
GSE65391,SIGLEC1,SLE_vs_Healthy_firstvisit,SLE,Healthy,158,46,3.9668178230379754,3.3758711126086958,0.5909467104292796,1.506234829033619,6.772028906779587,1.8245579524685654e-10,2.6065113606693795e-10,0.7581243882450994
GSE65391,IFN6_SCORE,SLE_vs_Healthy_firstvisit,SLE,Healthy,158,46,2.407749419688952,-9.171407594729554e-17,2.407749419688952,5.306458808626092,15.44265553726295,3.453603877783161e-28,1.8546349533914132e-27,2.1781804920179693
GSE65391,JCHAIN,SLE_vs_Healthy_firstvisit,SLE,Healthy,158,46,9.312725066265822,9.408783311521738,-0.09605824525591622,0.9355857251015581,-0.4435682678607348,0.6579262133672343,0.6579262133672343,-0.05068835415386709
GSE65391,MZB1,SLE_vs_Healthy_firstvisit,SLE,Healthy,158,46,7.508110197341771,7.001355511956521,0.5067546853852498,1.420850422464693,2.9342465595064566,0.0038646468712707238,0.004830808589088405,0.34912447240389594
GSE65391,TNFRSF17,SLE_vs_Healthy_firstvisit,SLE,Healthy,158,46,6.336030409683545,6.151953709347826,0.18407670033571932,1.1360896629580155,0.9378222304202793,0.350286117034525,0.3892067967050278,0.12382969788965567
GSE65391,IFI27,SLE_SLEDAIhi_vs_lo_firstvisit,SLEDAI>=6,SLEDAI<6,94,64,12.939426895957448,11.59416712078125,1.3452597751761974,2.5407594192087006,3.3463566404982394,0.00118178232738137,0.0014772279092267124,0.594531178900765
GSE65391,IFI44L,SLE_SLEDAIhi_vs_lo_firstvisit,SLEDAI>=6,SLEDAI<6,94,64,12.13801369297872,10.97185032546875,1.16616336750997,2.2441410681113982,4.21367031614882,5.675339728765426e-05,0.00010895131460176128,0.7432845587536868
GSE65391,IFIT1,SLE_SLEDAIhi_vs_lo_firstvisit,SLEDAI>=6,SLEDAI<6,94,64,12.721345961063827,11.80891632171875,0.9124296393450777,1.8822126607151224,4.168025494229915,6.537078876105676e-05,0.00010895131460176128,0.7280920324277318
GSE65391,ISG15,SLE_SLEDAIhi_vs_lo_firstvisit,SLEDAI>=6,SLEDAI<6,94,64,12.564130678510638,11.41248507859375,1.151645599916888,2.2216716334837505,4.626003243538608,1.1060557229208413e-05,3.001837389104863e-05,0.8059568432244675
GSE65391,RSAD2,SLE_SLEDAIhi_vs_lo_firstvisit,SLEDAI>=6,SLEDAI<6,94,64,11.053881571914893,9.748410831249998,1.3054707406648944,2.4716436216303213,4.623175290873507,1.2007349556419453e-05,3.001837389104863e-05,0.8192906005996712
