accession,dataset,organism,tissue,source_metadata,in_DepressionMood_PAC,in_ADprogression_PAC,assigned_group,included,exclusion_reason
M10001,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M10031,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M10233,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M10282,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M10632,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M10730,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M10795,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M107983,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M11243,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M11371,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M1140,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M11526,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M11588,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M11589,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M11716,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M1176,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,0,1,unlabeled,0,not present in both Depression and AD-progression PAC sheets
M118449,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
M11938,Supp6_PAC,Homo sapiens,DLPFC,PsychAD snRNA-seq (syn60084804); labels not provided in Supp Data 6,1,1,used_in_depression_vs_ADprogression_correlation,1,
