subclass,mean_abs_shap,rank
Astro,0.09905752299630112,1
Oligo,0.050425503928778245,2
OPC,0.03355446170066853,3
IN_SST,0.027795790416885343,4
Micro,0.02254581819001713,5
IN_ADARB2,0.02075155252602037,6
EN_L2_3_IT,0.01910462400116409,7
IN_VIP,0.018563748337759804,8
Endo,0.013378459128342231,9
IN_PVALB_CHC,0.011921142317692266,10
PC,0.01175837803212269,11
IN_LAMP5_LHX6,0.011571809864030417,12
EN_L3_5_IT_3,0.01036428905698076,13
PVM,0.009910768391133026,14
IN_PVALB,0.009808831794989757,15
EN_L5_ET,0.009804730076502545,16
SMC,0.007606461744594294,17
EN_L5_6_NP,0.007452875745104721,18
EN_L6_IT_2,0.007325497156933372,19
EN_L6_CT,0.007316992560242465,20
VLMC,0.007032103963511435,21
Immune,0.006190220673211315,22
EN_L3_5_IT_2,0.006127080780960591,23
EN_L6_IT_1,0.005986005129623634,24
IN_LAMP5_RELN,0.005952932019296363,25
EN_L3_5_IT_1,0.00591130846049709,26
EN_L6B,0.0058675714236052666,27
