species/code,symbol
human,TOMM40
human,SMIM40
human,MAPK14
human,CST3
human,DAXX
human,GPX1
human,GRIA1
human,APAF1
human,MAP3K5
human,NEFM
human,NEFH
human,NEFL
human,NOS1
human,PPP3CA
human,PPP3CB
human,PPP3CC
human,MAP2K2
human,MAP2K6
human,PRPH
human,BAD
human,ALS2
human,BAX
human,RAB5A
human,RAC1
human,BCL2
human,BCL2L1
human,BID
human,SLC1A2
human,SOD1
human,TNF
human,TNFRSF1A
human,TP53
human,DERL1
human,CASP1
human,CASP3
human,CASP9
human,CAT
human,CCS
