hpo_id	term_label	anatomical_system	prior_source	dismech_status	batch1_evidence
HP:0001915	Aplastic anemia	Blood and blood-forming tissues	OMIM	TODO	
HP:0005528	Bone marrow hypocellularity	Blood and blood-forming tissues	OMIM	TODO	
HP:0000978	Bruising susceptibility	Blood and blood-forming tissues	OMIM	TODO	
HP:0031640	Abnormal radial artery morphology	Cardiovascular system	novel(custom-only)	TODO	
HP:0001650	Aortic valve stenosis	Cardiovascular system	novel(custom-only)	TODO	
HP:0011590	Double aortic arch	Cardiovascular system	novel(custom-only)	TODO	
HP:0004935	Pulmonary artery atresia	Cardiovascular system	novel(custom-only)	TODO	
HP:0001642	Pulmonic stenosis	Cardiovascular system	novel(custom-only)	TODO	
HP:0001636	Tetralogy of Fallot	Cardiovascular system	OMIM+Orphanet	ADDED_BATCH1	ORPHA:84
HP:0034681	Finger joint contracture	Connective tissue	novel(custom-only)	TODO	
HP:0002027	Abdominal pain	Digestive system	novel(custom-only)	TODO	
HP:0025031	Abnormality of the digestive system	Digestive system	novel(custom-only)	TODO	
HP:0005912	Biliary atresia	Digestive system	OMIM	TODO	
HP:0002607	Bowel incontinence	Digestive system	novel(custom-only)	TODO	
HP:0002019	Constipation	Digestive system	novel(custom-only)	TODO	
HP:0002014	Diarrhea	Digestive system	novel(custom-only)	TODO	
HP:0002015	Dysphagia	Digestive system	novel(custom-only)	TODO	
HP:0040183	Encopresis	Digestive system	novel(custom-only)	TODO	
HP:6000064	Excessive eructation	Digestive system	novel(custom-only)	TODO	
HP:0011968	Feeding difficulties	Digestive system	OMIM	TODO	
HP:0002020	Gastroesophageal reflux	Digestive system	novel(custom-only)	TODO	
HP:0005214	Intestinal obstruction	Digestive system	novel(custom-only)	TODO	
HP:0002024	Malabsorption	Digestive system	novel(custom-only)	TODO	
HP:0004395	Malnutrition	Digestive system	novel(custom-only)	TODO	
HP:0030996	Megaduodenum	Digestive system	novel(custom-only)	TODO	
HP:0002018	Nausea	Digestive system	novel(custom-only)	TODO	
HP:0032043	Odynophagia	Digestive system	novel(custom-only)	TODO	
HP:0031703	Abnormal Ear morphology	Ear	novel(custom-only)	TODO	
HP:0001963	Abnormal speech discrimination	Ear	novel(custom-only)	TODO	
HP:0040090	Abnormal tympanic membrane morphology	Ear	novel(custom-only)	TODO	
HP:0000598	Abnormality of the Ear	Ear	novel(custom-only)	TODO	
HP:0009892	Anotia	Ear	OMIM	TODO	
HP:0000369	Low-set Ears	Ear	OMIM	ADDED_BATCH1	PMID:19622403
HP:0008551	Microtia	Ear	OMIM	ADDED_BATCH1	PMID:19622403
HP:0000358	Posteriorly rotated Ears	Ear	novel(custom-only)	ADDED_BATCH1	PMID:19622403
HP:0012285	Abnormal hypothalamus physiology	Endocrine system	novel(custom-only)	TODO	
HP:0034323	Reduced circulating growth hormone concentration	Endocrine system	OMIM	TODO	
HP:0001097	Keratoconjunctivitis sicca	Eye	novel(custom-only)	TODO	
HP:0000482	Microcornea	Eye	OMIM	TODO	
HP:0000077	Abnormality of the kidney	Genitourinary system	novel(custom-only)	TODO	
HP:0010461	Abnormality of the male genitalia	Genitourinary system	novel(custom-only)	TODO	
HP:0000140	Abnormality of the menstrual cycle	Genitourinary system	novel(custom-only)	TODO	
HP:0010469	Absent testis	Genitourinary system	Orphanet	TODO	
HP:0000141	Amenorrhea	Genitourinary system	novel(custom-only)	TODO	
HP:0000151	Aplasia of the uterus	Genitourinary system	OMIM	TODO	
HP:0003250	Aplasia of the vagina	Genitourinary system	novel(custom-only)	TODO	
HP:0000027	Azoospermia	Genitourinary system	Orphanet	ADDED_BATCH1	ORPHA:84;PMID:19622403
HP:0000041	Chordee	Genitourinary system	novel(custom-only)	TODO	
HP:0012622	Chronic kidney disease	Genitourinary system	novel(custom-only)	TODO	
HP:0000144	Decreased fertility	Genitourinary system	novel(custom-only)	TODO	
HP:0000868	Decreased fertility in females	Genitourinary system	novel(custom-only)	TODO	
HP:0008734	Decreased testicular size	Genitourinary system	novel(custom-only)	TODO	
HP:0000086	Ectopic kidney	Genitourinary system	OMIM	TODO	
HP:0003241	External genital hypoplasia	Genitourinary system	OMIM	TODO	
HP:0000085	Horseshoe kidney	Genitourinary system	OMIM	TODO	
HP:0000126	Hydronephrosis	Genitourinary system	OMIM	TODO	
HP:0000072	Hydroureter	Genitourinary system	Orphanet	ADDED_BATCH1	ORPHA:84
HP:0000013	Hypoplasia of the uterus	Genitourinary system	novel(custom-only)	TODO	
HP:0000858	Irregular menstruation	Genitourinary system	novel(custom-only)	TODO	
HP:0000132	Menorrhagia	Genitourinary system	novel(custom-only)	TODO	
HP:0030260	Microphallus	Genitourinary system	OMIM	TODO	
HP:0000876	Oligomenorrhea	Genitourinary system	novel(custom-only)	TODO	
HP:0000798	Oligozoospermia	Genitourinary system	novel(custom-only)	ADDED_BATCH1	PMID:19622403
HP:0001741	Phimosis	Genitourinary system	novel(custom-only)	TODO	
HP:0000104	Renal agenesis	Genitourinary system	OMIM	TODO	
HP:0000110	Renal dysplasia	Genitourinary system	novel(custom-only)	TODO	
HP:0000089	Renal hypoplasia	Genitourinary system	OMIM	TODO	
HP:0004712	Renal malrotation	Genitourinary system	novel(custom-only)	TODO	
HP:0034231	Sigmoid kidney	Genitourinary system	novel(custom-only)	TODO	
HP:0000029	Testicular atrophy	Genitourinary system	novel(custom-only)	TODO	
HP:0008661	Urethral stenosis	Genitourinary system	novel(custom-only)	TODO	
HP:0004323	Abnormality of body weight	Growth abnormality	novel(custom-only)	TODO	
HP:0001508	Failure to thrive	Growth abnormality	OMIM	TODO	
HP:0001510	Growth delay	Growth abnormality	OMIM+Orphanet	TODO	
HP:0100559	Lower limb asymmetry	Growth abnormality	novel(custom-only)	TODO	
HP:0001513	Obesity	Growth abnormality	novel(custom-only)	ADDED_BATCH1	PMID:19622403
HP:0025502	Overweight	Growth abnormality	novel(custom-only)	TODO	
HP:0001518	Small for gestational age	Growth abnormality	OMIM	TODO	
HP:0032154	Aphthous ulcer	Head or neck	novel(custom-only)	TODO	
HP:0002007	Frontal bossing	Head or neck	Orphanet	ADDED_BATCH1	ORPHA:84
HP:0000212	Gingival overgrowth	Head or neck	novel(custom-only)	TODO	
HP:0000230	Gingivitis	Head or neck	novel(custom-only)	TODO	
HP:0000218	High palate	Head or neck	Orphanet	ADDED_BATCH1	ORPHA:84
HP:0045025	Narrow palpebral fissure	Head or neck	novel(custom-only)	TODO	
HP:0000155	Oral ulcer	Head or neck	novel(custom-only)	TODO	
HP:0000704	Periodontitis	Head or neck	novel(custom-only)	TODO	
HP:0011107	Recurrent aphthous stomatitis	Head or neck	novel(custom-only)	TODO	
HP:0012745	Short palpebral fissure	Head or neck	OMIM+Orphanet	ADDED_BATCH1	ORPHA:84
HP:0000506	Telecanthus	Head or neck	novel(custom-only)	TODO	
HP:0000217	Xerostomia	Head or neck	novel(custom-only)	TODO	
HP:0001875	Decreased total neutrophil count	Immune system	OMIM	TODO	
HP:0002718	Recurrent bacterial infections	Immune system	novel(custom-only)	TODO	
HP:0002841	Recurrent fungal infections	Immune system	novel(custom-only)	TODO	
HP:0002719	Recurrent infections	Immune system	novel(custom-only)	TODO	
HP:0410028	Recurrent oral herpes	Immune system	novel(custom-only)	TODO	
HP:0004429	Recurrent viral infections	Immune system	novel(custom-only)	TODO	
HP:0001000	Abnormality of skin pigmentation	Integument	OMIM+Orphanet	TODO	
HP:0025127	Actinic keratosis	Integument	novel(custom-only)	TODO	
HP:0000958	Dry skin	Integument	novel(custom-only)	TODO	
HP:0025474	Erythematous plaque	Integument	novel(custom-only)	TODO	
HP:0001010	Hypopigmentation of the skin	Integument	novel(custom-only)	TODO	
HP:0007587	Numerous pigmented freckles	Integument	novel(custom-only)	TODO	
HP:0000967	Petechiae	Integument	novel(custom-only)	TODO	
HP:0000979	Purpura	Integument	novel(custom-only)	TODO	
HP:0040189	Scaling skin	Integument	novel(custom-only)	TODO	
HP:0200036	Skin nodule	Integument	novel(custom-only)	TODO	
HP:0001072	Thickened skin	Integument	novel(custom-only)	TODO	
