hpo_id	term_label	in_omim	in_orphanet	in_custom_profile	anatomical_system
HP:0000010	Recurrent urinary tract infections		Y		Genitourinary system
HP:0000013	Hypoplasia of the uterus			Y	Genitourinary system
HP:0000023	Inguinal hernia	Y			Digestive system
HP:0000027	Azoospermia		Y	Y	Genitourinary system
HP:0000028	Cryptorchidism	Y	Y	Y	Genitourinary system
HP:0000029	Testicular atrophy			Y	Genitourinary system
HP:0000035	Abnormal testis morphology		Y		Genitourinary system
HP:0000041	Chordee			Y	Genitourinary system
HP:0000047	Hypospadias		Y	Y	Genitourinary system
HP:0000054	Micropenis	Y			Genitourinary system
HP:0000062	Ambiguous genitalia	Y			Genitourinary system
HP:0000072	Hydroureter		Y	Y	Genitourinary system
HP:0000075	Renal duplication	Y			Genitourinary system
HP:0000076	Vesicoureteral reflux	Y			Genitourinary system
HP:0000077	Abnormality of the kidney			Y	Genitourinary system
HP:0000079	Abnormality of the urinary system		Y		Genitourinary system
HP:0000081	Duplicated collecting system	Y			Genitourinary system
HP:0000083	Renal insufficiency		Y		Genitourinary system
HP:0000085	Horseshoe kidney	Y		Y	Genitourinary system
HP:0000086	Ectopic kidney	Y		Y	Genitourinary system
HP:0000089	Renal hypoplasia	Y		Y	Genitourinary system
HP:0000104	Renal agenesis	Y		Y	Genitourinary system
HP:0000107	Renal cyst	Y			Genitourinary system
HP:0000110	Renal dysplasia			Y	Genitourinary system
HP:0000122	Unilateral renal agenesis	Y			Genitourinary system
HP:0000125	Pelvic kidney	Y			Genitourinary system
HP:0000126	Hydronephrosis	Y		Y	Genitourinary system
HP:0000130	Abnormality of the uterus		Y		Genitourinary system
HP:0000132	Menorrhagia			Y	Genitourinary system
HP:0000133	Gonadal dysgenesis			Y	Genitourinary system
HP:0000135	Hypogonadism	Y	Y		Endocrine system
HP:0000140	Abnormality of the menstrual cycle			Y	Genitourinary system
HP:0000141	Amenorrhea			Y	Genitourinary system
HP:0000144	Decreased fertility			Y	Genitourinary system
HP:0000148	Vaginal atresia			Y	Genitourinary system
HP:0000151	Aplasia of the uterus	Y		Y	Genitourinary system
HP:0000155	Oral ulcer			Y	Head or neck
HP:0000175	Cleft palate	Y	Y	Y	Head or neck
HP:0000189	Narrow palate	Y			Head or neck
HP:0000212	Gingival overgrowth			Y	Head or neck
HP:0000215	Thick upper lip vermilion	Y			Head or neck
HP:0000217	Xerostomia			Y	Head or neck
HP:0000218	High palate		Y	Y	Head or neck
HP:0000230	Gingivitis			Y	Head or neck
HP:0000238	Hydrocephalus	Y	Y	Y	Nervous system
HP:0000252	Microcephaly	Y	Y	Y	Head or neck
HP:0000268	Dolichocephaly		Y		Musculoskeletal system
HP:0000280	Coarse facial features	Y			Head or neck
HP:0000286	Epicanthus	Y	Y	Y	Head or neck
HP:0000294	Low anterior hairline	Y			Head or neck
HP:0000307	Pointed chin			Y	Head or neck
HP:0000316	Hypertelorism	Y	Y	Y	Eye
HP:0000324	Facial asymmetry		Y		Head or neck
HP:0000325	Triangular face	Y		Y	Head or neck
HP:0000340	Sloping forehead		Y		Head or neck
HP:0000347	Micrognathia	Y	Y	Y	Musculoskeletal system
HP:0000358	Posteriorly rotated Ears			Y	Ear
HP:0000364	HEaring abnormality		Y		Ear
HP:0000365	HEaring impairment	Y	Y	Y	Ear
HP:0000369	Low-set Ears	Y		Y	Ear
HP:0000377	Abnormal pinna morphology		Y	Y	Ear
HP:0000396	Overfolded helix	Y			Ear
HP:0000402	Stenosis of the external auditory canal			Y	Ear
HP:0000405	Conductive hEaring impairment	Y			Ear
HP:0000413	Atresia of the external auditory canal	Y		Y	Ear
HP:0000414	Bulbous nose	Y			Head or neck
HP:0000426	Prominent nasal bridge	Y			Head or neck
HP:0000430	Underdeveloped nasal alae	Y			Head or neck
HP:0000431	Wide nasal bridge	Y			Head or neck
HP:0000437	Depressed nasal tip	Y			Head or neck
HP:0000452	Choanal stenosis	Y			Head or neck
HP:0000453	Choanal atresia		Y		Head or neck
HP:0000463	Anteverted nares	Y			Head or neck
HP:0000465	Webbed neck	Y			Integument
HP:0000470	Short neck	Y			Musculoskeletal system
HP:0000478	Abnormality of the Eye		Y		Eye
HP:0000482	Microcornea	Y		Y	Eye
HP:0000483	Astigmatism	Y	Y		Eye
HP:0000486	Strabismus	Y	Y	Y	Eye
HP:0000492	Abnormal Eyelid morphology		Y		Head or neck
HP:0000504	Abnormality of vision		Y		Eye
HP:0000505	Visual impairment		Y		Eye
HP:0000506	Telecanthus			Y	Head or neck
HP:0000508	Ptosis		Y	Y	Head or neck
HP:0000518	Cataract		Y	Y	Eye
HP:0000520	Proptosis		Y		Head or neck
