dataset	platform	probe_id	gene_symbol	case_n	control_n	case_mean_log2	control_mean_log2	log2_mean_diff	fold_change	case_sd_log2	control_sd_log2	cohen_d_pooled	p_value_welch	q_value_bh
GSE197406	GPL570	1007_s_at	MIR4640;DDR1	7	8	9.286788571428572	8.064710000000002	1.22207857142857	2.332825785458594	0.561161220073417	0.29792811438811406	2.780801360982	0.0006245149296671339	0.023728529381202606
GSE197406	GPL570	1053_at	RFC2	7	8	6.698434285714286	6.77310125	-0.07466696428571407	0.9495612950083631	0.16212067561512555	0.14550021742129066	-0.4867622735359872	0.36874338382161226	0.6978107789827339
GSE197406	GPL570	117_at	HSPA6	7	8	6.755510000000001	6.756888750000001	-0.0013787499999997621	0.9990447798383189	0.1296081275743666	0.10561305444708467	-0.011754126616534421	0.9825211119237726	0.9947574012283903
GSE197406	GPL570	121_at	PAX8	7	8	9.268701428571429	9.0868725	0.18182892857142896	1.1343209718135998	0.2070182293445492	0.26678507822643616	0.7543239306735218	0.1620036290155695	0.48421162640851434
GSE197406	GPL570	1255_g_at	GUCA1A	7	8	5.741917142857143	5.70925375	0.0326633928571427	1.022898780893803	0.0243595099254795	0.060484678092295165	0.6895591771191063	0.1926084342750291	0.5226236299745517
GSE197406	GPL570	1294_at	MIR5193;UBA7	7	8	7.786958571428571	7.763199999999999	0.023758571428571962	1.0166045348280646	0.16953078760985885	0.11898760235539554	0.16438671499358562	0.7626056299557593	0.9191918788790181
GSE197406	GPL570	1316_at	THRA	7	8	6.528664285714285	6.53087375	-0.0022094642857144464	0.9984696881828997	0.10677832674239084	0.17380449089525024	-0.01505857390960781	0.9765272929416728	0.9930924565516426
GSE197406	GPL570	1320_at	PTPN21	7	8	6.451709999999999	6.38837375	0.06333624999999898	1.0448792652694918	0.03642301012638395	0.14234336704276537	0.5900391049219441	0.25925290175455235	0.6002647752786545
GSE197406	GPL570	1405_i_at	CCL5	7	8	6.648748571428571	6.3011225	0.3476260714285706	1.2724650854424158	0.22964934475765225	0.228921971906212	1.5163096516026529	0.01196230376315631	0.13305232851513277
GSE197406	GPL570	1431_at	CYP2E1	7	8	13.748842857142858	14.765825000000001	-1.0169821428571435	0.4941489421044058	0.6274223719769189	0.23905420036946806	-2.2063511367821014	0.004254358531231596	0.07535087149152579
GSE197406	GPL570	1438_at	EPHB3	7	8	6.879052857142858	6.8332637499999995	0.04578910714285822	1.0322476307127049	0.1823765162801289	0.24043389795103487	0.2123899737318113	0.6826086446920252	0.8843469309759934
GSE197406	GPL570	1487_at	ESRRA	7	8	7.792451428571428	7.69149625	0.10095517857142777	1.0724832965535511	0.12364839322700115	0.26726415771332734	0.4731874055039864	0.36051521611293474	0.6913445209081563
GSE197406	GPL570	1494_f_at	CYP2A6	7	8	10.10555142857143	13.0282875	-2.92273607142857	0.1318769131667343	1.7529794780737222	1.157303350080325	-1.9981897930017247	0.0036484694257992176	0.06831015478210059
GSE197406	GPL570	1552256_a_at	SCARB1	7	8	9.657664285714286	9.6991925	-0.04152821428571407	0.9716251814858878	0.44260925855872524	0.4212293175168534	-0.0963020608307862	0.8558719642652295	0.9542706942555196
GSE197406	GPL570	1552257_a_at	TTLL12	7	8	7.2656471428571425	7.1221475	0.1434996428571429	1.104581326202083	0.21670230914892477	0.1698586001649607	0.743916426601655	0.18446921012912174	0.5126240077246913
GSE197406	GPL570	1552258_at	LOC101930489;LINC00152	7	8	6.752047142857143	6.733498749999999	0.018548392857144158	1.0129397697692373	0.1334322541859459	0.054335071136027445	0.1873001091357457	0.7402384557392201	0.910326674115552
GSE197406	GPL570	1552261_at	WFDC2	7	8	6.41003	6.31431	0.09572000000000003	1.0685985761787147	0.14063642143247723	0.2303252543686862	0.49302348347170877	0.344801206885434	0.6787889672149606
GSE197406	GPL570	1552263_at	MAPK1	7	8	5.979118571428572	5.877217500000001	0.10190107142857041	1.0731866932475551	0.24802578827133878	0.23522419213228407	0.42244554571741716	0.43133231941295586	0.7424534067332409
GSE197406	GPL570	1552264_a_at	MAPK1	7	8	6.7140128571428574	6.30128125	0.4127316071428577	1.3312039386728467	0.32669007365362285	0.28654941291349983	1.3499808455710955	0.023785452302819636	0.19121740988923153
GSE197406	GPL570	1552266_at	ADAM32	7	8	6.01579	6.1018349999999995	-0.08604499999999948	0.9421018877594822	0.12806935542900202	0.2193344729598414	-0.4702956013782543	0.36594849509319943	0.695527304523262
GSE197406	GPL570	1552269_at	SPATA17	7	8	5.740524285714286	5.79533625	-0.05481196428571433	0.9627199123968163	0.04763685822873685	0.035941844271584804	-1.3129042307009264	0.03000296099743632	0.2141080472445252
GSE197406	GPL570	1552271_at	PRR22	7	8	6.962124285714287	7.082858750000001	-0.12073446428571355	0.9197193098168754	0.15537329273474929	0.2669471326706309	-0.5425891585709381	0.2997251289433386	0.6393863216924321
GSE197406	GPL570	1552272_a_at	PRR22	7	8	6.448727142857144	6.491352500000001	-0.042625357142857645	0.9708865594215087	0.10624612584533535	0.12988273059626845	-0.3565316055419938	0.49705897999114873	0.7860313033934658
GSE197406	GPL570	1552274_at	PXK	7	8	6.118704285714285	6.0355025	0.08320178571428549	1.0593664949465473	0.08471698665894252	0.1267555301414047	0.7606702979749927	0.15625269964159302	0.47647051605711643
GSE197406	GPL570	1552275_s_at	PXK	7	8	6.128457142857142	6.155737500000001	-0.02728035714285859	0.9812683566580923	0.18819562771349452	0.11496427765055679	-0.17809650208524705	0.7462451106837054	0.9125250210652597
GSE197406	GPL570	1552276_a_at	VPS18	7	8	6.752695714285713	6.606157499999999	0.14653821428571412	1.1069102219000897	0.07173907253771424	0.20119919999485947	0.9425125536904027	0.08651444458141153	0.3603825388974067
GSE197406	GPL570	1552277_a_at	MSANTD3	7	8	7.261018571428572	6.752921250000001	0.5080973214285711	1.4221733444259386	0.3164621358303166	0.1807420164162563	2.011378394113929	0.004347295162506033	0.07623103367864573
GSE197406	GPL570	1552278_a_at	SLC46A1	7	8	6.125981428571429	6.1732475	-0.04726607142857109	0.9677685281164589	0.05677304214401166	0.18561689437810192	-0.3338914059444494	0.5119205110870481	0.7950944869304032
