dataset	gene_symbol	best_probe_id	n_probes	all_probes	case_n	control_n	case_mean_log2	control_mean_log2	log2_mean_diff	fold_change	cohen_d_pooled	p_value_welch	q_value_bh
GSE197406	SLC39A5	1552281_at	2	1552281_at,231667_at	7	8	8.580244285714285	9.82021375	-1.239969464285716	0.42338161727346574	-2.952355602650937	0.0002674729490729164	0.015048934539261118
GSE197406	ZDHHC11B	221646_s_at	2	1552283_s_at,221646_s_at	7	8	7.332307142857144	7.2992550000000005	0.03305214285714353	1.0231744493271495	0.08407200369432555	0.8730992791434944	0.9596557073663455
GSE197406	ZDHHC11	232417_x_at	3	1552283_s_at,221646_s_at,232417_x_at	7	8	7.562930000000001	7.76757375	-0.2046437499999998	0.8677529381270986	-0.9521128074529612	0.0909843681234602	0.369994074165131
GSE197406	ATP6V1E2	1552286_at	2	1552286_at,1557372_at	7	8	6.502197142857144	6.4363712500000005	0.06582589285714313	1.0466839585694085	0.4086886438776635	0.43432042802399135	0.7440069368114712
GSE197406	AFG3L1P	1559863_a_at	3	1552287_s_at,1559863_a_at,236250_at	7	8	6.548781428571429	6.63133375	-0.08255232142857061	0.9443854232266161	-1.3951444036793414	0.016760574615483234	0.15929054282826471
GSE197406	CILP2	1552288_at	2	1552288_at,1552289_a_at	7	8	6.383202857142856	6.255850000000001	0.1273528571428555	1.0922876669075559	0.4829324133068254	0.36879634694988717	0.6978107789827339
GSE197406	PIGX	1563111_a_at	3	1552291_at,1563111_a_at,227403_at	7	8	6.13662	6.223402500000001	-0.08678250000000087	0.9416204120745651	-0.548385554995559	0.31612387088735894	0.6542622572290694
GSE197406	TMEM196	1552293_at	2	1552293_at,236705_at	7	8	6.386454285714286	6.41574625	-0.029291964285714123	0.9799010885545221	-0.14633238202527465	0.7793777099831799	0.925573454969273
GSE197406	SLC39A13	225277_at	2	1552295_a_at,225277_at	7	8	7.151388571428571	7.008179999999999	0.14320857142857157	1.1043584935005955	1.2313459990303572	0.03531019872945388	0.232356723572746
GSE197406	BEST4	1552296_at	1	1552296_at	7	8	6.006087142857142	6.054308750000001	-0.0482216071428585	0.967127761222584	-0.2921413820895842	0.5727788819402194	0.8290949633359374
GSE197406	AK9	1552299_at	3	1552299_at,1564002_a_at,239828_at	7	8	6.372187142857143	6.3762550000000005	-0.004067857142857179	0.9971843476959397	-0.038602269982647014	0.9399687374381129	0.982487321206996
GSE197406	CORO6	1552301_a_at	1	1552301_a_at	7	8	6.688057142857143	6.717186249999999	-0.029129107142856547	0.9800117099225952	-0.1573903902266801	0.756689113542219	0.9166653411445851
GSE197406	TMEM106A	234580_at	4	1552302_at,1552303_a_at,234580_at,234589_at	7	8	6.779078571428571	6.82671	-0.04763142857142899	0.967523475373789	-0.3804702786723906	0.46206576481641326	0.763687423253031
GSE197406	ALG10	242900_at	5	1552304_at,1552306_at,228941_at,238475_at,242900_at	7	8	5.947634285714285	6.077055	-0.12942071428571467	0.9141984548856442	-1.7048661513358132	0.005260868772472066	0.08444257645217132
GSE197406	TTC39C	238480_at	4	1552307_a_at,227881_s_at,230747_s_at,238480_at	7	8	9.714677142857143	10.56913875	-0.8544616071428575	0.5530716864813506	-0.8290801706270948	0.13654108776602594	0.4473590749260443
GSE197406	NEXN	1552309_a_at	2	1552309_a_at,226103_at	7	8	6.847675714285714	6.323450000000001	0.5242257142857127	1.4381615202483038	1.4738624280792716	0.016618164488231304	0.15867837603388937
GSE197406	C15orf40	1552310_at	2	1552310_at,240201_at	7	8	6.27876	6.30491875	-0.026158749999999564	0.9820315294016231	-0.13180026387617805	0.7975801061068998	0.9329401398404799
GSE197406	RAX2	1552311_a_at	1	1552311_a_at	7	8	8.078945714285714	8.090392499999998	-0.011446785714284147	0.9920970862878816	-0.03482617710558137	0.9472582915427273	0.9844247640151009
GSE197406	MFAP3	213123_at	3	1552312_a_at,213123_at,214588_s_at	7	8	7.7335642857142854	7.675106249999999	0.05845803571428654	1.0413521601094744	0.15021922813212388	0.767541100410206	0.9209381510035114
GSE197406	EYA3	226170_at	4	1552314_a_at,1554844_at,206379_at,226170_at	7	8	7.904142857142858	7.565402499999999	0.3387403571428589	1.2646519215622476	1.2427110025064179	0.033374754344311926	0.22651001660566714
GSE197406	GIMAP1	236583_at	5	1552315_at,1552316_a_at,1552318_at,236401_at,236583_at	7	8	6.630072857142857	6.532105	0.09796785714285772	1.0702648529481777	0.44050723895580446	0.40271896081588826	0.7231126415889543
GSE197406	KLK8	1552319_a_at	3	1552319_a_at,206125_s_at,233687_s_at	7	8	7.02511	7.096354999999999	-0.07124499999999934	0.9518162563271003	-0.18349814732957445	0.717579848422019	0.9005316103883577
GSE197406	CCDC65	1561523_at	3	1552320_a_at,1552321_a_at,1561523_at	7	8	5.913581428571428	5.91254875	0.0010326785714278586	1.0007160544849065	0.00780128056416939	0.9880190419747933	0.9962668166424128
GSE197406	FAM122C	239047_at	4	1552322_at,1552323_s_at,1562641_at,239047_at	7	8	6.2667728571428585	6.30973875	-0.042965892857141696	0.9706574170722801	-0.29487537451094753	0.5647058725306019	0.8240327620856581
GSE197406	CFAP53	1552326_a_at	2	1552325_at,1552326_a_at	7	8	5.9725914285714286	6.00286875	-0.030277321428571646	0.9792320470387447	-0.3362460012476206	0.5374006371385547	0.8098866207231502
GSE197406	ARMCX4	1564399_a_at	5	1552327_at,1557726_at,1564399_a_at,207799_x_at,227444_at	7	8	7.357367142857143	7.25933875	0.0980283928571426	1.0703097623745037	0.27732738592395123	0.5867476842360526	0.8369880106705346
GSE197406	RBBP6	212783_at	8	1552329_at,205178_s_at,212781_at,212783_at,223802_s_at,227635_at,228814_at,232044_at	7	8	8.897957142857143	8.622678749999999	0.2752783928571443	1.2102276009490975	0.6661558205037886	0.2202493579664987	0.5555650534452614
GSE197406	CENPBD1	223728_at	3	1552330_at,223728_at,229171_at	7	8	7.220927142857143	7.3694637499999995	-0.14853660714285688	0.9021651067877491	-0.8017206104393029	0.16415562942371253	0.4870155211211397
GSE197406	TRIOBP	216210_x_at	6	1552332_at,1552334_at,202795_x_at,210276_s_at,216210_x_at,243690_at	7	8	10.4275	9.659828749999999	0.7676712500000011	1.7025194145573577	3.1619837570581346	3.4137952411464014e-05	0.004510515945969304
GSE197406	CATSPER1	1552335_at	1	1552335_at	7	8	6.483508571428571	6.493261250000001	-0.009752678571429918	0.9932627560268741	-0.062255093641779995	0.9037564491601656	0.9703026298318017
GSE197406	HOXD4	205522_at	5	1552337_s_at,205522_at,206601_s_at,206602_s_at,217076_s_at	7	8	6.545192857142857	6.58163125	-0.03643839285714279	0.9750591245360448	-0.4150369362404693	0.42178562147275456	0.7357169378184246
GSE197406	GSC	1552338_at	1	1552338_at	7	8	6.000751428571428	6.111912500000001	-0.11116107142857246	0.9258426499370936	-0.7366102761815889	0.16650220975459068	0.49014743543489175
GSE197406	SP7	1552340_at	1	1552340_at	7	8	6.0554057142857145	6.13978625	-0.08438053571428572	0.9431894355914467	-1.2809449785758091	0.03131476631363327	0.2194200753809944
GSE197406	PDE7A	223358_s_at	6	1552343_s_at,223358_s_at,223359_s_at,224046_s_at,230444_at,230500_at	7	8	6.93573	6.358462500000002	0.5772674999999987	1.492020646845157	1.5956051006714833	0.015144027605472857	0.15124347932392268
GSE197406	CNOT7	225053_at	6	1552344_s_at,1558372_at,1558373_s_at,218250_s_at,225053_at,233019_at	7	8	10.071337142857143	10.077995	-0.006657857142856827	0.9953957572663906	-0.020954572277417968	0.9679047925991793	0.9901298251024123
GSE197406	CRYZL1	226151_x_at	5	1552347_at,1554767_s_at,1560609_at,219767_s_at,226151_x_at	7	8	7.9863357142857145	7.882389999999999	0.10394571428571542	1.074708732965427	0.2506923951701621	0.6287190279701378	0.8578362161675804
GSE197406	PRSS33	1552348_at	2	1552348_at,1552349_a_at	7	8	7.865022857142856	7.7384675	0.12655535714285637	1.0916840336595426	0.2773343661559062	0.596365655898186	0.8421917026330611
GSE197406	CBARP	231019_x_at	4	1552354_at,1552355_s_at,215325_x_at,231019_x_at	7	8	6.780305714285714	6.910476249999999	-0.13017053571428505	0.9137234359336863	-1.1070357844933254	0.04775911571638198	0.26754402170012137
GSE197406	MCMDC2	1569677_a_at	2	1552359_at,1569677_a_at	7	8	6.028678571428571	6.017045	0.01163357142857091	1.0080963770541862	0.14570036417609794	0.7735589719604539	0.9230742004831579
GSE197406	TIRAP	1554091_a_at	4	1552360_a_at,1552804_a_at,1554091_a_at,239796_x_at	7	8	8.266212857142857	8.11302625	0.1531866071428567	1.112022984179123	0.33413694653376974	0.5244514997134724	0.8020715615010653
GSE197406	LEAP2	1552362_a_at	1	1552362_a_at	7	8	13.177800000000001	13.2879875	-0.11018749999999855	0.9264676456087532	-0.17363632694750594	0.7441485810673804	0.9118235129644197
GSE197406	MSI2	243579_at	10	1552364_s_at,1559987_at,225233_at,225237_s_at,225238_at,225240_s_at,226134_s_at,239232_at,243010_at,243579_at	7	8	7.040882857142859	7.0307337500000004	0.010149107142858327	1.0070596275089945	0.0396435200990692	0.9375544006856316	0.981529453101296
GSE197406	SCIN	222272_x_at	4	1552365_at,1552367_a_at,222272_x_at,239365_at	7	8	5.9967	5.995097500000001	0.001602499999998841	1.0011113854884934	0.014041467162503297	0.9782235029625276	0.9935522582435188
GSE197406	CTCFL	1552368_at	1	1552368_at	7	8	5.95644142857143	5.993690000000001	-0.037248571428571076	0.9745117113861865	-0.4745484761253898	0.3685263195612168	0.6975536260963149
GSE197406	C4orf33	1552370_at	3	1552370_at,1552372_at,1552373_s_at	7	8	6.552717142857143	6.394165	0.15855214285714325	1.1161664156333426	1.1171280886975736	0.08000996966132194	0.3474065003500118
GSE197406	ZNF333	1569250_at	6	1552375_at,1559674_at,1563783_a_at,1569250_at,1569251_a_at,231369_at	7	8	7.219481428571428	7.182622499999999	0.03685892857142914	1.0258778267511712	0.198345154545757	0.6940944843925098	0.8902048719674341
GSE197406	TVP23C	1552377_s_at	3	1552377_s_at,228482_at,244698_at	7	8	7.354108571428571	7.494188749999999	-0.14008017857142807	0.907468720841784	-0.7910504413475214	0.16046964778034595	0.4819642931438373
GSE197406	RDH10	227467_at	4	1552378_s_at,1552379_at,226021_at,227467_at	7	8	8.517061428571429	8.74172625	-0.22466482142857025	0.8557938275264229	-0.42394199466385923	0.42041283845789224	0.7346059921090179
GSE197406	SRSF12	239295_at	2	1552381_at,239295_at	7	8	6.172577142857143	6.135695	0.03688214285714331	1.0258943341986269	0.20464162548206977	0.6852001384029425	0.8855071833654822
GSE197406	FAM71A	1552383_at	3	1552383_at,1552384_a_at,1564112_at	7	8	8.352022857142858	8.315915	0.03610785714285747	1.025343890629146	0.09535992834776073	0.8513574941503872	0.9525271454282066
GSE197406	GAPT	1552386_at	1	1552386_at	7	8	6.020271428571428	5.92916625	0.09110517857142852	1.0651858571177175	0.7882320464434981	0.19260075289785944	0.5226236299745517
GSE197406	FLJ30901	1552388_at	1	1552388_at	7	8	6.761671428571427	6.943004999999999	-0.18133357142857243	0.8818874368167284	-1.11551835380992	0.0467088745788758	0.26466613998243194
GSE197406	SCUBE1	1552388_at	2	1552388_at,233988_x_at	7	8	6.761671428571427	6.943004999999999	-0.18133357142857243	0.8818874368167284	-1.11551835380992	0.0467088745788758	0.26466613998243194
GSE197406	ERICH5	1552390_a_at	2	1552389_at,1552390_a_at	7	8	7.3895228571428575	6.123264999999999	1.2662578571428584	2.405368377968117	3.430062464094444	8.90495553197655e-05	0.007899896725226228
GSE197406	CCDC185	1552391_at	1	1552391_at	7	8	6.645681428571428	6.67585375	-0.03017232142857207	0.9793033185852151	-0.18367866027997248	0.7292289906609976	0.9054815790966679
GSE197406	ENTHD1	1552394_a_at	2	1552393_at,1552394_a_at	7	8	5.67142	5.76103	-0.08960999999999952	0.9397767622882411	-0.8707241220554983	0.10832514633525922	0.40182063893466735
GSE197406	TSSK3	1552395_at	1	1552395_at	7	8	8.500715714285715	8.565077500000001	-0.06436178571428641	0.9563682988247955	-0.20763282885461637	0.6909958982902711	0.8885542705233695
GSE197406	WFDC6	1552396_at	1	1552396_at	7	8	6.138662857142856	6.25408875	-0.11542589285714389	0.9231097625619762	-0.7391404154477457	0.1651867995963648	0.48866942256959445
GSE197406	CLEC12A	1552398_a_at	3	1552398_a_at,1569401_at,243106_at	7	8	6.102040000000001	6.129261249999999	-0.02722124999999842	0.9813085599965952	-0.15164403262529522	0.7792890703462839	0.9255127234496064
GSE197406	BRF1	215676_at	4	1552399_a_at,203754_s_at,215676_at,215677_s_at	7	8	7.310912857142858	7.323124999999999	-0.012212142857141117	0.991570913259669	-0.08201011849502138	0.8728355148056677	0.9595938509069539
GSE197406	TMEM266	1552400_a_at	1	1552400_a_at	7	8	6.44222	6.5092349999999985	-0.06701499999999871	0.9546110887983489	-0.3243514209728052	0.5319407871398628	0.806608241054392
GSE197406	GRIK1-AS2	210818_s_at	4	1552401_a_at,1553607_at,1560378_at,210818_s_at	7	8	6.549095714285714	6.607983750000001	-0.058888035714287135	0.9600037618597069	-0.2773056321577644	0.5857283511354657	0.8362704102117334
GSE197406	BACH1	204194_at	6	1552401_a_at,1553607_at,204194_at,210818_s_at,234315_at,234938_at	7	8	7.31837142857143	7.0802775	0.23809392857142964	1.1794333783337687	0.8174341429684571	0.1321797226184184	0.4409889147035652
GSE197406	CALML6	1552402_at	1	1552402_at	7	8	6.582425714285714	6.44614125	0.13628446428571372	1.0990709061980508	1.1914335363913924	0.037380242112980376	0.2388033394333777
GSE197406	NLRP5	1552405_at	1	1552405_at	7	8	6.52098142857143	6.28929625	0.23168517857143023	1.1742057109191928	0.9548623809583477	0.08162692127684633	0.3505853826246326
GSE197406	ODF4	1552409_a_at	2	1552408_at,1552409_a_at	7	8	7.105568571428572	7.1006	0.004968571428571877	1.0034498884911938	0.01666536347634405	0.9744261221213034	0.9924139078120533
GSE197406	CLEC4F	1552410_at	1	1552410_at	7	8	6.45450142857143	6.416208749999999	0.03829267857143126	1.0268978506653919	0.20748812656661003	0.691438841126533	0.8888673823468338
GSE197406	DEFB106B	1552411_at	2	1552411_at,1552412_a_at	7	8	8.120704285714284	8.53317125	-0.4124669642857164	0.7513375105191751	-0.6571511996508713	0.21249778843481998	0.5470532339520568
GSE197406	DEFB106A	1552411_at	2	1552411_at,1552412_a_at	7	8	8.120704285714284	8.53317125	-0.4124669642857164	0.7513375105191751	-0.6571511996508713	0.21249778843481998	0.5470532339520568
GSE197406	WFDC9	1552414_at	2	1552414_at,1552415_a_at	7	8	6.863341428571429	7.0125275	-0.14918607142857088	0.9017590666088594	-0.3337491387372116	0.5176628086339111	0.7985424237150963
GSE197406	NEDD1	1560116_a_at	3	1552417_a_at,1560116_a_at,234984_at	7	8	6.988091428571429	6.49880625	0.4892851785714285	1.4037491787307428	1.368343515586321	0.034999718000132386	0.2316718621861063
GSE197406	TTLL10	1552419_s_at	3	1552418_at,1552419_s_at,236418_at	7	8	7.542124285714286	7.43269625	0.10942803571428605	1.078800455411344	0.632752801488752	0.2318460320680834	0.5705622632813818
GSE197406	CALR3	1552421_a_at	1	1552421_a_at	7	8	5.941621428571429	5.8753375	0.06628392857142895	1.0470163190014135	0.5182052426387295	0.3231525827813452	0.6610558433130785
GSE197406	C10orf25	1552422_at	1	1552422_at	7	8	6.847047142857143	6.71392	0.133127142857143	1.0966682322891415	0.3096713867707087	0.5438378693800107	0.8133027240378367
GSE197406	ETV3	1552423_at	3	1552423_at,214480_at,227200_at	7	8	7.402168571428571	7.3017375	0.100431071428571	1.0720937519494216	0.44109564437300625	0.39561668873932726	0.7185921549723504
GSE197406	KLHL10	1552425_a_at	2	1552424_at,1552425_a_at	7	8	6.378805714285716	6.34954125	0.029264464285716052	1.0204917111678122	0.2090880476407353	0.6884024328387601	0.8873820832664187
GSE197406	TM2D3	221702_s_at	2	1552426_a_at,221702_s_at	7	8	10.213128571428571	10.09043875	0.12268982142857077	1.08876290679625	0.30383849450165157	0.5573317977394401	0.8210014735038691
GSE197406	ZNF485	1552427_at	1	1552427_at	7	8	5.788021428571428	5.783251250000001	0.0047701785714266975	1.0033119081160875	0.03871193188604305	0.9388130748467756	0.9819272691144714
GSE197406	WDR17	1557132_at	2	1552430_at,1557132_at	7	8	5.5821499999999995	5.6275975	-0.04544750000000075	0.9689892059843027	-0.39516867411289003	0.44633622451541194	0.7523427376679098
GSE197406	MFSD6L	1552432_at	1	1552432_at	7	8	7.089525714285714	7.2348575	-0.14533178571428618	0.9041714156228101	-0.7319569966331324	0.18057392189044183	0.5080808260453389
GSE197406	LOC100653137	232845_at	4	1552436_a_at,224527_at,232845_at,232846_s_at	7	8	6.755985714285715	6.82661875	-0.07063303571428481	0.9522200846445485	-0.38623811611208103	0.4768438840731907	0.7730362908419114
GSE197406	CDH23	232845_at	4	1552436_a_at,224527_at,232845_at,232846_s_at	7	8	6.755985714285715	6.82661875	-0.07063303571428481	0.9522200846445485	-0.38623811611208103	0.4768438840731907	0.7730362908419114
GSE197406	ANKAR	1552438_a_at	2	1552438_a_at,1556653_at	7	8	6.001130000000001	5.852705	0.14842500000000047	1.1083588084847869	0.5918306552783216	0.25771921099498885	0.5990155193061419
GSE197406	MEGF11	1569879_a_at	3	1552439_s_at,1560334_at,1569879_a_at	7	8	7.500115714285714	7.4400200000000005	0.0600957142857137	1.0425349245748239	0.21456972928271176	0.6863266919855956	0.8861668722266443
GSE197406	GPR182	1552440_at	2	1552440_at,214506_at	7	8	6.909902857142856	7.255492500000001	-0.3455896428571448	0.7869862622381334	-1.0030066754184184	0.07647705547723181	0.3394659722289374
GSE197406	ESX1	1552445_a_at	1	1552445_a_at	7	8	5.781655714285715	5.86994875	-0.08829303571428504	0.9406350292572636	-0.9655844695371087	0.08040549014877675	0.34795285516237384
GSE197406	FAM167A-AS1	1552448_a_at	1	1552448_a_at	7	8	5.8490342857142865	5.8468912500000005	0.002143035714285979	1.0014865429744308	0.016815746561762924	0.9756866185100973	0.9929763019012261
GSE197406	SCGB1C2	1552449_a_at	1	1552449_a_at	7	8	6.057998571428572	6.121852499999999	-0.06385392857142769	0.9567050186136297	-0.5821795709226295	0.26837956230851895	0.6094721950996126
GSE197406	SCGB1C1	1552449_a_at	1	1552449_a_at	7	8	6.057998571428572	6.121852499999999	-0.06385392857142769	0.9567050186136297	-0.5821795709226295	0.26837956230851895	0.6094721950996126
GSE197406	DNAJC5G	1552450_a_at	1	1552450_a_at	7	8	6.608552857142856	6.590669999999999	0.017882857142856423	1.0124725940314137	0.09011312537281467	0.8618695617105389	0.9562541194653176
GSE197406	WDR88	1552452_at	2	1552452_at,1552453_a_at	7	8	6.111655714285715	6.1870674999999995	-0.07541178571428464	0.9490711906935767	-0.6866302391241992	0.19567739370290305	0.5262458816289342
GSE197406	PRUNE2	212805_at	3	1552455_at,212805_at,212806_at	7	8	6.637369999999999	6.66841625	-0.031046250000001052	0.97871027434465	-0.1870438100843168	0.7303217041692648	0.9057990421580779
GSE197406	MBD3L2	1552456_a_at	1	1552456_a_at	7	8	6.339632857142858	6.19115	0.14848285714285758	1.1084032584606776	0.9709080341904723	0.0816725827404456	0.35069885033643783
GSE197406	ADAMTSL1	229585_at	6	1552457_a_at,1552808_at,224371_at,229585_at,237217_at,239909_at	7	8	6.7439271428571415	6.63043125	0.11349589285714146	1.0818465591683046	0.7158821412832715	0.19548965730665419	0.5262386018045969
GSE197406	MBD3L1	1552459_a_at	2	1552458_at,1552459_a_at	7	8	6.300945714285715	6.377741250000001	-0.07679553571428599	0.9481613326748878	-0.3230312947311935	0.537956042013709	0.8101569094367039
GSE197406	FAM46D	1552461_at	1	1552461_at	7	8	5.708562857142858	5.805043749999999	-0.09648089285714168	0.9353116788645299	-1.1274077890020282	0.04514355221081062	0.26005939491371516
GSE197406	SERPINB11	1552463_at	1	1552463_at	7	8	5.802541428571429	5.757179999999999	0.04536142857142966	1.031941672245821	0.46536260073898744	0.3712013956537913	0.6997854751220949
GSE197406	LINC00161	1554405_a_at	2	1552466_x_at,1554405_a_at	7	8	6.612592857142857	6.52608	0.08651285714285706	1.0618005965654076	0.6635341189993286	0.21331932857380098	0.5480202035167233
GSE197406	DSCR10	1552467_at	2	1552467_at,1552468_a_at	7	8	7.172825714285714	7.222322499999999	-0.049496785714285174	0.9662733077924429	-0.3553436429494302	0.501644368086503	0.7887880128467207
GSE197406	ABHD11	1552800_at	3	1552470_a_at,1552800_at,221927_s_at	7	8	8.269982857142855	8.264346250000001	0.005636607142854189	1.0039146406165773	0.020807970041599216	0.9678361307785405	0.9901298251024123
GSE197406	ACAP2	212476_at	3	1552472_a_at,212476_at,212477_at	7	8	8.658994285714284	7.768945	0.8900492857142837	1.8532394335353952	1.9542498313415266	0.006039608814016142	0.09152317403168862
GSE197406	GAMT	1552474_a_at	3	1552473_at,1552474_a_at,205354_at	7	8	8.384440000000001	9.8892075	-1.504767499999998	0.3523869737384193	-3.2375855441067865	2.640939047263322e-05	0.0038199296933630195
GSE197406	PLCD3	234971_x_at	2	1552476_s_at,234971_x_at	7	8	7.277275714285715	7.4572025	-0.17992678571428478	0.8827477930823601	-0.7266709028634102	0.17305452413745093	0.4982702509737852
GSE197406	IRF6	202597_at	3	1552477_a_at,1552478_a_at,202597_at	7	8	9.16569	9.31874125	-0.15305125000000075	0.8993463633862326	-0.6161728598164096	0.27195536543190557	0.6128326919585145
GSE197406	PTPRC	212588_at	5	1552480_s_at,1569830_at,207238_s_at,212587_s_at,212588_at	7	8	8.876402857142859	7.49866375	1.3777391071428582	2.5986081575294775	1.5569211775315512	0.01791886439700129	0.16479628442490252
