dataset	gene_symbol	best_probe_id	n_probes	all_probes	case_n	control_n	case_mean_log2	control_mean_log2	log2_mean_diff	fold_change	cohen_d_pooled	p_value_welch	q_value_bh
GSE197406	MIR4640	1007_s_at	4	1007_s_at,207169_x_at,208779_x_at,210749_x_at	7	8	9.286788571428572	8.064710000000002	1.22207857142857	2.332825785458594	2.780801360982	0.0006245149296671339	0.023728529381202606
GSE197406	DDR1	1007_s_at	4	1007_s_at,207169_x_at,208779_x_at,210749_x_at	7	8	9.286788571428572	8.064710000000002	1.22207857142857	2.332825785458594	2.780801360982	0.0006245149296671339	0.023728529381202606
GSE197406	RFC2	203696_s_at	2	1053_at,203696_s_at	7	8	6.981424285714285	7.1191825	-0.13775821428571522	0.9089304341410265	-0.638792773777276	0.27868944369556936	0.6189209490889199
GSE197406	HSPA6	213418_at	2	117_at,213418_at	7	8	7.014654285714286	6.76912375	0.24553053571428585	1.185528656309726	0.7119159855901305	0.24019711255421244	0.5803231165137906
GSE197406	PAX8	121_at	8	121_at,207921_x_at,207923_x_at,207924_x_at,209552_at,213917_at,214528_s_at,221990_at	7	8	9.268701428571429	9.0868725	0.18182892857142896	1.1343209718135998	0.7543239306735218	0.1620036290155695	0.48421162640851434
GSE197406	GUCA1A	231700_at	3	1255_g_at,206062_at,231700_at	7	8	6.865665714285714	6.79995375	0.0657119642857138	1.0466013059668489	0.354136847959018	0.4874675693250645	0.7791472316440466
GSE197406	MIR5193	203281_s_at	2	1294_at,203281_s_at	7	8	8.029464285714285	7.947886249999999	0.08157803571428612	1.0581748510785793	0.4391655870329749	0.4123402141944544	0.7294690334685809
GSE197406	UBA7	203281_s_at	2	1294_at,203281_s_at	7	8	8.029464285714285	7.947886249999999	0.08157803571428612	1.0581748510785793	0.4391655870329749	0.4123402141944544	0.7294690334685809
GSE197406	THRA	31637_s_at	7	1316_at,204100_at,204760_s_at,214883_at,217476_at,31637_s_at,35846_at	7	8	9.434122857142857	9.280338749999999	0.15378410714285806	1.1124836299307421	0.5405576483700727	0.35133702106602405	0.6836999178427553
GSE197406	PTPN21	226380_at	5	1320_at,205438_at,222092_at,226380_at,40524_at	7	8	7.140914285714286	6.937213750000001	0.2037005357142858	1.1516485665906564	0.5278588977739501	0.3442037137986375	0.6783317609674541
GSE197406	CCL5	1555759_a_at	3	1405_i_at,1555759_a_at,204655_at	7	8	8.57652	8.174833750000001	0.40168624999999913	1.3210510789280738	0.6148173205292288	0.27697991928381865	0.6174651382014074
GSE197406	CYP2E1	209975_at	4	1431_at,209975_at,209976_s_at,222100_at	7	8	14.612757142857143	15.247950000000001	-0.635192857142858	0.6438547395402008	-1.5317531542226668	0.03039267304841149	0.2158357447619039
GSE197406	EPHB3	204600_at	2	1438_at,204600_at	7	8	7.424795714285714	7.437485000000001	-0.012689285714286846	0.9912430250115439	-0.11291903344099277	0.8271108895638609	0.9444915832393963
GSE197406	ESRRA	203193_at	2	1487_at,203193_at	7	8	7.8788100000000005	8.16606875	-0.28725875000000034	0.819457623230182	-0.9798947023070866	0.07572018451660212	0.33782138624604
GSE197406	CYP2A6	1494_f_at	4	1494_f_at,207244_x_at,211295_x_at,214320_x_at	7	8	10.10555142857143	13.0282875	-2.92273607142857	0.1318769131667343	-1.9981897930017247	0.0036484694257992176	0.06831015478210059
GSE197406	SCARB1	1552256_a_at	5	1552256_a_at,201819_at,215834_x_at,215835_at,232421_at	7	8	9.657664285714286	9.6991925	-0.04152821428571407	0.9716251814858878	-0.0963020608307862	0.8558719642652295	0.9542706942555196
GSE197406	TTLL12	216251_s_at	2	1552257_a_at,216251_s_at	7	8	7.349367142857143	7.30357625	0.045790892857143106	1.0322489083912358	0.23429666517237574	0.653035977392097	0.870367036549569
GSE197406	LOC101930489	225799_at	2	1552258_at,225799_at	7	8	9.81824142857143	7.10288875	2.7153526785714295	6.567538162540691	5.000341991279645	1.3069785954584686e-06	0.0006565510722751065
GSE197406	LINC00152	225799_at	2	1552258_at,225799_at	7	8	9.81824142857143	7.10288875	2.7153526785714295	6.567538162540691	5.000341991279645	1.3069785954584686e-06	0.0006565510722751065
GSE197406	WFDC2	203892_at	3	1552261_at,1553089_a_at,203892_at	7	8	7.55333142857143	6.699960000000001	0.8533714285714291	1.8067181084406099	2.0778472987647074	0.0073979692311901156	0.10231804874290672
GSE197406	MAPK1	224621_at	7	1552263_at,1552264_a_at,208351_s_at,212271_at,224620_at,224621_at,229847_at	7	8	10.605242857142857	10.100732500000001	0.5045103571428555	1.4186417951691517	0.9836949690376218	0.0785993324693501	0.3443444313110349
GSE197406	ADAM32	1552266_at	1	1552266_at	7	8	6.01579	6.1018349999999995	-0.08604499999999948	0.9421018877594822	-0.4702956013782543	0.36594849509319943	0.695527304523262
GSE197406	SPATA17	230763_at	2	1552269_at,230763_at	7	8	5.8090842857142855	5.751528749999999	0.057555535714286066	1.0407009300160364	0.7419301508976709	0.16581291156081954	0.489175156635291
GSE197406	PRR22	1552271_at	2	1552271_at,1552272_a_at	7	8	6.962124285714287	7.082858750000001	-0.12073446428571355	0.9197193098168754	-0.5425891585709381	0.2997251289433386	0.6393863216924321
GSE197406	PXK	238223_at	4	1552274_at,1552275_s_at,225796_at,238223_at	7	8	7.0539514285714295	7.06580875	-0.011857321428570877	0.9918148136452436	-0.0651507869061972	0.8974178345942226	0.9681408203490294
GSE197406	VPS18	223346_at	2	1552276_a_at,223346_at	7	8	6.822720000000001	6.68406875	0.13865125000000145	1.1008754457169951	1.7590239403367884	0.004279345278986724	0.07542397186859341
GSE197406	MSANTD3	1555841_at	2	1552277_a_at,1555841_at	7	8	7.7372942857142855	7.52461625	0.21267803571428523	1.1588373069026512	0.9724983078139114	0.09989454440956425	0.3865893414207903
GSE197406	SLC46A1	1552279_a_at	4	1552278_a_at,1552279_a_at,1558703_at,233531_at	7	8	8.099651428571429	8.2762425	-0.17659107142857167	0.8847911918078986	-0.7404549561150662	0.17960481643466708	0.5069124414942997
GSE197406	TIMD4	1552280_at	1	1552280_at	7	8	6.676638571428572	6.467386250000001	0.2092523214285711	1.1560888840648844	0.32648166238276294	0.5751308727016161	0.8303443862758506
