dataset,feature,clinical_var,n,spearman_rho,p_value,q_value_bh
GSE65391,IFN6_SCORE,sledai,158,0.43505791869091887,1.1147618662557029e-08,1.1147618662557028e-07
GSE65391,IFN6_SCORE,ds_dna,90,0.2599668252048153,0.013342622019322957,0.017790162692430608
GSE65391,IFN6_SCORE,c3,150,-0.3351051601451403,2.7687177989356544e-05,6.15270621985701e-05
GSE65391,IFN6_SCORE,c4,149,-0.35250316375876145,1.0385905031431018e-05,2.5964762578577542e-05
GSE65391,IFN6_SCORE,neutrophil_count,139,-0.11807958963088504,0.16623147707342126,0.19556644361578973
GSE65391,JCHAIN,sledai,158,0.2175433891634618,0.006037671228633206,0.008625244612333152
GSE65391,JCHAIN,ds_dna,90,-0.008232790486899174,0.938613491012027,0.985130877008817
GSE65391,JCHAIN,c3,150,-0.33208010314554676,3.3023369747342795e-05,6.604673949468559e-05
GSE65391,JCHAIN,c4,149,-0.37456830363753696,2.5242026297596857e-06,8.41400876586562e-06
GSE65391,JCHAIN,neutrophil_count,139,-0.19638693795916193,0.020499868072664105,0.02562483509083013
GSE65391,MZB1,sledai,158,0.3672140695379003,2.0744295135623064e-06,8.297718054249226e-06
GSE65391,MZB1,ds_dna,90,-0.0019923352978296004,0.985130877008817,0.985130877008817
GSE65391,MZB1,c3,150,-0.4208550835184434,8.209767591821761e-08,5.473178394547841e-07
GSE65391,MZB1,c4,149,-0.4682985334773377,1.716472763037887e-09,3.432945526075774e-08
GSE65391,MZB1,neutrophil_count,139,-0.27136253247988623,0.0012323720755963653,0.0022406765010843004
GSE65391,TNFRSF17,sledai,158,0.2451515436558372,0.001905657411010753,0.003176095685017922
GSE65391,TNFRSF17,ds_dna,90,0.008629356331624849,0.9356627221073937,0.985130877008817
GSE65391,TNFRSF17,c3,150,-0.3565894898703764,7.502395063960458e-06,2.1435414468458453e-05
GSE65391,TNFRSF17,c4,149,-0.3983127909019401,4.883129457132533e-07,2.4415647285662665e-06
GSE65391,TNFRSF17,neutrophil_count,139,-0.24565615877986513,0.003558104210156008,0.0054740064771630886
