entry	vocabulary	dismech_term	dismech_predicate	mondo_term	mondo_label	mondo_xrefs	both_exact
Malignant_Peritoneal_Mesothelioma	NCIT	NCIT:C9350	skos:exactMatch	MONDO:0005512	malignant peritoneal mesothelioma	NCIT:C8704	true
Salivary_Gland_Polymorphous_Adenocarcinoma	NCIT	NCIT:C35702	skos:exactMatch	MONDO:0000521	salivary gland carcinoma	NCIT:C9272	true
Aflatoxin_Related_HCC	NCIT	NCIT:C3099	skos:closeMatch	MONDO:0003245	aflatoxin-related hepatocellular carcinoma	NCIT:C27922	false
Angelman_Syndrome	ICD10	ICD10CM:Q93.5	skos:narrowMatch	MONDO:0007113	Angelman syndrome	ICD10:Q93.51	false
CINCA_Syndrome	NCIT	NCIT:C84657	skos:broadMatch	MONDO:0011776	CINCA syndrome	NCIT:C116380	false
Epidermolysis_Bullosa	ICD10	ICD10CM:Q81.9	skos:closeMatch	MONDO:0006541	epidermolysis bullosa	ICD10:Q81	false
Hodgkin_Lymphoma	ICD10	ICD10CM:C81.9	skos:closeMatch	MONDO:0004952	Hodgkins lymphoma	ICD10:C81	false
MSI_High_Colorectal_Cancer	NCIT	NCIT:C2955	skos:closeMatch	MONDO:0005575	colorectal cancer	NCIT:C4978	false
