curie,label,retrieved_at
BI:24996,lactate,2026-03-08T15:17:40.512904
CHEBI:10033,warfarin,2026-03-11T00:09:52.337486
CHEBI:10110,zidovudine,2026-03-11T00:06:12.063257
CHEBI:101278,diltiazem,2026-03-11T00:09:52.348263
CHEBI:114785,erlotinib,2026-03-11T00:23:31.896463
CHEBI:133021,venetoclax,2026-03-11T00:18:13.404331
CHEBI:134689,rucaparib,2026-03-11T00:10:58.699299
CHEBI:135005,milnacipran,2026-03-11T00:26:41.604152
CHEBI:142290,anagrelide,2026-03-11T00:25:27.482383
CHEBI:143117,lorlatinib,2026-03-08T16:12:25.462490
CHEBI:14321,glutamate(1-),2026-03-08T16:21:06.128463
CHEBI:145371,binimetinib,2026-03-08T16:35:00.936677
CHEBI:145372,gilteritinib,2026-03-11T00:25:57.160371
CHEBI:145810,insulin,2026-03-11T00:22:04.330484
CHEBI:15355,acetylcholine,2026-03-08T16:21:06.125556
CHEBI:15365,acetylsalicylic acid,2026-03-11T00:25:27.479428
CHEBI:15367,all-trans-retinoic acid,2026-03-11T00:04:51.766759
CHEBI:15765,L-dopa,2026-03-08T15:53:02.773504
CHEBI:15801,(R)-2-hydroxyglutarate(2-),2026-03-11T00:21:10.066978
CHEBI:167574,semaglutide,2026-03-11T00:22:04.342879
CHEBI:167707,acalabrutinib,2026-03-11T00:18:13.401862
CHEBI:16865,gamma-aminobutyric acid,2026-03-08T16:21:06.131569
CHEBI:17012,N-acetylneuraminic acid,2026-02-27T09:09:44.823725
CHEBI:175074,Mycochromone,2026-03-08T16:34:56.288616
CHEBI:188559,palovarotene,2026-03-11T00:26:36.157803
CHEBI:194186,tirzepatide,2026-03-11T00:22:04.356905
CHEBI:195558,entrectinib,2026-03-08T16:34:46.119839
CHEBI:229213,elacestrant,2026-03-11T00:23:37.642767
CHEBI:229220,repotrectinib,2026-03-08T16:34:46.124462
CHEBI:231324,alpelisib,2026-03-11T00:23:37.640064
CHEBI:232810,brigatinib,2026-03-08T16:12:25.465181
CHEBI:23359,colchicine,2026-03-11T00:26:18.923705
CHEBI:2453,acyclovir,2026-03-11T00:17:29.555102
CHEBI:24996,lactate,2026-02-27T09:09:44.823721
CHEBI:26523,reactive oxygen species,2026-03-08T16:21:06.165702
CHEBI:2663,amiodarone,2026-03-11T00:09:52.352529
CHEBI:2666,amitriptyline,2026-03-11T00:26:41.612555
CHEBI:2682,amphotericin B,2026-03-11T00:19:20.348326
CHEBI:27375,vincaleukoblastine,2026-03-11T00:25:32.887565
CHEBI:27563,arsenic atom,2026-02-27T09:09:44.823728
CHEBI:27666,actinomycin D,2026-03-11T00:07:02.221168
CHEBI:27899,cisplatin,2026-03-11T00:17:17.782461
CHEBI:27902,tetracycline,2026-03-11T00:22:24.165403
CHEBI:28445,vincristine,2026-03-11T00:07:02.219071
CHEBI:28748,doxorubicin,2026-03-11T00:19:01.565566
CHEBI:2948,azathioprine,2026-03-11T00:14:01.355495
CHEBI:30621,diarsenic trioxide,2026-03-11T00:04:51.768880
CHEBI:31413,clobazam,2026-03-11T00:08:27.443068
CHEBI:31530,edaravone,2026-03-11T00:08:21.564280
CHEBI:31638,fulvestrant,2026-03-11T00:23:37.637404
CHEBI:32016,pirfenidone,2026-03-11T00:14:01.360474
CHEBI:3387,carbamazepine,2026-03-11T00:06:34.588664
CHEBI:3395,carbidopa,2026-03-08T15:53:02.776784
CHEBI:35780,phosphate ion,2026-02-27T09:09:44.823734
CHEBI:36796,duloxetine,2026-03-11T00:26:41.601510
CHEBI:37054,3-hydroxybutyrate,2026-02-27T09:09:44.823723
CHEBI:38940,sunitinib,2026-03-11T00:18:56.122565
CHEBI:39867,valproic acid,2026-03-11T00:08:27.445131
CHEBI:4026,cyclophosphamide hydrate,2026-03-11T00:07:02.223343
CHEBI:4027,cyclophosphamide,2026-03-11T00:18:13.406950
CHEBI:40304,8-hydroxy-2'-deoxyguanosine,2026-02-27T09:09:44.823730
CHEBI:41774,tamoxifen,2026-03-11T00:23:37.634682
CHEBI:42797,gabapentin,2026-03-11T00:26:41.609843
CHEBI:4317,dantrolene,2026-03-11T00:17:12.095514
CHEBI:44423,hydroxyurea,2026-03-11T00:11:51.685768
CHEBI:4551,digoxin,2026-03-11T00:09:52.350394
CHEBI:45783,imatinib,2026-03-11T00:18:19.123992
CHEBI:46081,fluconazole,2026-03-11T00:19:20.342754
CHEBI:46661,asbestos,2026-02-27T09:09:44.823712
CHEBI:48775,cadmium(2+),2026-02-27T09:09:44.823732
CHEBI:4911,etoposide,2026-03-11T00:21:57.374809
CHEBI:49375,dasatinib (anhydrous),2026-03-11T00:18:19.126628
CHEBI:49668,gefitinib,2026-03-11T00:23:31.899055
CHEBI:5000,fenfluramine,2026-03-11T00:23:03.759753
CHEBI:50924,sorafenib,2026-03-11T00:06:17.667837
CHEBI:52172,nilotinib,2026-03-11T00:18:19.129056
CHEBI:5864,ifosfamide,2026-03-11T00:21:57.372442
CHEBI:5950,iodoquinol,2026-03-11T00:22:24.162731
CHEBI:59527,naproxen(1-),2026-03-11T00:11:04.461460
CHEBI:6076,itraconazole,2026-03-11T00:19:20.345694
CHEBI:62764,reactive nitrogen species,2026-03-08T16:21:06.169290
CHEBI:63452,midostaurin,2026-03-11T00:25:57.157302
CHEBI:63622,sotalol,2026-03-11T00:09:52.356619
CHEBI:63637,vemurafenib,2026-03-11T00:10:53.168817
CHEBI:6367,lamotrigine,2026-03-11T00:08:27.440928
CHEBI:64310,crizotinib,2026-03-08T16:12:25.467662
CHEBI:64356,pregabalin,2026-03-11T00:26:41.607191
CHEBI:6437,levetiracetam,2026-03-11T00:08:27.438830
CHEBI:66901,ivacaftor,2026-03-08T14:14:40.688583
CHEBI:66903,vismodegib,2026-03-11T00:11:17.396507
CHEBI:66910,axitinib,2026-03-11T00:18:56.127348
CHEBI:6801,metformin,2026-03-11T00:22:04.333218
CHEBI:68579,rivaroxaban,2026-03-11T00:09:52.341756
CHEBI:6904,metoprolol,2026-03-11T00:09:52.346151
CHEBI:6909,metronidazole,2026-03-11T00:22:24.159900
CHEBI:69478,cannabidiol,2026-03-11T00:23:03.757239
CHEBI:70752,dabigatran,2026-03-11T00:09:52.343918
CHEBI:71193,liraglutide,2026-03-11T00:22:04.345638
CHEBI:71219,pazopanib,2026-03-11T00:18:56.124987
CHEBI:72296,apixaban,2026-03-11T00:09:52.339669
CHEBI:72317,cabozantinib,2026-03-08T16:34:56.301246
CHEBI:73274,canagliflozin,2026-03-11T00:22:04.354249
CHEBI:75045,dabrafenib,2026-03-08T16:35:00.925920
CHEBI:75984,flecainide,2026-03-11T00:09:52.354586
CHEBI:75998,trametinib,2026-03-08T16:35:00.927977
CHEBI:76612,ibrutinib,2026-03-11T00:18:13.399121
CHEBI:78538,tafamidis,2026-03-11T00:04:57.544407
CHEBI:78543,ponatinib,2026-03-11T00:18:19.131588
CHEBI:7934,paromomycin,2026-03-11T00:22:24.157331
CHEBI:80222,[Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(2-methylpropanoyl)dihydrolipoyllysine,2026-03-11T00:11:04.463700
CHEBI:82720,empagliflozin,2026-03-11T00:22:04.349258
CHEBI:83766,olaparib,2026-03-11T00:10:58.696891
CHEBI:8382,prednisone,2026-03-11T00:14:01.353135
CHEBI:85078,dapagliflozin,2026-03-11T00:22:04.351917
CHEBI:85164,nintedanib,2026-03-11T00:14:01.362997
CHEBI:85994,lenvatinib,2026-03-11T00:10:36.474261
CHEBI:8764,mycophenolate mofetil,2026-03-11T00:14:01.358064
CHEBI:90851,cobimetinib,2026-03-11T00:10:53.171070
CHEBI:90863,sonidegib,2026-03-11T00:11:17.399376
CHEBI:90936,alectinib,2026-03-08T16:12:25.459272
CHEBI:90943,osimertinib,2026-03-11T00:23:31.893804
