slug	in_scope	mondo	vocabulary	targets	preferred_targets	decision
46_XX_Gonadal_Dysgenesis	True	MONDO:0010349	DOID	DOID:0080494|DOID:0080861	DOID:0080494	PERMIT_PROXY_MERGE
46_XY_DSD_Due_to_17_Beta_Hydroxysteroid_Dehydrogenase_3_Deficiency	True	MONDO:0009916	MESH	MESH:C537805|MESH:C564868		REVIEW_PREFERENCE_COUNT
ADan_amyloidosis	True	MONDO:0007297	icd11f	icd11f:2086401830|icd11f:54507082		REVIEW_PREFERENCE_COUNT
Adult-Onset_Autosomal_Dominant_Demyelinating_Leukodystrophy	False	MONDO:0008215	DOID	DOID:0051015|DOID:0060785		REVIEW_PREFERENCE_COUNT
Amyloidosis	False	MONDO:0019438	icd11f	icd11f:1061366491|icd11f:113043090		REVIEW_PREFERENCE_COUNT
Angelman_Syndrome	True	MONDO:0007113	MESH	MESH:C531619|MESH:D017204		REVIEW_PREFERENCE_COUNT
Apparent_Mineralocorticoid_Excess	True	MONDO:0009025	MESH	MESH:C537422|MESH:D043204	MESH:C537422	PERMIT_PROXY_MERGE
Apparent_Mineralocorticoid_Excess	True	MONDO:0009025	NCIT	NCIT:C123231|NCIT:C131083	NCIT:C123231	PERMIT_PROXY_MERGE
Autoimmune_Polyendocrinopathy	False	MONDO:0017278	NCIT	NCIT:C129726|NCIT:C84576		REVIEW_PREFERENCE_COUNT
Autosomal_Agammaglobulinemia	True	MONDO:0013287	DOID	DOID:0060024|DOID:0081135	DOID:0081135	PERMIT_PROXY_MERGE
Autosomal_Dominant_Hyper-IgE_Syndrome	True	MONDO:0007818	MESH	MESH:C564135|MESH:C567925	MESH:C567925	PERMIT_PROXY_MERGE
Autosomal_Dominant_Polycystic_Liver_Disease	True	MONDO:0000447	icd11f	icd11f:1361740083|icd11f:423904268		REVIEW_PREFERENCE_COUNT
Bazex_Dupre_Christol_Syndrome	True	MONDO:0010535	ORDO	ORDO:113|ORDO:166113	ORDO:113	PERMIT_PROXY_MERGE
Benign_Neonatal_Seizures	True	MONDO:0016027	DOID	DOID:14264|DOID:14777	DOID:14264	PERMIT_PROXY_MERGE
