species/code,symbol
human,AKT1
human,AKT2
human,AKT3
human,APC
human,APC2
human,APPL1
human,ARAF
human,AXIN1
human,AXIN2
human,BAD
human,BAX
human,BCL2
human,BIRC5
human,BRAF
human,CASP3
human,CASP9
human,CCND1
human,CTNNB1
human,CYCS
human,DCC
human,FOS
human,GSK3B
human,JUN
human,KRAS
human,LEF1
human,MAP2K1
human,MAPK1
human,MAPK10
human,MAPK3
human,MAPK8
human,MAPK9
human,MLH1
human,MSH2
human,MSH3
human,MSH6
human,MYC
human,PIK3CA
human,PIK3CB
human,PIK3CD
human,PIK3CG
human,PIK3R1
human,PIK3R2
human,PIK3R3
human,PIK3R5
human,RAC1
human,RAC2
human,RAC3
human,RAF1
human,RALGDS
human,RHOA
human,SMAD2
human,SMAD3
human,SMAD4
human,TCF7
human,TCF7L1
human,TCF7L2
human,TGFB1
human,TGFB2
human,TGFB3
human,TGFBR1
human,TGFBR2
human,TP53
