mondo_id	label	state	tier	nearest_existing_entries
MONDO:0008698	achalasia	absent	TIER1_NO_ENTRY	
MONDO:0020122	acquired idiopathic inflammatory myopathy	absent	TIER1_NO_ENTRY	
MONDO:0019933	acromegaly	mentioned_only	TIER1_NO_ENTRY	
MONDO:0006076	adrenal gland neuroblastoma	absent	TIER1_NO_ENTRY	
MONDO:0700296	aflatoxicosis	absent	TIER1_NO_ENTRY	
MONDO:0012454	alcohol sensitivity, acute	absent	TIER1_NO_ENTRY	
MONDO:0019080	alopecia totalis	absent	TIER1_NO_ENTRY	
MONDO:0007184	alopecia, androgenetic, 1	absent	TIER1_NO_ENTRY	
MONDO:0971004	amyloidosis, hereditary systemic 1	absent	TIER1_NO_ENTRY	
MONDO:0009276	Bernard-Soulier syndrome	absent	TIER1_NO_ENTRY	
MONDO:0800444	Birt-Hogg-Dube syndrome	absent	TIER1_NO_ENTRY	
MONDO:0000159	bone marrow failure syndrome	absent	TIER1_NO_ENTRY	
MONDO:0700284	carnitine palmitoyl transferase deficiency	absent	TIER1_NO_ENTRY	
MONDO:0018922	cold agglutinin disease	absent	TIER1_NO_ENTRY	
MONDO:0019369	complex regional pain syndrome	mentioned_only	TIER1_NO_ENTRY	
MONDO:0007878	congenital laryngomalacia	mentioned_only	TIER1_NO_ENTRY	
MONDO:0019804	congenital tracheomalacia	absent	TIER1_NO_ENTRY	
MONDO:0022308	corticobasal degeneration disorder	mentioned_only	TIER1_NO_ENTRY	
MONDO:0005357	Creutzfeldt Jacob disease	absent	TIER1_NO_ENTRY	
MONDO:0009072	Dandy-Walker syndrome	mentioned_only	TIER1_NO_ENTRY	
MONDO:0015612	Dent disease	mentioned_only	TIER1_NO_ENTRY	
MONDO:0018849	dentinogenesis imperfecta	absent	TIER1_NO_ENTRY	
MONDO:0015614	dermatitis herpetiformis	absent	TIER1_NO_ENTRY	
MONDO:0007608	desmoid tumor	absent	TIER1_NO_ENTRY	
MONDO:0002145	disorder of sexual differentiation	absent	TIER1_NO_ENTRY	
MONDO:0700303	Erb palsy	absent	TIER1_NO_ENTRY	
MONDO:0016030	Evans syndrome	absent	TIER1_NO_ENTRY	
MONDO:0957953	Garg-Mishra progeroid syndrome	absent	TIER1_NO_ENTRY	
MONDO:0100326	Glanzmann thrombasthenia	absent	TIER1_NO_ENTRY	
MONDO:0000129	glutaric aciduria	absent	TIER1_NO_ENTRY	
MONDO:0017720	GM2 gangliosidosis	mentioned_only	TIER1_NO_ENTRY	
MONDO:0005780	hantavirus infectious disease	absent	TIER1_NO_ENTRY	
MONDO:0008585	HELLP syndrome	mentioned_only	TIER1_NO_ENTRY	
MONDO:0013512	hemoglobin H disease	absent	TIER1_NO_ENTRY	
MONDO:0013144	hereditary antithrombin deficiency	absent	TIER1_NO_ENTRY	
MONDO:0005508	hereditary multiple osteochondromas	absent	TIER1_NO_ENTRY	
MONDO:0004952	Hodgkins lymphoma	absent	TIER1_NO_ENTRY	
MONDO:0003947	hyper-IgM syndrome	mentioned_only	TIER1_NO_ENTRY	
MONDO:0009849	hyperimmunoglobulinemia D with periodic fever	absent	TIER1_NO_ENTRY	
MONDO:0005152	hypopituitarism	mentioned_only	TIER1_NO_ENTRY	
MONDO:0019146	inherited susceptibility to mycobacterial diseases	absent	TIER1_NO_ENTRY	
MONDO:0018301	interstitial cystitis	absent	TIER1_NO_ENTRY	
MONDO:0017570	leukocyte adhesion deficiency	absent	TIER1_NO_ENTRY	
MONDO:0007293	leukocyte adhesion deficiency 1	absent	TIER1_NO_ENTRY	
MONDO:0009953	leukocyte adhesion deficiency type II	absent	TIER1_NO_ENTRY	
MONDO:0859147	Marbach-Rustad progeroid syndrome	absent	TIER1_NO_ENTRY	
MONDO:0007452	maturity-onset diabetes of the young type 1	mentioned_only	TIER1_NO_ENTRY	
MONDO:0007453	maturity-onset diabetes of the young type 2	mentioned_only	TIER1_NO_ENTRY	
MONDO:0017771	Mayer-Rokitansky-Kuster-Hauser syndrome	mentioned_only	TIER1_NO_ENTRY	
MONDO:0009659	mucopolysaccharidosis type 4A	mentioned_only	TIER1_NO_ENTRY	
MONDO:0016383	nephrogenic diabetes insipidus	absent	TIER1_NO_ENTRY	
MONDO:0007039	NF2-related schwannomatosis	absent	TIER1_NO_ENTRY	
MONDO:0009366	normal pressure hydrocephalus	absent	TIER1_NO_ENTRY	
MONDO:0100244	paroxysmal nocturnal hemoglobinuria	absent	TIER1_NO_ENTRY	
MONDO:0010134	Pendred syndrome	absent	TIER1_NO_ENTRY	
MONDO:0008228	pernicious anemia	absent	TIER1_NO_ENTRY	
MONDO:0015104	porphyria cutanea tarda	absent	TIER1_NO_ENTRY	
MONDO:0009948	pyropoikilocytosis, hereditary	absent	TIER1_NO_ENTRY	
MONDO:0008247	Robin sequence-oligodactyly syndrome	absent	TIER1_NO_ENTRY	
MONDO:0019349	Sotos syndrome	absent	TIER1_NO_ENTRY	
MONDO:0100137	telomere syndrome	absent	TIER1_NO_ENTRY	
MONDO:0044210	thalassemia minor	absent	TIER1_NO_ENTRY	
MONDO:0008560	thrombophilia due to activated protein C resistance	absent	TIER1_NO_ENTRY	
MONDO:0700087	Usher syndrome type 1B	absent	TIER1_NO_ENTRY	
MONDO:0010171	Usher syndrome type 1C	absent	TIER1_NO_ENTRY	
MONDO:0010984	Usher syndrome type 1D	absent	TIER1_NO_ENTRY	
MONDO:0011195	Usher syndrome type 1E	absent	TIER1_NO_ENTRY	
MONDO:0011186	Usher syndrome type 1F	absent	TIER1_NO_ENTRY	
MONDO:0011748	Usher syndrome type 1G	absent	TIER1_NO_ENTRY	
MONDO:0012968	Usher syndrome type 1H	absent	TIER1_NO_ENTRY	
MONDO:0013935	Usher syndrome type 1J	absent	TIER1_NO_ENTRY	
MONDO:0014001	Usher syndrome type 1K	absent	TIER1_NO_ENTRY	
MONDO:0010169	Usher syndrome type 2A	absent	TIER1_NO_ENTRY	
MONDO:0011558	Usher syndrome type 2C	absent	TIER1_NO_ENTRY	
MONDO:0012662	Usher syndrome type 2D	absent	TIER1_NO_ENTRY	
MONDO:0010170	Usher syndrome type 3A	absent	TIER1_NO_ENTRY	
MONDO:0013788	Usher syndrome type 3B	absent	TIER1_NO_ENTRY	
MONDO:0100050	Usher syndrome, type 1D/F	absent	TIER1_NO_ENTRY	
MONDO:0029141	Usher syndrome, type 4	absent	TIER1_NO_ENTRY	
MONDO:0010196	Werner syndrome	mentioned_only	TIER1_NO_ENTRY	
MONDO:0009910	Wiedemann-Rautenstrauch syndrome	absent	TIER1_NO_ENTRY	
MONDO:0018661	Zika virus infectious disease	absent	TIER1_NO_ENTRY	
MONDO:0100464	acid sphingomyelinase deficiency	absent	TIER2_RELATED_ENTRY_EXISTS	Chronic_Neurovisceral_Acid_Sphingomyelinase_Deficiency
MONDO:0019696	acromesomelic dysplasia	absent	TIER2_RELATED_ENTRY_EXISTS	Acromesomelic_Dysplasia_Maroteaux_Type
MONDO:0015909	aplastic anemia	absent	TIER2_RELATED_ENTRY_EXISTS	Inherited_Aplastic_Anemia
MONDO:0007810	autosomal dominant ichthyosis vulgaris	absent	TIER2_RELATED_ENTRY_EXISTS	Adult-Onset_Autosomal_Dominant_Demyelinating_Leukodystrophy; Autosomal_Dominant_Cerebellar_Ataxia_Type_I; Autosomal_Dominant_Cerebellar_Ataxia_Type_III
