term,descendant
HP:0000007,HP:0000007
HP:0000044,HP:0000044
HP:0000252,HP:0000252
HP:0000252,HP:0000253
HP:0000252,HP:0004485
HP:0000252,HP:0005484
HP:0000252,HP:0011451
HP:0000280,HP:0000280
HP:0000280,HP:0000339
HP:0000421,HP:0000421
HP:0000421,HP:0004406
HP:0000505,HP:0000505
HP:0000505,HP:0000529
HP:0000505,HP:0000572
HP:0000505,HP:0000575
HP:0000505,HP:0000576
HP:0000505,HP:0000603
HP:0000505,HP:0000618
HP:0000505,HP:0000646
HP:0000505,HP:0001117
HP:0000505,HP:0001123
HP:0000505,HP:0001129
HP:0000505,HP:0001133
HP:0000505,HP:0001141
HP:0000505,HP:0007663
HP:0000505,HP:0007761
HP:0000505,HP:0007854
HP:0000505,HP:0007875
HP:0000505,HP:0007924
HP:0000505,HP:0007987
HP:0000505,HP:0007994
HP:0000505,HP:0010822
HP:0000505,HP:0012377
HP:0000505,HP:0030515
HP:0000505,HP:0030516
HP:0000505,HP:0030517
HP:0000505,HP:0030518
HP:0000505,HP:0030519
HP:0000505,HP:0030520
HP:0000505,HP:0030521
HP:0000505,HP:0030522
HP:0000505,HP:0030525
HP:0000505,HP:0030526
HP:0000505,HP:0030527
HP:0000505,HP:0030528
HP:0000505,HP:0030529
HP:0000505,HP:0030530
HP:0000505,HP:0030531
HP:0000505,HP:0030532
HP:0000505,HP:0030533
HP:0000505,HP:0030534
HP:0000505,HP:0030535
HP:0000505,HP:0030536
HP:0000505,HP:0030537
HP:0000505,HP:0030538
HP:0000505,HP:0030539
HP:0000505,HP:0030540
HP:0000505,HP:0030541
HP:0000505,HP:0030542
HP:0000505,HP:0030543
HP:0000505,HP:0030544
HP:0000505,HP:0030545
HP:0000505,HP:0030546
HP:0000505,HP:0030547
HP:0000505,HP:0030548
HP:0000505,HP:0030549
HP:0000505,HP:0030550
HP:0000505,HP:0030551
HP:0000505,HP:0030552
HP:0000505,HP:0030553
HP:0000505,HP:0030554
HP:0000505,HP:0030555
HP:0000505,HP:0030556
HP:0000505,HP:0030557
HP:0000505,HP:0030558
HP:0000505,HP:0030559
HP:0000505,HP:0030560
HP:0000505,HP:0030561
HP:0000505,HP:0030562
HP:0000505,HP:0030563
HP:0000505,HP:0030564
HP:0000505,HP:0030565
HP:0000505,HP:0030566
HP:0000505,HP:0030567
HP:0000505,HP:0030568
HP:0000505,HP:0030569
HP:0000505,HP:0030570
HP:0000505,HP:0030571
HP:0000505,HP:0030572
HP:0000505,HP:0030573
HP:0000505,HP:0030574
HP:0000505,HP:0030575
HP:0000505,HP:0030576
HP:0000505,HP:0030577
HP:0000505,HP:0030578
HP:0000505,HP:0030579
HP:0000505,HP:0030580
HP:0000505,HP:0030581
HP:0000505,HP:0030582
HP:0000505,HP:0030583
HP:0000505,HP:0030588
HP:0000505,HP:0030589
HP:0000505,HP:0030590
HP:0000505,HP:0030591
HP:0000505,HP:0030592
HP:0000505,HP:0030593
HP:0000505,HP:0030594
HP:0000505,HP:0030595
HP:0000505,HP:0030596
HP:0000505,HP:0030597
HP:0000505,HP:0030598
HP:0000505,HP:0030599
HP:0000505,HP:0030644
HP:0000505,HP:0032037
HP:0000505,HP:0032122
HP:0000505,HP:0032123
HP:0000505,HP:0032284
HP:0000505,HP:0032285
HP:0000505,HP:0032286
HP:0000505,HP:0032287
HP:0000505,HP:0100704
HP:0000505,HP:0200068
HP:0000505,HP:6001267
HP:0000511,HP:0000511
HP:0000511,HP:0025330
HP:0000511,HP:0025331
HP:0000546,HP:0000546
HP:0000546,HP:0000608
HP:0000546,HP:0001105
HP:0000546,HP:0007401
HP:0000546,HP:0007667
HP:0000546,HP:0007722
HP:0000546,HP:0007769
HP:0000546,HP:0007791
HP:0000546,HP:0007937
HP:0000546,HP:0007992
HP:0000546,HP:0008028
HP:0000546,HP:0011533
HP:0000546,HP:0025094
HP:0000546,HP:0025146
HP:0000546,HP:0031609
HP:0000546,HP:0200056
HP:0000546,HP:0200070
HP:0000546,HP:6001301
HP:0000668,HP:0000668
HP:0000677,HP:0000677
HP:0000677,HP:0012225
HP:0000698,HP:0000698
HP:0000698,HP:0006339
HP:0000698,HP:0006342
HP:0000698,HP:0011065
HP:0000698,HP:0011082
HP:0000698,HP:0011083
HP:0000698,HP:0200141
HP:0000726,HP:0000726
HP:0000726,HP:0000727
HP:0000726,HP:0002145
HP:0000726,HP:0002439
HP:0000726,HP:0007123
HP:0000726,HP:0030219
HP:0000819,HP:0000819
HP:0000819,HP:0000831
HP:0000819,HP:0000857
HP:0000819,HP:0000877
HP:0000819,HP:0001953
HP:0000819,HP:0004904
HP:0000819,HP:0005978
HP:0000819,HP:0008205
HP:0000819,HP:0008255
HP:0000819,HP:0100651
HP:0000939,HP:0000939
HP:0000939,HP:0005625
HP:0000939,HP:0005653
HP:0000939,HP:0005897
HP:0000939,HP:0040160
HP:0000939,HP:0040161
HP:0000943,HP:0000943
HP:0000963,HP:0000963
HP:0000966,HP:0000966
HP:0000966,HP:0007480
HP:0000966,HP:0034012
HP:0000974,HP:0000974
HP:0000974,HP:0007425
HP:0000974,HP:0007458
HP:0000974,HP:0011930
HP:0000978,HP:0000978
HP:0000992,HP:0000992
HP:0000992,HP:0007396
HP:0000992,HP:0007537
HP:0000992,HP:0032379
HP:0000992,HP:0032381
HP:0000992,HP:0410137
HP:0001075,HP:0001073
HP:0001075,HP:0001075
HP:0001075,HP:0031158
HP:0001249,HP:0001249
HP:0001249,HP:0001256
HP:0001249,HP:0002187
HP:0001249,HP:0002342
HP:0001249,HP:0006889
HP:0001249,HP:0010864
HP:0001250,HP:0001250
HP:0001250,HP:0001327
HP:0001250,HP:0002069
HP:0001250,HP:0002121
HP:0001250,HP:0002123
HP:0001250,HP:0002133
HP:0001250,HP:0002173
HP:0001250,HP:0002197
HP:0001250,HP:0002199
HP:0001250,HP:0002266
HP:0001250,HP:0002349
HP:0001250,HP:0002373
HP:0001250,HP:0002384
HP:0001250,HP:0006813
HP:0001250,HP:0007193
HP:0001250,HP:0007207
HP:0001250,HP:0007270
HP:0001250,HP:0007332
HP:0001250,HP:0007334
HP:0001250,HP:0007359
HP:0001250,HP:0010818
HP:0001250,HP:0010819
HP:0001250,HP:0010820
HP:0001250,HP:0010821
HP:0001250,HP:0011097
HP:0001250,HP:0011145
HP:0001250,HP:0011146
HP:0001250,HP:0011147
HP:0001250,HP:0011149
HP:0001250,HP:0011150
HP:0001250,HP:0011151
HP:0001250,HP:0011152
HP:0001250,HP:0011153
HP:0001250,HP:0011154
HP:0001250,HP:0011157
HP:0001250,HP:0011158
HP:0001250,HP:0011159
HP:0001250,HP:0011160
HP:0001250,HP:0011161
HP:0001250,HP:0011163
HP:0001250,HP:0011165
HP:0001250,HP:0011166
HP:0001250,HP:0011167
HP:0001250,HP:0011168
HP:0001250,HP:0011169
HP:0001250,HP:0011170
HP:0001250,HP:0011171
HP:0001250,HP:0011172
HP:0001250,HP:0011173
HP:0001250,HP:0011174
HP:0001250,HP:0011175
HP:0001250,HP:0012002
HP:0001250,HP:0012003
HP:0001250,HP:0012004
HP:0001250,HP:0012005
