curie,label,root,retrieved_at
GO:0003198,epithelial to mesenchymal transition involved in endocardial cushion formation,GO:0001837,2026-08-29T15:24:28+00:00
GO:0003199,endocardial cushion to mesenchymal transition involved in heart valve formation,GO:0001837,2026-08-29T15:24:28+00:00
GO:0003201,epithelial to mesenchymal transition involved in coronary vasculature morphogenesis,GO:0001837,2026-08-29T15:24:28+00:00
GO:0003347,epicardial cell to mesenchymal cell transition,GO:0001837,2026-08-29T15:24:28+00:00
GO:0014029,neural crest formation,GO:0001837,2026-08-29T15:24:28+00:00
GO:0060317,cardiac epithelial to mesenchymal transition,GO:0001837,2026-08-29T15:24:28+00:00
GO:0060809,mesodermal to mesenchymal transition involved in gastrulation,GO:0001837,2026-08-29T15:24:28+00:00
GO:0060886,clearance of cells from fusion plate by epithelial to mesenchymal transition,GO:0001837,2026-08-29T15:24:28+00:00
GO:0060940,epithelial to mesenchymal transition involved in cardiac fibroblast development,GO:0001837,2026-08-29T15:24:28+00:00
GO:0090500,endocardial cushion to mesenchymal transition,GO:0001837,2026-08-29T15:24:28+00:00
