curie,label,root,retrieved_at
CL:0002553,fibroblast of lung,CL:0002320,2026-08-29T15:27:59+00:00
CL:0002554,fibroblast of lymphatic vessel,CL:0002320,2026-08-29T15:27:59+00:00
CL:0002555,fibroblast of mammary gland,CL:0002320,2026-08-29T15:27:59+00:00
CL:0002556,fibroblast of periodontium,CL:0002320,2026-08-29T15:27:59+00:00
CL:0002557,fibroblast of pulmonary artery,CL:0002320,2026-08-29T15:27:59+00:00
CL:0002558,fibroblast of villous mesenchyme,CL:0002320,2026-08-29T15:27:59+00:00
CL:0002564,nucleus pulposus cell of intervertebral disc,CL:0002320,2026-08-29T15:27:59+00:00
CL:0002568,mesenchymal stem cell of Wharton's jelly,CL:0002320,2026-08-29T15:27:59+00:00
CL:0002569,mesenchymal stem cell of umbilical cord,CL:0002320,2026-08-29T15:27:59+00:00
CL:0002570,mesenchymal stem cell of adipose tissue,CL:0002320,2026-08-29T15:27:59+00:00
CL:0002571,hepatic mesenchymal stem cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:0002572,vertebral mesenchymal stem cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:0002574,stromal cell of pancreas,CL:0002320,2026-08-29T15:27:59+00:00
CL:0002575,central nervous system pericyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:0002576,perineurial cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:0002578,mesenteric preadipocyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:0002579,omentum preadipocyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:0002580,preadipocyte of the breast,CL:0002320,2026-08-29T15:27:59+00:00
CL:0002581,perirenal preadipocyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:0002582,visceral preadipocyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:0002583,subcutaneous preadipocyte,CL:0002320,2026-08-29T15:27:59+00:00
CL:0002602,annulus pulposus cell,CL:0002320,2026-08-29T15:27:59+00:00
CL:0002615,adipocyte of omentum tissue,CL:0002320,2026-08-29T15:27:59+00:00
CL:0002616,perirenal adipocyte,CL:0002320,2026-08-29T15:27:59+00:00
