curie,label,root,retrieved_at
CL:0000027,smooth muscle cell neural crest derived,CL:0000187,2026-08-29T15:28:13+00:00
CL:0000189,slow muscle cell,CL:0000187,2026-08-29T15:28:13+00:00
CL:0000190,fast muscle cell,CL:0000187,2026-08-29T15:28:13+00:00
CL:0000192,smooth muscle cell,CL:0000187,2026-08-29T15:28:13+00:00
CL:0000193,cardiac muscle cell (sensu Arthopoda),CL:0000187,2026-08-29T15:28:13+00:00
CL:0000196,insect flight muscle cell,CL:0000187,2026-08-29T15:28:13+00:00
CL:0000358,sphincter associated smooth muscle cell,CL:0000187,2026-08-29T15:28:13+00:00
CL:0000359,vascular associated smooth muscle cell,CL:0000187,2026-08-29T15:28:13+00:00
CL:0000444,obliquely striated muscle cell,CL:0000187,2026-08-29T15:28:13+00:00
CL:0000648,kidney granular cell,CL:0000187,2026-08-29T15:28:13+00:00
CL:0000737,striated muscle cell,CL:0000187,2026-08-29T15:28:13+00:00
CL:0000746,cardiac muscle cell,CL:0000187,2026-08-29T15:28:13+00:00
CL:0002068,Purkinje myocyte,CL:0000187,2026-08-29T15:28:13+00:00
CL:0002072,nodal myocyte,CL:0000187,2026-08-29T15:28:13+00:00
CL:0002073,transitional myocyte,CL:0000187,2026-08-29T15:28:13+00:00
CL:0002074,myocardial endocrine cell,CL:0000187,2026-08-29T15:28:13+00:00
CL:0002086,specialized cardiac myocyte,CL:0000187,2026-08-29T15:28:13+00:00
CL:0002096,internodal tract myocyte,CL:0000187,2026-08-29T15:28:13+00:00
CL:0002098,regular cardiac myocyte,CL:0000187,2026-08-29T15:28:13+00:00
CL:0002100,regular interventricular cardiac myocyte,CL:0000187,2026-08-29T15:28:13+00:00
CL:0002129,regular atrial cardiac myocyte,CL:0000187,2026-08-29T15:28:13+00:00
CL:0002130,regular interatrial cardiac myocyte,CL:0000187,2026-08-29T15:28:13+00:00
CL:0002131,regular ventricular cardiac myocyte,CL:0000187,2026-08-29T15:28:13+00:00
CL:0002210,red muscle cell,CL:0000187,2026-08-29T15:28:13+00:00
CL:0002211,type I muscle cell,CL:0000187,2026-08-29T15:28:13+00:00
CL:0002212,type II muscle cell,CL:0000187,2026-08-29T15:28:13+00:00
CL:0002213,white muscle cell,CL:0000187,2026-08-29T15:28:13+00:00
CL:0002214,type IIa muscle cell,CL:0000187,2026-08-29T15:28:13+00:00
CL:0002215,type IIb muscle cell,CL:0000187,2026-08-29T15:28:13+00:00
CL:0002216,intermediate muscle cell,CL:0000187,2026-08-29T15:28:13+00:00
CL:0002243,smooth muscle cell of sphincter of pupil,CL:0000187,2026-08-29T15:28:13+00:00
CL:0002366,myometrial cell,CL:0000187,2026-08-29T15:28:13+00:00
CL:0002372,myotube,CL:0000187,2026-08-29T15:28:13+00:00
CL:0002495,fetal cardiomyocyte,CL:0000187,2026-08-29T15:28:13+00:00
CL:0002504,enteric smooth muscle cell,CL:0000187,2026-08-29T15:28:13+00:00
CL:0002539,aortic smooth muscle cell,CL:0000187,2026-08-29T15:28:13+00:00
CL:0002588,smooth muscle cell of the umbilical vein,CL:0000187,2026-08-29T15:28:13+00:00
CL:0002589,smooth muscle cell of the brachiocephalic vasculature,CL:0000187,2026-08-29T15:28:13+00:00
CL:0002590,smooth muscle cell of the brain vasculature,CL:0000187,2026-08-29T15:28:13+00:00
CL:0002591,smooth muscle cell of the pulmonary artery,CL:0000187,2026-08-29T15:28:13+00:00
CL:0002592,smooth muscle cell of the coronary artery,CL:0000187,2026-08-29T15:28:13+00:00
CL:0002593,smooth muscle cell of the internal thoracic artery,CL:0000187,2026-08-29T15:28:13+00:00
CL:0002594,smooth muscle cell of the umbilical artery,CL:0000187,2026-08-29T15:28:13+00:00
CL:0002595,smooth muscle cell of the subclavian artery,CL:0000187,2026-08-29T15:28:13+00:00
CL:0002596,smooth muscle cell of the carotid artery,CL:0000187,2026-08-29T15:28:13+00:00
CL:0002597,smooth muscle cell of bladder,CL:0000187,2026-08-29T15:28:13+00:00
CL:0002598,bronchial smooth muscle cell,CL:0000187,2026-08-29T15:28:13+00:00
CL:0002599,smooth muscle cell of the esophagus,CL:0000187,2026-08-29T15:28:13+00:00
CL:0002600,smooth muscle cell of trachea,CL:0000187,2026-08-29T15:28:13+00:00
CL:0002601,uterine smooth muscle cell,CL:0000187,2026-08-29T15:28:13+00:00
CL:0002663,myocardial endocrine cell of atrium,CL:0000187,2026-08-29T15:28:13+00:00
CL:0002673,tongue muscle cell,CL:0000187,2026-08-29T15:28:13+00:00
CL:0008000,non-striated muscle cell,CL:0000187,2026-08-29T15:28:13+00:00
CL:0008002,skeletal muscle fiber,CL:0000187,2026-08-29T15:28:13+00:00
CL:0008003,somatic muscle myotube,CL:0000187,2026-08-29T15:28:13+00:00
CL:0008004,somatic muscle cell,CL:0000187,2026-08-29T15:28:13+00:00
CL:0008005,obliquely striated somatic muscle cell,CL:0000187,2026-08-29T15:28:13+00:00
CL:0008007,visceral muscle cell,CL:0000187,2026-08-29T15:28:13+00:00
CL:0008008,striated visceral muscle cell,CL:0000187,2026-08-29T15:28:13+00:00
CL:0008009,transversely striated visceral muscle cell,CL:0000187,2026-08-29T15:28:13+00:00
CL:0008035,microcirculation associated smooth muscle cell,CL:0000187,2026-08-29T15:28:13+00:00
CL:0008046,extrafusal muscle fiber,CL:0000187,2026-08-29T15:28:13+00:00
CL:0008047,intrafusal muscle fiber,CL:0000187,2026-08-29T15:28:13+00:00
CL:0009049,smooth muscle cell of high endothelial venule of lymph node,CL:0000187,2026-08-29T15:28:13+00:00
CL:0009052,smooth muscle cell of anorectum,CL:0000187,2026-08-29T15:28:13+00:00
CL:0009093,smooth muscle cell of placenta,CL:0000187,2026-08-29T15:28:13+00:00
CL:0009097,embryonic skeletal muscle fiber,CL:0000187,2026-08-29T15:28:13+00:00
CL:0009098,fetal and neonatal skeletal muscle fiber,CL:0000187,2026-08-29T15:28:13+00:00
