curie,label,root,retrieved_at
CL:0000071,blood vessel endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:0000131,gut endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:0000132,corneal endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:0000666,fenestrated endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:0000704,endothelial tip cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:0002138,endothelial cell of lymphatic vessel,CL:0000115,2026-08-29T15:28:05+00:00
CL:0002139,endothelial cell of vascular tree,CL:0000115,2026-08-29T15:28:05+00:00
CL:0002144,capillary endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:0002188,glomerular endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:0002262,endothelial cell of sinusoid,CL:0000115,2026-08-29T15:28:05+00:00
CL:0002342,circulating endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:0002350,endocardial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:0002543,vein endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:0002544,aortic endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:0002545,thoracic aorta endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:0002585,retinal blood vessel endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:0002618,endothelial cell of umbilical vein,CL:0000115,2026-08-29T15:28:05+00:00
CL:0002651,endothelial cell of venous sinus of spleen,CL:0000115,2026-08-29T15:28:05+00:00
CL:0002652,endothelial cell of high endothelial venule,CL:0000115,2026-08-29T15:28:05+00:00
CL:0002653,squamous endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:0002671,endothelial stalk cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:0008040,squamous endothelial cell of venule,CL:0000115,2026-08-29T15:28:05+00:00
CL:0008053,circumventricular organ capillary endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:0009086,endothelial cell of respiratory system lymphatic vessel,CL:0000115,2026-08-29T15:28:05+00:00
CL:0009092,endothelial cell of placenta,CL:0000115,2026-08-29T15:28:05+00:00
CL:0009094,endothelial cell of hepatic portal vein,CL:0000115,2026-08-29T15:28:05+00:00
CL:0009095,endothelial cell of uterus,CL:0000115,2026-08-29T15:28:05+00:00
CL:0009107,lymphatic endothelial cell of subcapsular sinus ceiling,CL:0000115,2026-08-29T15:28:05+00:00
CL:0009108,lymphatic endothelial cell of subcapsular sinus floor,CL:0000115,2026-08-29T15:28:05+00:00
CL:0009109,lymphatic endothelial cell of trabecula,CL:0000115,2026-08-29T15:28:05+00:00
CL:0009110,lymphatic endothelial cell of medulla ceiling,CL:0000115,2026-08-29T15:28:05+00:00
CL:0009115,lymph node lymphatic vessel endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:0010006,cardiac blood vessel endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:0010008,cardiac endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:0011030,dermal microvascular endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:0019021,endothelial cell of periportal hepatic sinusoid,CL:0000115,2026-08-29T15:28:05+00:00
CL:0019022,endothelial cell of pericentral hepatic sinusoid,CL:0000115,2026-08-29T15:28:05+00:00
CL:1000308,fibrocyte of adventitia of ureter,CL:0000115,2026-08-29T15:28:05+00:00
CL:1000397,endothelial cell of venous sinus of red pulp of spleen,CL:0000115,2026-08-29T15:28:05+00:00
CL:1000398,endothelial cell of hepatic sinusoid,CL:0000115,2026-08-29T15:28:05+00:00
CL:1000411,endothelial cell of Peyer's patch,CL:0000115,2026-08-29T15:28:05+00:00
CL:1000412,endothelial cell of arteriole,CL:0000115,2026-08-29T15:28:05+00:00
CL:1000413,endothelial cell of artery,CL:0000115,2026-08-29T15:28:05+00:00
CL:1000414,endothelial cell of venule,CL:0000115,2026-08-29T15:28:05+00:00
CL:1000708,ureter adventitial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:1000892,kidney capillary endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:1001005,glomerular capillary endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:1001033,peritubular capillary endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:1001036,vasa recta cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:1001096,kidney afferent arteriole endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:1001099,kidney efferent arteriole endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:1001123,kidney outer medulla peritubular capillary cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:1001124,kidney cortex peritubular capillary cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:1001126,inner renal medulla vasa recta cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:1001127,outer renal medulla vasa recta cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:1001131,vasa recta ascending limb cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:1001209,inner medulla vasa recta ascending limb cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:1001210,outer medulla vasa recta ascending limb cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:1001213,arcuate artery endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:1001216,interlobulary artery endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:1001220,arcuate vein endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:1001223,interlobulary vein endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:1001285,vasa recta descending limb cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:1001286,inner medulla vasa recta descending limb cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:1001287,outer medulla vasa recta descending limb cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:1001567,lung endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:1001568,pulmonary artery endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:1001572,colon endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:1001602,cerebral cortex endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:2000008,microvascular endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:2000010,dermis blood vessel endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:2000011,dermis lymphatic vessel endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:2000016,lung microvascular endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:2000018,endothelial cell of coronary artery,CL:0000115,2026-08-29T15:28:05+00:00
CL:2000040,bladder microvascular endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:2000041,dermis microvascular lymphatic vessel endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:2000044,brain microvascular endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:2000052,umbilical artery endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:2000053,splenic endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:2000059,prostate gland microvascular endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:2000062,placental villus capillary endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:2000065,ovarian microvascular endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:2000071,mammary microvascular endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:2000072,adipose microvascular endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:2000076,hindlimb stylopod vein endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:2000091,endometrial microvascular endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:4028001,pulmonary capillary endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:4028002,alveolar capillary type 1 endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:4028003,alveolar capillary type 2 endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:4030033,valve endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:4033000,endothelial cell of venule of lymph node,CL:0000115,2026-08-29T15:28:05+00:00
CL:4033001,endothelial cell of arteriole of lymph node,CL:0000115,2026-08-29T15:28:05+00:00
CL:4033006,endothelial cell of efferent lymphatic vessel,CL:0000115,2026-08-29T15:28:05+00:00
CL:4033008,vein endothelial cell of respiratory system,CL:0000115,2026-08-29T15:28:05+00:00
CL:4033061,endothelial cell of central vein of liver,CL:0000115,2026-08-29T15:28:05+00:00
CL:4033079,cycling endothelial cell of lymphatic vessel,CL:0000115,2026-08-29T15:28:05+00:00
CL:4033097,Schlemm's canal endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:4033098,inner wall Schlemm's canal endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:4033099,outer wall Schlemm's canal endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:4047006,fetal artery endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:4047011,fetal vein endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:4047029,post-arteriole capillary cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:4047030,pre-venule capillary cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:4052003,intestinal villus capillary endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:4052014,pancreatic islet capillary endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:4052015,endocrine gland capillary endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:4052016,pituitary gland capillary endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
CL:4052017,choroid plexus capillary endothelial cell,CL:0000115,2026-08-29T15:28:05+00:00
