curie,label,root,retrieved_at
CL:0000059,ameloblast,CL:0000066,2026-08-29T15:28:51+00:00
CL:0000060,odontoblast,CL:0000066,2026-08-29T15:28:51+00:00
CL:0000065,ependymal cell,CL:0000066,2026-08-29T15:28:51+00:00
CL:0000067,ciliated epithelial cell,CL:0000066,2026-08-29T15:28:51+00:00
CL:0000068,duct epithelial cell,CL:0000066,2026-08-29T15:28:51+00:00
CL:0000069,branched duct epithelial cell,CL:0000066,2026-08-29T15:28:51+00:00
CL:0000072,non-branched duct epithelial cell,CL:0000066,2026-08-29T15:28:51+00:00
CL:0000075,columnar/cuboidal epithelial cell,CL:0000066,2026-08-29T15:28:51+00:00
CL:0000076,squamous epithelial cell,CL:0000066,2026-08-29T15:28:51+00:00
CL:0000077,mesothelial cell,CL:0000066,2026-08-29T15:28:51+00:00
CL:0000078,peridermal cell,CL:0000066,2026-08-29T15:28:51+00:00
CL:0000079,stratified epithelial cell,CL:0000066,2026-08-29T15:28:51+00:00
CL:0000082,epithelial cell of lung,CL:0000066,2026-08-29T15:28:51+00:00
CL:0000083,epithelial cell of pancreas,CL:0000066,2026-08-29T15:28:51+00:00
CL:0000098,sensory epithelial cell,CL:0000066,2026-08-29T15:28:51+00:00
CL:0000146,simple columnar epithelial cell,CL:0000066,2026-08-29T15:28:51+00:00
CL:0000150,glandular secretory epithelial cell,CL:0000066,2026-08-29T15:28:51+00:00
CL:0000155,peptic cell,CL:0000066,2026-08-29T15:28:51+00:00
CL:0000158,club cell,CL:0000066,2026-08-29T15:28:51+00:00
CL:0000160,goblet cell,CL:0000066,2026-08-29T15:28:51+00:00
CL:0000162,parietal cell,CL:0000066,2026-08-29T15:28:51+00:00
CL:0000164,enteroendocrine cell,CL:0000066,2026-08-29T15:28:51+00:00
CL:0000165,neuroendocrine cell,CL:0000066,2026-08-29T15:28:51+00:00
CL:0000166,chromaffin cell,CL:0000066,2026-08-29T15:28:51+00:00
CL:0000169,type B pancreatic cell,CL:0000066,2026-08-29T15:28:51+00:00
CL:0000171,pancreatic A cell,CL:0000066,2026-08-29T15:28:51+00:00
CL:0000173,pancreatic D cell,CL:0000066,2026-08-29T15:28:51+00:00
CL:0000182,hepatocyte,CL:0000066,2026-08-29T15:28:51+00:00
CL:0000185,myoepithelial cell,CL:0000066,2026-08-29T15:28:51+00:00
CL:0000209,taste receptor cell,CL:0000066,2026-08-29T15:28:51+00:00
CL:0000214,synovial cell,CL:0000066,2026-08-29T15:28:51+00:00
CL:0000216,Sertoli cell,CL:0000066,2026-08-29T15:28:51+00:00
CL:0000237,keratinizing barrier epithelial cell,CL:0000066,2026-08-29T15:28:51+00:00
CL:0000238,non keratinizing barrier epithelial cell,CL:0000066,2026-08-29T15:28:51+00:00
CL:0000239,brush border epithelial cell,CL:0000066,2026-08-29T15:28:51+00:00
CL:0000240,stratified squamous epithelial cell,CL:0000066,2026-08-29T15:28:51+00:00
CL:0000241,stratified cuboidal epithelial cell,CL:0000066,2026-08-29T15:28:51+00:00
CL:0000242,Merkel cell,CL:0000066,2026-08-29T15:28:51+00:00
CL:0000244,transitional epithelial cell,CL:0000066,2026-08-29T15:28:51+00:00
CL:0000307,tracheal epithelial cell,CL:0000066,2026-08-29T15:28:51+00:00
