term,descendant
GO:0000165,GO:0000165
GO:0000165,GO:0000196
GO:0000165,GO:0004705
GO:0000165,GO:0004706
GO:0000165,GO:0004707
GO:0000165,GO:0004708
GO:0000165,GO:0004709
GO:0000165,GO:0005078
GO:0000165,GO:0007254
GO:0000165,GO:0007258
GO:0000165,GO:0008349
GO:0000165,GO:0008545
GO:0000165,GO:0038066
GO:0000165,GO:0042656
GO:0000165,GO:0051403
GO:0000165,GO:0062031
GO:0000165,GO:0070371
GO:0000165,GO:0070375
GO:0000165,GO:0071507
GO:0003300,GO:0003300
GO:0003300,GO:0003301
GO:0003300,GO:0014898
GO:0003300,GO:0061049
GO:0005977,GO:0005977
GO:0005977,GO:0005978
GO:0005977,GO:0005980
GO:0005977,GO:0061723
GO:0006024,GO:0006024
GO:0006024,GO:0009252
GO:0006024,GO:0018104
GO:0006024,GO:0030213
GO:0006027,GO:0006027
GO:0006027,GO:0009253
GO:0006027,GO:0030214
GO:0006487,GO:0006487
GO:0006487,GO:0006488
GO:0006487,GO:0006489
GO:0006487,GO:0006491
GO:0006487,GO:0016256
GO:0006487,GO:0016258
GO:0006487,GO:0042281
GO:0006487,GO:0140263
GO:0006487,GO:0140277
GO:0006487,GO:0180057
GO:0006487,GO:0180058
GO:0006487,GO:1904381
GO:0006491,GO:0006491
GO:0006491,GO:0016256
GO:0006491,GO:0016258
GO:0006491,GO:0140277
GO:0006491,GO:1904381
GO:0006493,GO:0004169
GO:0006493,GO:0006493
GO:0006493,GO:0008424
GO:0006493,GO:0015012
GO:0006493,GO:0016266
GO:0006493,GO:0030210
GO:0006493,GO:0035269
GO:0006493,GO:0036066
GO:0006493,GO:0050650
GO:0006493,GO:0050651
GO:0006493,GO:0120532
GO:0006493,GO:0140264
GO:0006493,GO:0140265
GO:0006493,GO:0180059
GO:0006493,GO:0180062
GO:0006493,GO:0180063
GO:0006493,GO:0180064
GO:0006493,GO:7770074
GO:0006506,GO:0006506
GO:0006517,GO:0006517
GO:0006517,GO:0035977
GO:0006517,GO:0036507
GO:0006517,GO:0036508
GO:0006517,GO:0036510
GO:0006517,GO:1904380
GO:0006517,GO:1904382
GO:0006622,GO:0006622
GO:0006622,GO:0016256
GO:0006622,GO:0061740
GO:0006694,GO:0004498
GO:0006694,GO:0006694
GO:0006694,GO:0006695
GO:0006694,GO:0006696
GO:0006694,GO:0006697
GO:0006694,GO:0006700
GO:0006694,GO:0006701
GO:0006694,GO:0006702
GO:0006694,GO:0006703
GO:0006694,GO:0006704
GO:0006694,GO:0006705
GO:0006694,GO:0016126
GO:0006694,GO:0016129
GO:0006694,GO:0016132
GO:0006694,GO:0030343
GO:0006694,GO:0032342
GO:0006694,GO:0034651
GO:0006694,GO:0036197
GO:0006694,GO:0042368
GO:0006694,GO:0045456
GO:0006694,GO:0061370
GO:0006694,GO:0062174
GO:0006694,GO:0120178
GO:0006694,GO:0140876
GO:0006694,GO:1900581
GO:0006694,GO:1900812
GO:0006694,GO:1901755
GO:0006694,GO:1902056
GO:0006694,GO:1903449
GO:0006694,GO:1904463
GO:0006702,GO:0006702
GO:0006853,GO:0006853
GO:0006914,GO:0000045
GO:0006914,GO:0000422
