curie,label,root,retrieved_at
CL:0000335,mesenchyme condensation cell,CL:0008019,2026-08-29T15:28:15+00:00
CL:0000345,dental papilla cell,CL:0008019,2026-08-29T15:28:15+00:00
CL:0000569,cardiac mesenchymal cell,CL:0008019,2026-08-29T15:28:15+00:00
CL:0002665,otic fibrocyte,CL:0008019,2026-08-29T15:28:15+00:00
CL:0002666,type II spiral ligament fibrocyte,CL:0008019,2026-08-29T15:28:15+00:00
CL:0002667,type V spiral ligament fibrocyte,CL:0008019,2026-08-29T15:28:15+00:00
CL:0002668,type IV spiral ligament fibrocyte,CL:0008019,2026-08-29T15:28:15+00:00
CL:0002669,type III spiral ligament fibrocyte,CL:0008019,2026-08-29T15:28:15+00:00
CL:0002670,type I spiral ligament fibrocyte,CL:0008019,2026-08-29T15:28:15+00:00
CL:0008022,endocardial cushion cell,CL:0008019,2026-08-29T15:28:15+00:00
CL:0009099,fibro/adipogenic progenitor cell,CL:0008019,2026-08-29T15:28:15+00:00
CL:0020005,spiral ligament fibrocyte,CL:0008019,2026-08-29T15:28:15+00:00
CL:0020021,fibrochondrocyte progenitor cell,CL:0008019,2026-08-29T15:28:15+00:00
