slug	name	parent	mendelian	solver_status	boomer_icd10_terms	direct_icd10cm_count	mondo_icd10_count	exact_ordo_links	ordo_icd10_count	ordo_predicates	no_mapping_found
Glycogen_Storage_Disease_Type_VII	Glycogen Storage Disease Type VII	MONDO:0009295	1	ALL_MAPPINGS_CONSISTENT	ICD10:E74.0	0	0	ORDO:371	1	skos:broadMatch	0
Glycogen_Storage_Disease_XV	Glycogen Storage Disease XV	MONDO:0013291	1	ALL_MAPPINGS_CONSISTENT	ICD10:E74.0	0	0	ORDO:263297	1	skos:broadMatch	0
Glycoprotein_Storage_Disease	Glycoprotein Storage Disease	MONDO:0009296	1	ALL_MAPPINGS_CONSISTENT		0	0		0		1
Gnathodiaphyseal_Dysplasia	Gnathodiaphyseal Dysplasia	MONDO:0008151	1	ALL_MAPPINGS_CONSISTENT	ICD10:M85.8	0	0	ORDO:53697	1	skos:broadMatch	0
Gorlin_Syndrome	Gorlin Syndrome	MONDO:0007187	1	RETRACTED	ICD10:C44.9	0	0	ORDO:377	1	skos:broadMatch	0
Gray_Platelet_Syndrome	Gray Platelet Syndrome	MONDO:0007686	1	TIMED_OUT	ICD10:D69.1	0	0	ORDO:721	1	skos:broadMatch	0
Greenberg_Dysplasia	Greenberg Dysplasia	MONDO:0008974	1	ALL_MAPPINGS_CONSISTENT	ICD10:Q77.3	0	0	ORDO:1426	1	skos:broadMatch	0
Greig_Cephalopolysyndactyly	Greig Cephalopolysyndactyly Syndrome	MONDO:0008287	1	TIMED_OUT	ICD10:Q87.0	0	0	ORDO:380	1	skos:broadMatch	0
Growth_Hormone_Insensitivity_Syndrome	Growth Hormone Insensitivity Syndrome	MONDO:0015892	1	TIMED_OUT	ICD10:E34.3	0	0	ORDO:181393	0		0
Growth_Restriction_Hypoplastic_Kidneys_Alopecia_And_Distinctive_Facies	Growth Restriction Hypoplastic Kidneys Alopecia And Distinctive Facies	MONDO:0859146	1	ALL_MAPPINGS_CONSISTENT		0	0		0		1
Guanidinoacetate_Methyltransferase_Deficiency	Guanidinoacetate Methyltransferase Deficiency	MONDO:0012999	1	ALL_MAPPINGS_CONSISTENT	ICD10:E72.8	0	0	ORDO:382	1	skos:broadMatch	0
Guillain_Barre_Syndrome	Guillain-Barre Syndrome	MONDO:0016218	0	ALL_MAPPINGS_CONSISTENT	ICD10CM:G61.0	0	2	ORDO:2103	1	skos:exactMatch	0
Guillouet-Gordon_Syndrome	Guillouet-Gordon Syndrome	MONDO:0979227	1	ALL_MAPPINGS_CONSISTENT		0	0		0		1
