species/code,symbol
human,AP2A1
human,AP2A2
human,AP2B1
human,AP2M1
human,AP2S1
human,APAF1
human,ATP5F1A
human,ATP5F1B
human,ATP5F1C
human,ATP5F1D
human,ATP5F1E
human,ATP5MC1
human,ATP5MC1P5
human,ATP5MC2
human,ATP5MC3
human,ATP5PB
human,ATP5PD
human,ATP5PF
human,ATP5PO
human,BAX
human,BBC3
human,BDNF
human,CASP3
human,CASP8
human,CASP9
human,CLTA
human,CLTB
human,CLTC
human,CLTCL1
human,COX4I1
human,COX4I2
human,COX5A
human,COX5B
human,COX6A1
human,COX6A2
human,COX6B1
human,COX6B2
human,COX6C
human,COX6CP3
human,COX7A1
human,COX7A2
human,COX7A2L
human,COX7B
human,COX7B2
human,COX7C
human,COX8A
human,COX8C
human,CREB1
human,CREB3
human,CREB3L1
human,CREB3L2
human,CREB3L3
human,CREB3L4
human,CREB5
human,CREBBP
human,CYC1
human,CYCS
human,DCTN1
human,DCTN2
human,DCTN4
human,DLG4
human,DNAH1
human,DNAH2
human,DNAH3
human,DNAI1
human,DNAI2
human,DNAL1
human,DNAL4
human,DNALI1
human,EP300
human,GNAQ
human,GPX1
human,GRIN1
human,GRIN2B
human,GRM5
human,HAP1
human,HDAC1
human,HDAC2
human,HIP1
human,HTT
human,IFT57
human,ITPR1
human,MT-ATP6
human,MT-ATP8
human,MT-CO1
human,MT-CO2
human,MT-CO3
human,MT-CYB
human,NDUFA1
human,NDUFA10
human,NDUFA2
human,NDUFA3
human,NDUFA4
human,NDUFA4L2
human,NDUFA5
human,NDUFA6
human,NDUFA7
human,NDUFA8
human,NDUFA9
human,NDUFAB1
human,NDUFB1
human,NDUFB10
human,NDUFB2
human,NDUFB3
human,NDUFB4
human,NDUFB5
human,NDUFB6
human,NDUFB7
human,NDUFB8
human,NDUFB9
human,NDUFC1
human,NDUFC2
human,NDUFS1
human,NDUFS2
human,NDUFS3
human,NDUFS4
human,NDUFS5
human,NDUFS6
human,NDUFS7
human,NDUFS8
human,NDUFV1
human,NDUFV2
human,NDUFV3
human,NRF1
human,PLCB1
human,PLCB2
human,PLCB3
human,PLCB4
human,POLR2A
human,POLR2B
human,POLR2C
human,POLR2D
human,POLR2E
human,POLR2F
human,POLR2G
human,POLR2H
human,POLR2I
human,POLR2J
human,POLR2J2
human,POLR2J3
human,POLR2K
human,POLR2L
human,PPARG
human,PPARGC1A
human,PPID
human,RCOR1
human,REST
human,SDHA
human,SDHB
human,SDHC
human,SDHCP5
human,SDHD
human,SIN3A
human,SLC25A31
human,SLC25A4
human,SLC25A5
human,SLC25A6
human,SOD1
human,SOD2
human,SP1
human,TAF4
human,TAF4B
human,TBP
human,TBPL1
human,TBPL2
human,TFAM
human,TGM2
human,TP53
human,UCP1
human,UQCR10
human,UQCR10P1
human,UQCR11
human,UQCRB
human,UQCRC1
human,UQCRC2
human,UQCRFS1
human,UQCRH
human,UQCRHL
human,UQCRQ
human,VDAC1
human,VDAC2
human,VDAC2P5
human,VDAC3
