# ICIMD enum-value -> canonical ICIMD nosology prefix crosswalk.
#
# Maps each `icimd_category` permissible value used in kb/ to the ICIMD
# nosology-number prefix (category.group) of the ICIMD node it encodes,
# transcribed from the ICIMD classification (Ferreira et al. 2021,
# PMID:33340416) and reconciled against the authoritative IEMbase browse
# tree (https://www.iembase.com/api/v2/disorder/icimd_browse/).
#
# Used by scripts/check_icimd_assignments.py (`just check-icimd-assignments`)
# to detect drift: an entry whose causative gene sits in a different ICIMD
# category than its assigned value is flagged. Multiple prefixes (| separated)
# mean the dismech value deliberately collapses >1 adjacent ICIMD subgroup.
#
# This is a hand-verified reference artifact, NOT auto-generated at check
# time. Only the freely-citable ICIMD classification codes are stored here;
# no IEMbase database content is redistributed.
#
# value	prefixes	note
amino_acid_transport	1.11	Disorders of amino acid transport
amino_acids_other	1.12	Other disorders of amino acid metabolism
autophagy	20.5	Disorders of autophagy
branched_chain_amino_acids	1.3	Branched-chain amino acid metabolism
complex_ii_subunits_and_assembly_factors	7.2	OXPHOS complex II
complex_iv_subunits_and_assembly_factors	7.4	OXPHOS complex IV
copper_metabolism	22.1	Copper metabolism
cytochrome_c	8.3	Mitochondrial cytochrome c biosynthesis
deglycosylation	18.5	Disorders of deglycosylation (NGLY1, MAN2C1)
ectonucleotides_and_nucleic_acids	16.3	Ectonucleotide and nucleic acid metabolism
galactose_and_fructose	3.1	Galactose and fructose metabolism
glu_gln_and_asp_asn	1.9	Glutamate/glutamine and aspartate/asparagine
gly_and_ser	1.6	Glycine and serine metabolism
glycerolipid_metabolism	14.4	Glycerolipid metabolism
glycogen_metabolism	3.4	Glycogen metabolism
glycolysis	3.3	Glycolysis
glycoprotein_degradation	20.3	Glycoprotein degradation
glycosaminoglycan_degradation	20.2	Glycosaminoglycan degradation (mucopolysaccharidoses)
glyoxylate_and_oxalate	13.1	Glyoxylate and oxalate metabolism
intermediary_metabolism_miscellaneous	13.2	Unassigned disorders of intermediary metabolism
lys_hyl_and_trp	1.8	Lysine, hydroxylysine and tryptophan metabolism
lysosome_related_organelle_biogenesis	19.4	Lysosome-related organelle biogenesis
metabolite_proofreading	12.1|12.2	Mitochondrial + non-mitochondrial metabolite repair
mitochondrial_shuttles_and_carriers	11.1	Mitochondrial shuttles and carriers
mitoribosome	10.3	Mitoribosome
mtdna_replication_and_maintenance	9.2	mtDNA replication and maintenance
mtdna_transcript_processing_and_modification	10.1	Mitochondrial transcript processing and modification
multiple_glycosylation_pathways	18.4	Multiple glycosylation pathways
n_linked_protein_glycosylation	18.1	N-linked protein glycosylation
neuronal_ceroid_lipofuscinosis	20.4	Neuronal ceroid lipofuscinosis
non_mitochondrial_trna_metabolism	16.4	Non-mitochondrial tRNA processing / aminoacyl-tRNA synthetases
o_linked_protein_glycosylation	18.2	O-linked protein glycosylation
organic_acidurias	1.2	Organic acidurias
orn_pro_and_hyp	1.7	Ornithine, proline and hydroxyproline metabolism
phe_and_tyr	1.4	Phenylalanine and tyrosine metabolism
polyamine_metabolism	2.4	Polyamine metabolism
purine_metabolism	16.2	Purine metabolism
pyridoxine_metabolism	21.6	Pyridoxine metabolism
pyrimidine_metabolism	16.1	Pyrimidine metabolism
single_large_scale_mtdna_deletions	6.3	Single large-scale mtDNA deletion syndromes
sphingolipid_degradation	20.1	Sphingolipid degradation
sterol_metabolism	14.7	Sterol biosynthesis
sulfur_containing_amino_acids	1.5	Sulfur-containing amino acids and hydrogen sulfide
trace_element_other	22.5	Other trace element metabolism
urea_cycle_and_hyperammonemias	1.1	Urea cycle disorders and inherited hyperammonemias
vesicular_trafficking	19.6	Vesicular trafficking
