dataset,gene,comparison,group1_label,group2_label,n_group1,n_group2,mean_group1,mean_group2,log2_mean_difference,fold_change,t_statistic,p_value,cohens_d,q_value_bh
GSE65391,IFN6_SCORE,Nephritis_vs_NoLN,Nephritis,Comparator,33,66,2.60766,1.96099,0.646671,1.56555,2.831,0.00596678,0.571295,0.0262337
GSE65391,IFI27,Nephritis_vs_NoLN,Nephritis,Comparator,33,66,12.4456,11.7852,0.660378,1.5805,1.29219,0.200456,0.264629,0.286366
GSE65391,IFI44L,Nephritis_vs_NoLN,Nephritis,Comparator,33,66,11.9132,11.1457,0.767496,1.70231,2.29401,0.0244844,0.454557,0.0408074
GSE65391,IFIT1,Nephritis_vs_NoLN,Nephritis,Comparator,33,66,12.631,11.9374,0.693676,1.6174,2.62182,0.0104935,0.51719,0.0262337
GSE65391,ISG15,Nephritis_vs_NoLN,Nephritis,Comparator,33,66,12.2939,11.4995,0.794451,1.73442,2.69741,0.00844087,0.518126,0.0262337
GSE65391,RSAD2,Nephritis_vs_NoLN,Nephritis,Comparator,33,66,10.9026,9.9544,0.948158,1.92941,2.73032,0.00780534,0.53894,0.0262337
GSE65391,SIGLEC1,Nephritis_vs_NoLN,Nephritis,Comparator,33,66,4.08727,3.69089,0.396374,1.3162,2.4509,0.0174349,0.55311,0.0348699
GSE65391,JCHAIN,Nephritis_vs_NoLN,Nephritis,Comparator,33,66,9.29375,9.11012,0.183631,1.13574,0.41793,0.677561,0.0930445,0.677561
GSE65391,MZB1,Nephritis_vs_NoLN,Nephritis,Comparator,33,66,7.43242,7.14125,0.291175,1.22364,0.946269,0.347956,0.210033,0.434945
GSE65391,TNFRSF17,Nephritis_vs_NoLN,Nephritis,Comparator,33,66,6.31755,6.10589,0.211668,1.15803,0.672853,0.5035,0.144357,0.559444
GSE65391,IFN6_SCORE,Nephritis_vs_DataNotAvailable,Nephritis,Comparator,33,59,2.60766,2.7957,-0.188046,0.877794,-0.838566,0.404571,-0.179074,0.740981
GSE65391,IFI27,Nephritis_vs_DataNotAvailable,Nephritis,Comparator,33,59,12.4456,13.0476,-0.602,0.65884,-1.27725,0.206681,-0.292048,0.688938
GSE65391,IFI44L,Nephritis_vs_DataNotAvailable,Nephritis,Comparator,33,59,11.9132,12.1088,-0.195561,0.873233,-0.617426,0.539016,-0.133096,0.740981
GSE65391,IFIT1,Nephritis_vs_DataNotAvailable,Nephritis,Comparator,33,59,12.631,12.6591,-0.0280622,0.980737,-0.111737,0.911355,-0.0239272,0.911355
GSE65391,ISG15,Nephritis_vs_DataNotAvailable,Nephritis,Comparator,33,59,12.2939,12.657,-0.363106,0.777489,-1.34319,0.183535,-0.286399,0.688938
GSE65391,RSAD2,Nephritis_vs_DataNotAvailable,Nephritis,Comparator,33,59,10.9026,10.9523,-0.0497836,0.966081,-0.154887,0.877388,-0.0338496,0.911355
GSE65391,SIGLEC1,Nephritis_vs_DataNotAvailable,Nephritis,Comparator,33,59,4.08727,4.20811,-0.120839,0.919653,-0.634861,0.527349,-0.129528,0.740981
GSE65391,JCHAIN,Nephritis_vs_DataNotAvailable,Nephritis,Comparator,33,59,9.29375,9.54998,-0.256229,0.837273,-0.537274,0.592785,-0.114744,0.740981
GSE65391,MZB1,Nephritis_vs_DataNotAvailable,Nephritis,Comparator,33,59,7.43242,7.96083,-0.528406,0.69332,-1.50484,0.136451,-0.310206,0.688938
GSE65391,TNFRSF17,Nephritis_vs_DataNotAvailable,Nephritis,Comparator,33,59,6.31755,6.60381,-0.28626,0.820025,-0.824719,0.412087,-0.170314,0.740981
GSE65391,IFN6_SCORE,Nephritis_vs_NoLN_SLEDAIge6,Nephritis,Comparator,32,7,2.71976,2.53025,0.189508,1.14038,0.513292,0.621431,0.234577,0.999486
GSE65391,IFI27,Nephritis_vs_NoLN_SLEDAIge6,Nephritis,Comparator,32,7,12.7086,12.7057,0.00293967,1.00204,0.00506428,0.996047,0.00173974,0.999486
GSE65391,IFI44L,Nephritis_vs_NoLN_SLEDAIge6,Nephritis,Comparator,32,7,12.0966,11.8806,0.215996,1.16151,0.445293,0.667998,0.208932,0.999486
GSE65391,IFIT1,Nephritis_vs_NoLN_SLEDAIge6,Nephritis,Comparator,32,7,12.777,12.3487,0.428259,1.34561,1.14049,0.287298,0.534815,0.999486
GSE65391,ISG15,Nephritis_vs_NoLN_SLEDAIge6,Nephritis,Comparator,32,7,12.4065,11.9943,0.412215,1.33073,0.959409,0.362635,0.396487,0.999486
GSE65391,RSAD2,Nephritis_vs_NoLN_SLEDAIge6,Nephritis,Comparator,32,7,11.082,10.8549,0.227085,1.17047,0.52318,0.613204,0.210015,0.999486
GSE65391,SIGLEC1,Nephritis_vs_NoLN_SLEDAIge6,Nephritis,Comparator,32,7,4.11119,4.07224,0.0389441,1.02736,0.104374,0.919402,0.0475885,0.999486
GSE65391,JCHAIN,Nephritis_vs_NoLN_SLEDAIge6,Nephritis,Comparator,32,7,9.45471,9.45521,-0.000498522,0.999655,-0.00066183,0.999486,-0.000257694,0.999486
GSE65391,MZB1,Nephritis_vs_NoLN_SLEDAIge6,Nephritis,Comparator,32,7,7.53506,7.43661,0.0984498,1.07062,0.177676,0.862811,0.071087,0.999486
GSE65391,TNFRSF17,Nephritis_vs_NoLN_SLEDAIge6,Nephritis,Comparator,32,7,6.41117,6.21284,0.19833,1.14737,0.30666,0.766735,0.138156,0.999486
