,MUT,MUT,MUT,MUT,FGA,FGA,FGA,FGA
,count,median,mean,std,count,median,mean,std
HPV,,,,,,,,
HPV_neg,415,106.0,153.8361,200.1228,415,0.2394,0.2553,0.1742
HPV_pos,72,62.0,111.5972,117.8795,72,0.2032,0.2174,0.1281
