curie,ancestor_curies,ancestor_labels,retrieved_at
ICD10CM:C22.0,ICD10CM:C00-D49|ICD10CM:C15-C26|ICD10CM:C22|ICD10CM:C22.0,Neoplasms (C00-D49)|Malignant neoplasms of digestive organs (C15-C26)|Malignant neoplasm of liver and intrahepatic bile ducts|Liver cell carcinoma,2026-09-06T17:14:06+00:00
ICD10CM:C45.1,ICD10CM:C00-D49|ICD10CM:C45-C49|ICD10CM:C45|ICD10CM:C45.1,Neoplasms (C00-D49)|Malignant neoplasms of mesothelial and soft tissue (C45-C49)|Mesothelioma|Mesothelioma of peritoneum,2026-09-06T17:14:06+00:00
ICD10CM:C58,ICD10CM:C00-D49|ICD10CM:C51-C58|ICD10CM:C58,Neoplasms (C00-D49)|Malignant neoplasms of female genital organs (C51-C58)|Malignant neoplasm of placenta,2026-09-06T17:14:06+00:00
ICD10CM:C64.9,ICD10CM:C00-D49|ICD10CM:C64-C68|ICD10CM:C64|ICD10CM:C64.9,"Neoplasms (C00-D49)|Malignant neoplasms of urinary tract (C64-C68)|Malignant neoplasm of kidney, except renal pelvis|Malignant neoplasm of unspecified kidney, except renal pelvis",2026-09-06T17:14:06+00:00
ICD10CM:C81.9,ICD10CM:C00-D49|ICD10CM:C81-C96|ICD10CM:C81|ICD10CM:C81.9,"Neoplasms (C00-D49)|Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)|Hodgkin lymphoma|Hodgkin lymphoma, unspecified",2026-09-06T17:14:06+00:00
ICD10CM:D25,ICD10CM:C00-D49|ICD10CM:D10-D36|ICD10CM:D25,"Neoplasms (C00-D49)|Benign neoplasms, except benign neuroendocrine tumors (D10-D36)|Leiomyoma of uterus",2026-09-12T18:23:23+00:00
ICD10CM:D58.0,ICD10CM:D50-D89|ICD10CM:D55-D59|ICD10CM:D58|ICD10CM:D58.0,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)|Hemolytic anemias (D55-D59)|Other hereditary hemolytic anemias|Hereditary spherocytosis,2026-09-06T17:14:06+00:00
ICD10CM:D58.1,ICD10CM:D50-D89|ICD10CM:D55-D59|ICD10CM:D58|ICD10CM:D58.1,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)|Hemolytic anemias (D55-D59)|Other hereditary hemolytic anemias|Hereditary elliptocytosis,2026-09-06T17:14:06+00:00
ICD10CM:D61.01,ICD10CM:D50-D89|ICD10CM:D60-D64|ICD10CM:D61|ICD10CM:D61.0|ICD10CM:D61.01,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89)|Aplastic and other anemias and other bone marrow failure syndromes (D60-D64)|Other aplastic anemias and other bone marrow failure syndromes|Constitutional aplastic anemia|Constitutional (pure) red blood cell aplasia,2026-09-12T18:23:23+00:00
ICD10CM:E26.0,ICD10CM:E00-E89|ICD10CM:E20-E35|ICD10CM:E26|ICD10CM:E26.0,"Endocrine, nutritional and metabolic diseases (E00-E89)|Disorders of other endocrine glands (E20-E35)|Hyperaldosteronism|Primary hyperaldosteronism",2026-09-12T18:23:23+00:00
ICD10CM:E71.548,ICD10CM:E00-E89|ICD10CM:E70-E88|ICD10CM:E71|ICD10CM:E71.5|ICD10CM:E71.54|ICD10CM:E71.548,"Endocrine, nutritional and metabolic diseases (E00-E89)|Metabolic disorders (E70-E88)|Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism|Peroxisomal disorders|Other peroxisomal disorders|Other peroxisomal disorders",2026-09-08T07:35:13+00:00
ICD10CM:E75.2,ICD10CM:E00-E89|ICD10CM:E70-E88|ICD10CM:E75|ICD10CM:E75.2,"Endocrine, nutritional and metabolic diseases (E00-E89)|Metabolic disorders (E70-E88)|Disorders of sphingolipid metabolism and other lipid storage disorders|Other sphingolipidosis",2026-09-06T17:14:06+00:00
ICD10CM:E77.8,ICD10CM:E00-E89|ICD10CM:E70-E88|ICD10CM:E77|ICD10CM:E77.8,"Endocrine, nutritional and metabolic diseases (E00-E89)|Metabolic disorders (E70-E88)|Disorders of glycoprotein metabolism|Other disorders of glycoprotein metabolism",2026-09-12T18:23:23+00:00
ICD10CM:E83.00,ICD10CM:E00-E89|ICD10CM:E70-E88|ICD10CM:E83|ICD10CM:E83.0|ICD10CM:E83.00,"Endocrine, nutritional and metabolic diseases (E00-E89)|Metabolic disorders (E70-E88)|Disorders of mineral metabolism|Disorders of copper metabolism|Disorder of copper metabolism, unspecified",2026-09-06T17:14:06+00:00
ICD10CM:E88.41,ICD10CM:E00-E89|ICD10CM:E70-E88|ICD10CM:E88|ICD10CM:E88.4|ICD10CM:E88.41,"Endocrine, nutritional and metabolic diseases (E00-E89)|Metabolic disorders (E70-E88)|Other and unspecified metabolic disorders|Mitochondrial metabolism disorders|MELAS syndrome",2026-09-06T17:14:06+00:00
