identifier	canonical_url	local_path	retrieval_time_utc	byte_count	sha256
GSE197406_series_matrix	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE197nnn/GSE197406/matrix/GSE197406_series_matrix.txt.gz	raw/GSE197406_series_matrix.txt.gz	2026-08-29T21:58:56.617385Z	2831048	sha256:5f5b3bf274510347f8787147a0d9084962ee2f013d99b15582a056c0483dd425
GPL570_annotation	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPLnnn/GPL570/annot/GPL570.annot.gz	raw/GPL570.annot.gz	2026-08-29T21:58:57.465028Z	8471521	sha256:d7cd44352127b1e34f3a720ebea86093ef255a38f1612a85a2962b71bde8f394
GSE125637_series_matrix	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE125nnn/GSE125637/matrix/GSE125637_series_matrix.txt.gz	raw/GSE125637_series_matrix.txt.gz	2026-08-29T21:58:58.495947Z	3164977	sha256:99fcf94b98426e7692751bf69b33550e8bc4f5f5fd5be1bfc0275305c6f2b97e
GPL1261_annotation	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL1nnn/GPL1261/annot/GPL1261.annot.gz	raw/GPL1261.annot.gz	2026-08-29T21:58:59.312560Z	8389179	sha256:394c103cf4ca99500d06369e4fb2b9b9bffc2c10fd3cbeb0b0d64c51c3fc95f8
