dismech_name	source	mindmap_title	nodes	url
Atrial Fibrillation	KB	Apixaban rivroxaban atrial fibrillation	39	https://www.sciqst.com/mindmaps/E7zJ5i8YvAaJ
Atrial Fibrillation	KB	Atrial fibrillation and athletas	45	https://www.sciqst.com/mindmaps/ngRvld1jaWpd
Atrial Fibrillation	KB	Atrial fibrillation and athletas	54	https://www.sciqst.com/mindmaps/Cw23_yZG3iBV
Atrial Fibrillation	KB	Atrial fibrillation and athletes	35	https://www.sciqst.com/mindmaps/cHTl9MDgEXFn
Atrial Fibrillation	KB	Which parameter can i use when i want to  evaluate an aortic regurgita	42	https://www.sciqst.com/mindmaps/gel4j6xn7gB6
Atrial Fibrillation	KB	atrial fibrillation and athletes	41	https://www.sciqst.com/mindmaps/XLuEzWlHHyFk
Atrial Fibrillation	KB	atrial fibrillation and sports	43	https://www.sciqst.com/mindmaps/k6m0beQHZjRH
Atrial Fibrillation	KB	atrial fibrillation rythm control	18	https://www.sciqst.com/mindmaps/gyczB9l1QgnT
Bacterial meningitis	KB	Dexamethazone in bacterial meningitis	54	https://www.sciqst.com/mindmaps/sHq8k8WMxTE4
Cauda Equina Syndrome	KB	Cauda equina syndrome	52	https://www.sciqst.com/mindmaps/JT5WHqMn5PEg
Cerebral Palsy	KB	Spasticity in cerebral palsy	63	https://www.sciqst.com/mindmaps/Qj9UIMSWzobM
Cerebral Palsy	KB	Spasticity in cerebral palsy	67	https://www.sciqst.com/mindmaps/Dt9m2fQ60fdF
Cervical Cancer	KB	Cervical cancer	39	https://www.sciqst.com/mindmaps/g0sRRLWOyWHV
Cervical Cancer	KB	Cervical cancer	55	https://www.sciqst.com/mindmaps/42stfiQy4lbr
Cervical Cancer	KB	Cervical cancer	55	https://www.sciqst.com/mindmaps/XCRtC9MVHpYD
Cholangiocarcinoma	KB	Post hepatectomy ascites in patinet liver intra hepatic cholangiocarci	56	https://www.sciqst.com/mindmaps/pRLLGBR214Ao
Chronic Kidney Disease	KB	Chronic kidney disease	56	https://www.sciqst.com/mindmaps/VuXbEaBCebxo
Chronic Kidney Disease	KB	Semaglutide in Chronic Kidney Disease, a milestone?	44	https://www.sciqst.com/mindmaps/cbXbUB1AwzHc
Chronic Pancreatitis	KB	What is the best way to diagnose and treat early chronic pancreatitis	69	https://www.sciqst.com/mindmaps/RrXXkzqmgH-l
Dermatomyositis	KB	46-year-old man with dermatomyositis on methotrexate presents with fev	38	https://www.sciqst.com/mindmaps/n75a2A_f_vPh
Heart Failure	KB	Heart Failure treatment in CKD patients	46	https://www.sciqst.com/mindmaps/1X1_pqYNX_yq
Heart Failure	KB	Heart Failure treatment in CKD patients	67	https://www.sciqst.com/mindmaps/w3_XNeXOOcFB
Heart Failure	KB	Heart failure	70	https://www.sciqst.com/mindmaps/5wcmndOPveXV
Heart Failure	KB	Stem cell treatment for heart failure	50	https://www.sciqst.com/mindmaps/F-Zmn_0UejKp
Heart Failure	KB	What is the Prevalence of Accidental Overdosing Due to Confusion Cause	46	https://www.sciqst.com/mindmaps/jf5Q6VnA5jy_
Heart Failure	KB	heart failure	65	https://www.sciqst.com/mindmaps/KcgzaLpHqp3n
Heart Failure	KB	heart failure	81	https://www.sciqst.com/mindmaps/u_JC0AvtTgxW
Heart Failure	KB	heart failure preserved ejection fraction	45	https://www.sciqst.com/mindmaps/RK6xanyH60bN
Heart Failure	KB	peritoneal dialysis in refractory heart failure	41	https://www.sciqst.com/mindmaps/r5fALQyiJti3
Hidradenitis Suppurativa	KB	Secukminilab for Hidradenitis Suppurativa	51	https://www.sciqst.com/mindmaps/R8-OLN69uiyF
Hidradenitis Suppurativa	KB	Secukminilab for Hidradenitis Suppurativa Hidradenitis Suppurativa	64	https://www.sciqst.com/mindmaps/m9uti_0zDoZ1
IgA Nephropathy	KB	IgA Nephropathy	46	https://www.sciqst.com/mindmaps/6jPYpSG-Ucb_
IgA Nephropathy	KB	IgA Nephropathy treatment	42	https://www.sciqst.com/mindmaps/Uz1H7dr96URC
IgA Nephropathy	KB	IgA nephropathy	48	https://www.sciqst.com/mindmaps/sQ2naUlNLaJq
Immune Thrombocytopenia	KB	Immune thrombocytopenia in a mothe and her children	52	https://www.sciqst.com/mindmaps/T6_Cqy07OUjq
Irritable Bowel Syndrome	KB	Irritable bowel syndrome	25	https://www.sciqst.com/mindmaps/-diL2kM4AaMT
Ischemic Stroke	KB	Anti platelets in acute ischemic stroke	53	https://www.sciqst.com/mindmaps/hm9ksTM-uB8I
Ischemic Stroke	KB	Tirofiban in early neurological detioration in ischemic stroke	58	https://www.sciqst.com/mindmaps/J7GL2D_HmdTN
Ischemic Stroke	KB	Tirofiban in early neurological detioration in ischemic stroke	61	https://www.sciqst.com/mindmaps/_CcT7v-eQ90P
Ischemic Stroke	KB	Tirofiban in early neurological detioration in ischemic stroke	66	https://www.sciqst.com/mindmaps/gBCsMGDG9ohP
Kawasaki Disease	KB	Kawasaki disease	43	https://www.sciqst.com/mindmaps/NrlwcLHlA-v3
Liposarcoma	KB	Liposarcoma	74	https://www.sciqst.com/mindmaps/wf5_KWbL7zz6
Long COVID	KB	Long COVID and ME/CFS	120	https://www.sciqst.com/mindmaps/Ck9xSAKSp5kv
Long COVID	KB	Long covid	42	https://www.sciqst.com/mindmaps/Q-yBNhX4QnYZ
Long COVID	KB	Long covid	42	https://www.sciqst.com/mindmaps/walt1AoaBNPA
Long COVID	KB	long covid	55	https://www.sciqst.com/mindmaps/akehQSuirnXz
Mantle Cell Lymphoma	KB	Management of mantle cell lymphoma	64	https://www.sciqst.com/mindmaps/F6uz52svaSTw
Meningioma	KB	MENINGIOMA	35	https://www.sciqst.com/mindmaps/MOWOq5QgEFEi
Meningioma	KB	meningioma	48	https://www.sciqst.com/mindmaps/eM4_YQvnMJyL
Metastatic Prostate Cancer	KB	current use of abiraterona acetate in metastatic prostate cancer	35	https://www.sciqst.com/mindmaps/s__Aox9-6VRq
Multiple Myeloma	KB	multiple myeloma	48	https://www.sciqst.com/mindmaps/Sl9sQjGnihPw
Multiple Myeloma	KB	multiple myeloma diagnosis	44	https://www.sciqst.com/mindmaps/enFYc_e9JIcJ
Myocardial Infarction	KB	Myocardial infarction	52	https://www.sciqst.com/mindmaps/3kmaXbAq1TjK
Neurosarcoidosis	KB	Subtypes of Neurosarcoidosis, their clinical presentation and diagnost	38	https://www.sciqst.com/mindmaps/7RXkVLOqb4HB
Non-Small Cell Lung Cancer	KB	Adjuvant immunotherapy in non small cell lung cancer	54	https://www.sciqst.com/mindmaps/SRUk1_QR3kjP
Non-Small Cell Lung Cancer	KB	Stereotactic Ablative radiotherapy in Locally Advanced non small Cell 	30	https://www.sciqst.com/mindmaps/iuZiKu6YMnUe
Osteoarthritis	KB	Knee osteoarthritis	39	https://www.sciqst.com/mindmaps/Y2bnblXHZgs8
Osteoporosis	KB	Osteoporosis	31	https://www.sciqst.com/mindmaps/IflXOSqUjp10
Osteoporosis	KB	Osteoporosis	75	https://www.sciqst.com/mindmaps/6OnvSVIz58NC
Parkinsons Disease	KB	Parkinsons disease	65	https://www.sciqst.com/mindmaps/aJZyyBQsQVTa
Polycythemia Vera	KB	treatment armamentarium for polycythemia vera	40	https://www.sciqst.com/mindmaps/0t7wZw-U7-CS
Pulmonary hypertension	KB	pulmonary hypertension	46	https://www.sciqst.com/mindmaps/9jHwtNc2nr0x
Rheumatic Heart Disease	KB	Rheumatic heart disease	37	https://www.sciqst.com/mindmaps/de7hTOQuRPVU
Rheumatic Heart Disease	KB	Rheumatic heart disease	50	https://www.sciqst.com/mindmaps/vdWKHv9MU08B
Rheumatic Heart Disease	KB	Rheumatic heart disease	51	https://www.sciqst.com/mindmaps/GxxYsxRG-iBd
Sarcoidosis	KB	sarcoidosis	52	https://www.sciqst.com/mindmaps/0VnP_x9zar6k
Sarcoidosis	KB	sarcoidosis	53	https://www.sciqst.com/mindmaps/KGmAWM8eJvi1
Short QT Syndrome	KB	short qt syndrome	44	https://www.sciqst.com/mindmaps/0FlQchrVm98u
Solitary Fibrous Tumor	KB	Solitary Fibrous Tumor	28	https://www.sciqst.com/mindmaps/5Grojev_zAjz
Solitary Fibrous Tumor	KB	Solitary Fibrous Tumor	65	https://www.sciqst.com/mindmaps/dOrB9KJA4Ths
Solitary Fibrous Tumor	KB	solitary fibrous tumor	68	https://www.sciqst.com/mindmaps/nllrZRLUfAlW
Uveal Melanoma	KB	uveal melanoma	40	https://www.sciqst.com/mindmaps/Rwfo4WfKttCN
mast cell activation syndrome	STUB	Benzodiazepines in mast cell activation syndrome and in dysautonomia	50	https://www.sciqst.com/mindmaps/90NI_9gArH6k
