gene_x,gene_y,n,spearman_rho,p_value
ACSL5,CD68,7,0.28571428571428575,0.5345092286010406
ACSL5,CD163,7,0.07142857142857144,0.879048193148154
ACSL5,CD86,7,0.42857142857142866,0.3373683110858243
