gene,class,n_ETR,n_control,log2_mean_diff,fold_change,t,p_value,cohens_d,q_BH
ACSL5,lipid,7,10,2.4901092857142855,5.618205071961579,8.898564510970155,2.6268605874488694e-07,4.192808062113531,1.8388024112142087e-06
ACADVL,lipid,7,10,1.017943571428571,2.025030407519622,7.186257385850773,5.201418142713984e-05,3.8759906891857643,0.00012136642332999296
PPARG,lipid,7,10,2.1640671428571405,4.481765432758054,6.292211657255388,1.4554951595648727e-05,2.875975138638667,5.0942330584770544e-05
CPT1A,lipid,7,10,-0.0029794642857137177,0.9979369238040224,-0.03129851735655821,0.9754740154938185,-0.015100697670263862,0.9754740154938185
CD68,macrophage,7,10,0.6791450000000001,1.6011905430286577,3.447934310007019,0.009917925396544614,1.9511849102972814,0.01388509555516246
CD163,macrophage,7,10,0.818984761904761,1.7641640967665022,2.989897190110695,0.014861511673254413,1.6042581794199782,0.017338430285463485
CD86,macrophage,7,10,0.48514214285714363,1.3997237678745176,3.942090470480043,0.00496328691365121,2.2255914392541762,0.008685752098889618
