verdict	entry	subtype	subtype_term	subtype_label	parent_term	parent_label
REVERSED	Adult_Refsum_Disease	Type 1	MONDO:0100258	phytanoyl-CoA hydroxylase deficiency	MONDO:0009958	adult Refsum disease
SILENT	3-Phosphoglycerate_Dehydrogenase_Deficiency	Neu-Laxova	MONDO:0009736	Neu-Laxova syndrome 1	MONDO:0011152	PHGDH deficiency
SILENT	46_XX_Gonadal_Dysgenesis	ODG4	MONDO:0014520	46,XX ovarian dysgenesis-short stature syndrome	MONDO:0009299	46 XX gonadal dysgenesis
SILENT	Acute_Lymphoblastic_Leukemia	ETV6-RUNX1	MONDO:0035942	B-lymphoblastic leukemia/lymphoma with t(12;21)(p13.2;q22.1)	MONDO:0004967	acute lymphoblastic leukemia
SILENT	Acute_Lymphoblastic_Leukemia	High hyperdiploidy	MONDO:0035943	B-lymphoblastic leukemia/lymphoma with hyperdiploidy	MONDO:0004967	acute lymphoblastic leukemia
SILENT	Acute_Lymphoblastic_Leukemia	Hypodiploidy	MONDO:0035944	B-lymphoblastic leukemia/lymphoma with hypodiploidy	MONDO:0004967	acute lymphoblastic leukemia
SILENT	Acute_Lymphoblastic_Leukemia	KMT2A-rearranged	MONDO:0035941	B-lymphoblastic leukemia/lymphoma with t(v;11q23.3)	MONDO:0004967	acute lymphoblastic leukemia
SILENT	Acute_Lymphoblastic_Leukemia	Ph-positive	MONDO:0035940	B-lymphoblastic leukemia/lymphoma with t(9;22)(q34.1;q11.2)	MONDO:0004967	acute lymphoblastic leukemia
SILENT	Acute_Megakaryoblastic_Leukemia	RBM15::MRTFA-Rearranged AMKL	MONDO:0018436	megakaryoblastic acute myeloid leukemia with t(1;22)(p13;q13)	MONDO:0018872	acute megakaryoblastic leukemia
SILENT	Adult_Refsum_Disease	Type 2	MONDO:0100307	adult Refsum disease due to PEX7 defect	MONDO:0009958	adult Refsum disease
SILENT	Arthrogryposis_Multiplex_Congenita	Amyoplasia pattern	MONDO:0044629	congenital amyoplasia	MONDO:0015168	arthrogryposis multiplex congenita
SILENT	Arthrogryposis_Multiplex_Congenita	Distal arthrogryposis pattern	MONDO:0019942	distal arthrogryposis	MONDO:0015168	arthrogryposis multiplex congenita
SILENT	Autoimmune_Encephalitis	Anti-NMDA Receptor Encephalitis	MONDO:0021081	anti-NMDA receptor encephalitis	MONDO:0020640	autoimmune encephalitis
SILENT	Autoimmune_Encephalitis	CASPR2-Antibody Encephalitis	MONDO:0017179	limbic encephalitis with caspr2 antibodies	MONDO:0020640	autoimmune encephalitis
SILENT	Autoimmune_Encephalitis	LGI1-Antibody Encephalitis	MONDO:0015592	limbic encephalitis with LGI1 antibodies	MONDO:0020640	autoimmune encephalitis
SILENT	Autoimmune_Retinopathy	CAR	MONDO:0019112	cancer-associated retinopathy	MONDO:0100014	autoimmune retinopathy
SILENT	Autoimmune_Retinopathy	MAR	MONDO:0023868	melanoma associated retinopathy	MONDO:0100014	autoimmune retinopathy
SILENT	Autosomal_Agammaglobulinemia	AGM10	MONDO:0030529	agammaglobulinemia 10, autosomal dominant	MONDO:0011096	autosomal agammaglobulinemia
SILENT	Autosomal_Agammaglobulinemia	AGM8B	MONDO:0859234	agammaglobulinemia 8b, autosomal recessive	MONDO:0011096	autosomal agammaglobulinemia
SILENT	Autosomal_Agammaglobulinemia	AGM9	MONDO:0030519	agammaglobulinemia 9, autosomal recessive	MONDO:0011096	autosomal agammaglobulinemia
