slug	route	subject	predicate	source_target	target	source	fact_type	sub	object	prior	status	reason
Nasu-Hakola_Disease	ordo	ORDO:2770	skos:broadMatch	ICD-10:G31.8	ICD10:G31.8	ordo.db	ProperSubClassOf	ORDO:2770	ICD10:G31.8	0.9	INCLUDED	NA
Naxos_disease	ordo	ORDO:34217	skos:broadMatch	ICD-10:Q87.8	ICD10:Q87.8	ordo.db	ProperSubClassOf	ORDO:34217	ICD10:Q87.8	0.9	INCLUDED	NA
Nemaline_Myopathy	ordo	ORDO:171430	skos:broadMatch	ICD-10:G71.2	ICD10:G71.2	ordo.db	ProperSubClassOf	ORDO:171430	ICD10:G71.2	0.9	INCLUDED	NA
Nemaline_Myopathy	ordo	ORDO:171436	skos:broadMatch	ICD-10:G71.2	ICD10:G71.2	ordo.db	ProperSubClassOf	ORDO:171436	ICD10:G71.2	0.9	INCLUDED	NA
Nemaline_Myopathy	ordo	ORDO:171439	skos:broadMatch	ICD-10:G71.2	ICD10:G71.2	ordo.db	ProperSubClassOf	ORDO:171439	ICD10:G71.2	0.9	INCLUDED	NA
Nemaline_Myopathy	ordo	ORDO:171442	skos:broadMatch	ICD-10:G71.2	ICD10:G71.2	ordo.db	ProperSubClassOf	ORDO:171442	ICD10:G71.2	0.9	INCLUDED	NA
Neonatal_Epileptic_Encephalopathy_Due_to_Glutaminase_Deficiency	ordo	ORDO:557064	skos:broadMatch	ICD-10:E88.8	ICD10:E88.8	ordo.db	ProperSubClassOf	ORDO:557064	ICD10:E88.8	0.9	INCLUDED	NA
Nestor-Guillermo_progeria_syndrome	ordo	ORDO:280576	skos:broadMatch	ICD-10:E34.8	ICD10:E34.8	ordo.db	ProperSubClassOf	ORDO:280576	ICD10:E34.8	0.9	INCLUDED	NA
Netherton_Syndrome	ordo	ORDO:634	skos:broadMatch	ICD-10:Q80.8	ICD10:Q80.8	ordo.db	ProperSubClassOf	ORDO:634	ICD10:Q80.8	0.9	INCLUDED	NA
Neurodevelopmental_Disorder_with_Hearing_Loss_and_Spasticity	ordo	ORDO:659975	skos:broadMatch	ICD-10:H91.8	ICD10:H91.8	ordo.db	ProperSubClassOf	ORDO:659975	ICD10:H91.8	0.9	INCLUDED	NA
