slug	route	subject	predicate	target	source
2-Methylbutyryl-CoA_Dehydrogenase_Deficiency	ordo	ORDO:79157	skos:broadMatch	ICD-10:E71.1	ordo.db
3-Hydroxy-3-Methylglutaric_Aciduria	ordo	ORDO:20	skos:broadMatch	ICD-10:E71.1	ordo.db
3-Hydroxy-3-Methylglutaryl-CoA_Synthase_Deficiency	ordo	ORDO:35701	skos:broadMatch	ICD-10:E71.3	ordo.db
3-Hydroxyisobutyryl-CoA_Hydrolase_Deficiency	ordo	ORDO:88639	skos:broadMatch	ICD-10:E71.1	ordo.db
3-M_Syndrome	ordo	ORDO:2616	skos:broadMatch	ICD-10:Q87.1	ordo.db
3-Methylcrotonyl-CoA_Carboxylase_Deficiency	ordo	ORDO:6	skos:broadMatch	ICD-10:E71.1	ordo.db
3-Methylglutaconic_Aciduria_Type_I	ordo	ORDO:67046	skos:broadMatch	ICD-10:E71.1	ordo.db
3-Phosphoglycerate_Dehydrogenase_Deficiency	ordo	ORDO:79351	skos:broadMatch	ICD-10:E72.8	ordo.db
3-methylglutaconic_Aciduria_With_Deafness_Encephalopathy_And_Leigh-like_Syndrome	ordo	ORDO:352328	skos:broadMatch	ICD-10:E71.1	ordo.db
3MC_Syndrome	ordo	ORDO:293843	skos:broadMatch	ICD-10:Q87.8	ordo.db
46_XX_Gonadal_Dysgenesis	ordo	ORDO:243	skos:exactMatch	ICD-10:Q99.1	ordo.db
46_XX_Testicular_DSD	ordo	ORDO:393	skos:broadMatch	ICD-10:Q99.1	ordo.db
46_XY_DSD_Due_to_17_Beta_Hydroxysteroid_Dehydrogenase_3_Deficiency	ordo	ORDO:752	skos:broadMatch	ICD-10:E29.1	ordo.db
46_XY_DSD_Due_to_5_Alpha_Reductase_2_Deficiency	ordo	ORDO:753	skos:broadMatch	ICD-10:E29.1	ordo.db
46_XY_Partial_Gonadal_Dysgenesis	ordo	ORDO:251510	skos:broadMatch	ICD-10:Q56.1	ordo.db
46_XY_complete_gonadal_dysgenesis	ordo	ORDO:242	skos:broadMatch	ICD-10:Q99.1	ordo.db
5-Oxoprolinase_Deficiency	ordo	ORDO:33572	skos:broadMatch	ICD-10:E72.8	ordo.db
ACAD9_Deficiency	ordo	ORDO:99901	skos:broadMatch	ICD-10:E71.3	ordo.db
ACys_Amyloidosis	ordo	ORDO:100008	skos:broadMatch	ICD-10:E85.4+	ordo.db
ACys_Amyloidosis	ordo	ORDO:100008	skos:broadMatch	ICD-10:I68.0*	ordo.db
ADCA-DN	ordo	ORDO:314404	skos:broadMatch	ICD-10:G11.2	ordo.db
ADGRG1_Bilateral_Frontoparietal_Polymicrogyria	ordo	ORDO:101070	skos:broadMatch	ICD-10:Q04.3	ordo.db
ADNP-Related_Syndrome	ordo	ORDO:404448	skos:broadMatch	ICD-10:Q87.0	ordo.db
ADan_amyloidosis	ordo	ORDO:97346	skos:broadMatch	ICD-10:E85.4+	ordo.db
ADan_amyloidosis	ordo	ORDO:97346	skos:broadMatch	ICD-10:I68.0*	ordo.db
AFG2A-Related_Encephalopathy	ordo	ORDO:457351	skos:broadMatch	ICD-10:Q02	ordo.db
AGAT_Deficiency	ordo	ORDO:35704	skos:broadMatch	ICD-10:E72.8	ordo.db
AHCY_Deficiency	ordo	ORDO:88618	skos:broadMatch	ICD-10:E72.1	ordo.db
ALG1-Congenital_Disorder_of_Glycosylation	ordo	ORDO:79327	skos:broadMatch	ICD-10:E77.8	ordo.db
ALG11-Congenital_Disorder_of_Glycosylation	ordo	ORDO:280071	skos:broadMatch	ICD-10:E77.8	ordo.db
