dataset,gene,comparison,n1,n2,mean1,mean2,log2_mean_diff,fold_change,test_statistic,p_value,q_value,cohens_d
Supp6_PAC,Astro,DepressionPAC_vs_ADprogressionPAC_spearman,208,208,-0.016551391576888227,0.3213356075407052,-4.279056432785668,0.051508115467071534,-0.015402217919380389,0.8252416233495585,0.8252416233495585,-0.6702654144524487
Supp6_PAC,EN_L2_3_IT,DepressionPAC_vs_ADprogressionPAC_spearman,208,208,0.08601641992829505,-0.23919799072162762,-1.4755212793251216,0.3596034384268667,-0.29683207715244325,1.3385713418140784e-05,1.721020296618101e-05,0.9572438307680574
Supp6_PAC,EN_L3_5_IT_1,DepressionPAC_vs_ADprogressionPAC_spearman,208,208,0.0635877169216692,-0.13308248101522088,-1.0655006515126966,0.4778068190237343,-0.46351289449101146,1.7846165854257012e-12,2.8343910474408193e-12,0.6451012983587929
Supp6_PAC,EN_L3_5_IT_2,DepressionPAC_vs_ADprogressionPAC_spearman,208,208,0.07481736024671945,-0.22564147244088553,-1.5925872866810302,0.3315762808910069,-0.528600975880366,2.2774685074045554e-16,4.392260692851643e-16,0.7523350389343679
Supp6_PAC,EN_L3_5_IT_3,DepressionPAC_vs_ADprogressionPAC_spearman,208,208,0.11644983990506984,-0.1424112092503621,-0.2903540498125474,0.8177013629618748,-0.5257978868816234,3.4896947195028245e-16,6.281450495105084e-16,0.6046065422825146
Supp6_PAC,EN_L5_6_NP,DepressionPAC_vs_ADprogressionPAC_spearman,208,208,-0.008394721481063096,-0.32511263978203814,-5.275313375810705,0.025820963118170618,-0.7082281473912663,5.5456171695677766e-33,2.4955277263054994e-32,0.7491716537188857
Supp6_PAC,EN_L5_ET,DepressionPAC_vs_ADprogressionPAC_spearman,208,208,0.0389236524201129,-0.18109253228713673,-2.218008057514461,0.21493792111977497,-0.754646644964822,1.4631317726881297e-39,9.876139465644875e-39,0.560231103937828
Supp6_PAC,EN_L6B,DepressionPAC_vs_ADprogressionPAC_spearman,208,208,0.06979555803464225,-0.08644937645553058,-0.3087203353888911,0.8073575645805262,-0.47563123428919096,3.8694237741636226e-13,6.529652618901114e-13,0.4268124240516048
Supp6_PAC,EN_L6_CT,DepressionPAC_vs_ADprogressionPAC_spearman,208,208,0.06573771187475055,-0.3942405926977188,-2.5842831834032576,0.1667451629598033,-0.553286534779834,4.454734757072044e-18,9.252141418534246e-18,1.122557142900746
Supp6_PAC,EN_L6_IT_1,DepressionPAC_vs_ADprogressionPAC_spearman,208,208,0.08536649191400304,-0.1892471854302464,-1.1485300450627487,0.45108460514181764,-0.6296743803945418,2.2529637117226126e-24,6.083002021651054e-24,0.6569319626533233
Supp6_PAC,EN_L6_IT_2,DepressionPAC_vs_ADprogressionPAC_spearman,208,208,0.044513406409908404,-0.12598143111716031,-1.5008992920177373,0.35333307468552083,-0.62624345741884,4.713217104038179e-24,1.1568805619002803e-23,0.42152176292395027
Supp6_PAC,Endo,DepressionPAC_vs_ADprogressionPAC_spearman,208,208,-0.04437088450445949,-0.43460857402872644,-3.2920314187865203,0.10209390047957657,-0.04965030815156402,0.4763464509306954,0.4946674682741837,1.1881461226199597
Supp6_PAC,IN_ADARB2,DepressionPAC_vs_ADprogressionPAC_spearman,208,208,0.008607501250554804,-0.15686236655785635,-4.187760975784357,0.05487295289134922,-0.7782957852035388,1.6485981828064115e-43,2.2256075467886557e-42,0.5552002837475218
Supp6_PAC,IN_LAMP5_LHX6,DepressionPAC_vs_ADprogressionPAC_spearman,208,208,0.020001963068649892,0.043677869864801294,-1.126760900355044,0.4579427323393553,-0.6644604888353088,7.280729106832041e-28,2.457246073555814e-27,-0.06914044763654237
Supp6_PAC,IN_LAMP5_RELN,DepressionPAC_vs_ADprogressionPAC_spearman,208,208,0.020030686603025802,-0.07611865109486199,-1.9260381216546145,0.26315083510955534,-0.6958593927109309,1.9212287730290882e-31,7.410453838826483e-31,0.2493600676783958
Supp6_PAC,IN_PVALB,DepressionPAC_vs_ADprogressionPAC_spearman,208,208,0.03588855776277236,0.011908338412719858,1.5915518214185846,3.0137334461739935,-0.7177275891406916,3.204177180510225e-34,1.7302556774755216e-33,0.07132016558604971
Supp6_PAC,IN_PVALB_CHC,DepressionPAC_vs_ADprogressionPAC_spearman,208,208,-0.07429734290601371,-0.2003325732882992,-1.4310144950283212,0.3708700072408703,-0.6445497156277693,8.22995758725226e-26,2.4689872761756784e-25,0.29860408577837044
Supp6_PAC,IN_SST,DepressionPAC_vs_ADprogressionPAC_spearman,208,208,-0.00574375770846371,-0.25036878623719616,-5.44591600823077,0.02294118925440709,-0.7696957654671003,5.097890880731088e-42,4.5881017926579795e-41,0.8068442348615974
Supp6_PAC,IN_VIP,DepressionPAC_vs_ADprogressionPAC_spearman,208,208,-0.019775189495742876,-0.23516303584020656,-3.571897883117626,0.0840914024820641,-0.8034271693181667,2.814944606504483e-48,7.600350437562105e-47,0.809024744863836
Supp6_PAC,Immune,DepressionPAC_vs_ADprogressionPAC_spearman,208,208,0.006435453888390106,0.7269178120616693,-6.819606542477619,0.00885306946893763,0.12371439126864989,0.07502237959738171,0.08440017704705444,-2.258825051977572
Supp6_PAC,Micro,DepressionPAC_vs_ADprogressionPAC_spearman,208,208,0.021556848676109977,0.5365606251593064,-4.637522992248417,0.04017597949851368,-0.33941954308087025,5.293249808723854e-07,7.145887241777204e-07,-1.2649661024489272
Supp6_PAC,OPC,DepressionPAC_vs_ADprogressionPAC_spearman,208,208,-0.0010672405700282322,-0.0337439118948262,-4.98266991305471,0.03162764807336601,0.4133261856373984,5.475305590576046e-10,8.212958385864069e-10,0.09405004499805901
Supp6_PAC,Oligo,DepressionPAC_vs_ADprogressionPAC_spearman,208,208,-0.023446005514996173,0.5012132103407217,-4.418010382374404,0.04677850669390322,-0.18210355624543265,0.008474490239086564,0.009948314628492922,-1.0474998516146008
Supp6_PAC,PC,DepressionPAC_vs_ADprogressionPAC_spearman,208,208,-0.0352471714903682,-0.3710723429477608,-3.3961210828765567,0.09498733106964606,-0.055824187547506975,0.423200640631767,0.45705669188230835,0.9153908164029964
Supp6_PAC,PVM,DepressionPAC_vs_ADprogressionPAC_spearman,208,208,-0.04204452551460932,0.506270338805898,-3.589918093559001,0.08304757812550623,-0.3995023507519469,2.2621993769167645e-09,3.2147043777238233e-09,-1.3991730938584135
Supp6_PAC,SMC,DepressionPAC_vs_ADprogressionPAC_spearman,208,208,-0.02263580446725595,-0.1944798195387469,-3.102941974375048,0.11639153368684682,0.570372527331051,2.403533301316112e-19,5.407949927961253e-19,0.5796337515570579
Supp6_PAC,VLMC,DepressionPAC_vs_ADprogressionPAC_spearman,208,208,-0.0014760171772754188,0.5026334920313626,-8.411653484467303,0.0029365675003274957,0.29239093396389343,1.822978047064419e-05,2.23729123957906e-05,-1.3318516619941856
