gene,tissue,median_tpm,percentile_rank_among_54_tissues
FANCA,Artery_Aorta,0.58,28
FANCA,Artery_Coronary,0.73,31
FANCA,Artery_Tibial,0.32,6
FANCC,Artery_Aorta,2.89,46
FANCC,Artery_Coronary,3.05,56
FANCC,Artery_Tibial,2.58,39
FANCD2,Artery_Aorta,0.93,33
FANCD2,Artery_Coronary,1.20,46
FANCD2,Artery_Tibial,0.97,37
FANCG,Artery_Aorta,8.94,50
FANCG,Artery_Coronary,8.77,48
FANCG,Artery_Tibial,7.63,39
FANCI,Artery_Aorta,2.26,41
FANCI,Artery_Coronary,2.61,48
FANCI,Artery_Tibial,2.54,44
BRCA2,Artery_Aorta,0.52,80
BRCA2,Artery_Coronary,0.41,72
BRCA2,Artery_Tibial,0.30,59
RNF213,Artery_Aorta,23.17,78
RNF213,Artery_Coronary,22.13,70
RNF213,Artery_Tibial,17.82,50
