dismech_disorder	parent_mondo	parent_label	uncovered_child_mondo	child_label
22q11.2_Deletion_Syndrome	MONDO:0018923	22q11.2 deletion syndrome	MONDO:0007443	congenital unilateral hypoplasia of depressor anguli oris
22q11.2_Deletion_Syndrome	MONDO:0018923	22q11.2 deletion syndrome	MONDO:0008564	DiGeorge syndrome
22q11.2_Deletion_Syndrome	MONDO:0018923	22q11.2 deletion syndrome	MONDO:0008644	velocardiofacial syndrome
22q11.2_Deletion_Syndrome	MONDO:0018923	22q11.2 deletion syndrome	MONDO:0012740	chromosome 22q11.2 deletion syndrome, distal
3-Methylcrotonyl-CoA_Carboxylase_Deficiency	MONDO:0018950	3-methylcrotonyl-CoA carboxylase deficiency	MONDO:0008861	3-methylcrotonyl-CoA carboxylase 1 deficiency
3-Methylcrotonyl-CoA_Carboxylase_Deficiency	MONDO:0018950	3-methylcrotonyl-CoA carboxylase deficiency	MONDO:0008862	3-methylcrotonyl-CoA carboxylase 2 deficiency
46_XX_Gonadal_Dysgenesis	MONDO:0009299	46 XX gonadal dysgenesis	MONDO:0012734	SERKAL syndrome
46_XY_complete_gonadal_dysgenesis	MONDO:0010765	46,XY complete gonadal dysgenesis	MONDO:0007938	46,XY sex reversal 4
46_XY_complete_gonadal_dysgenesis	MONDO:0010765	46,XY complete gonadal dysgenesis	MONDO:0009301	46,XY sex reversal 7
46_XY_complete_gonadal_dysgenesis	MONDO:0010765	46,XY complete gonadal dysgenesis	MONDO:0010226	46,XY sex reversal 2
46_XY_complete_gonadal_dysgenesis	MONDO:0010765	46,XY complete gonadal dysgenesis	MONDO:0011766	46,XY gonadal dysgenesis-motor and sensory neuropathy syndrome
46_XY_complete_gonadal_dysgenesis	MONDO:0010765	46,XY complete gonadal dysgenesis	MONDO:0013066	46,XY sex reversal 3
46_XY_complete_gonadal_dysgenesis	MONDO:0010765	46,XY complete gonadal dysgenesis	MONDO:0013120	46,XY sex reversal 5
46_XY_complete_gonadal_dysgenesis	MONDO:0010765	46,XY complete gonadal dysgenesis	MONDO:0013410	46,XY sex reversal 6
46_XY_complete_gonadal_dysgenesis	MONDO:0010765	46,XY complete gonadal dysgenesis	MONDO:0013664	46,XY disorder of sex development due to testicular 17,20-desmolase deficiency
