disorder	mondo_id	n_dismech	n_kg	n_overlap	kg_only	dismech_only
15q11q13_Microduplication_Syndrome	MONDO:0012081	3	1	0	HGNC:12496(UBE3A)	HGNC:4079(GABRA5);HGNC:4083(GABRB3);HGNC:4088(GABRG3)
2-Methylbutyryl-CoA_Dehydrogenase_Deficiency	MONDO:0012392	1	1	1		
22q11.2_Deletion_Syndrome	MONDO:0018923	1	12	1	HGNC:1014(BCR);HGNC:10449(RREB1);HGNC:10705(SEC24C);HGNC:12313(JMJD1C);HGNC:12520(UFD1);HGNC:2228(COMT);HGNC:2363(CRKL);HGNC:4440(GP1BB);HGNC:4916(HIRA);HGNC:6871(MAPK1);HGNC:728(ARVCF)	
2q37_Microdeletion_Syndrome	MONDO:0010886	1	1	1		
3-Hydroxy-3-Methylglutaric_Aciduria	MONDO:0009520	1	1	1		
3-Hydroxy-3-Methylglutaryl-CoA_Synthase_Deficiency	MONDO:0011614	1	1	1		
3-Hydroxyisobutyryl-CoA_Hydrolase_Deficiency	MONDO:0009603	1	1	1		
3-Methylcrotonyl-CoA_Carboxylase_Deficiency	MONDO:0018950	2	2	2		
3-Methylglutaconic_Aciduria_Type_I	MONDO:0009610	1	1	1		
3-Phosphoglycerate_Dehydrogenase_Deficiency	MONDO:0011152	1	1	1		
46_XX_Gonadal_Dysgenesis	MONDO:0009299	11	16	10	HGNC:1081(BNC1);HGNC:12783(WNT4);HGNC:24669(FIGLA);HGNC:30349(POLR3H);HGNC:7327(MSH4);HGNC:7983(NR5A1)	HGNC:21484(MCM9)
46_XX_Testicular_DSD	MONDO:0100249	5	5	4	HGNC:7960(NR0B1)	HGNC:12796(WT1)
46_XY_DSD_Due_to_17_Beta_Hydroxysteroid_Dehydrogenase_3_Deficiency	MONDO:0009916	1	1	1		
46_XY_DSD_Due_to_5_Alpha_Reductase_2_Deficiency	MONDO:0009923	1	1	1		
46_XY_complete_gonadal_dysgenesis	MONDO:0010765	9	13	8	HGNC:12796(WT1);HGNC:1552(CBX2);HGNC:16700(ZFPM2);HGNC:385(AKR1C2);HGNC:387(AKR1C4)	HGNC:11203(SOX8)
5-Oxoprolinase_Deficiency	MONDO:0009825	1	1	1		
ACAD9_Deficiency	MONDO:0012624	1	1	1		
ADGRG1_Bilateral_Frontoparietal_Polymicrogyria	MONDO:0011738	1	1	1		
ADNP-Related_Syndrome	MONDO:0014379	1	1	1		
ADan_amyloidosis	MONDO:0007297	1	1	1		
AGAT_Deficiency	MONDO:0012996	1	1	1		
ALDH18A1_Cutis_Laxa	MONDO:0014706	1	1	1		
ALDH18A1_De_Barsy_Spectrum	MONDO:0100126	1	1	1		
ALG12_Congenital_Disorder_of_Glycosylation	MONDO:0011783	1	1	1		
ALG9-congenital_disorder_of_glycosylation	MONDO:0012117	1	1	1		
ALK_Rearranged_NSCLC	MONDO:0005233	2	1	0	HGNC:17098(DICER1)	HGNC:1316(EML4);HGNC:427(ALK)
ANK2_Ankyrin_B_Syndrome	MONDO:0010958	1	1	1		
