drug_id	drug_label	indication	disorder	mondo	status
NCIT:C102554	Trifluridine and Tipiracil Hydrochloride	metastatic colorectal cancer; metastatic gastric or gastroesophageal junction (GEJ) adenocarcinoma	HER2-Positive Colorectal Cancer	MONDO:0005575	MISSING_TREATMENT
NCIT:C102554	Trifluridine and Tipiracil Hydrochloride	metastatic colorectal cancer; metastatic gastric or gastroesophageal junction (GEJ) adenocarcinoma	MSI-High Colorectal Cancer	MONDO:0005575	MISSING_TREATMENT
NCIT:C102554	Trifluridine and Tipiracil Hydrochloride	metastatic colorectal cancer; metastatic gastric or gastroesophageal junction (GEJ) adenocarcinoma	Metastatic Colorectal Cancer	MONDO:0005575	MISSING_TREATMENT
NCIT:C102564	Capivasertib	hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative locally advanced or metastatic breast cancer with one or more PIK3CA/AKT1/PTEN-alterations	-	-	NO_DISORDER
NCIT:C102566	Mirvetuximab Soravtansine	adult patients with folate receptor alpha (FRα) positive, platinum-resistant epithelial ovarian, fallopian tube, or primary peritoneal cancer.	-	-	NO_DISORDER
NCIT:C102571	Epoetin Zeta	anemia due to chronic kidney disease (CKD); reduction of allogeneic red blood cell transfusions	Chronic Kidney Disease	MONDO:0005300	MISSING_TREATMENT
NCIT:C102758	Tisagenlecleucel	B-cell precursor acute lymphoblastic leukemia (ALL) that is refractory or in second or later relapse; relapsed or refractory large B-cell lymphoma, including diffuse large B-cell lymphoma (DLBCL) and high grade B-cell lymphoma and DLBCL arising from follicular lymphoma	Acute Lymphoblastic Leukemia	MONDO:0004967	MISSING_TREATMENT
NCIT:C102758	Tisagenlecleucel	B-cell precursor acute lymphoblastic leukemia (ALL) that is refractory or in second or later relapse; relapsed or refractory large B-cell lymphoma, including diffuse large B-cell lymphoma (DLBCL) and high grade B-cell lymphoma and DLBCL arising from follicular lymphoma	Diffuse Large B-Cell Lymphoma	MONDO:0018905	MISSING_TREATMENT
NCIT:C102758	Tisagenlecleucel	B-cell precursor acute lymphoblastic leukemia (ALL) that is refractory or in second or later relapse; relapsed or refractory large B-cell lymphoma, including diffuse large B-cell lymphoma (DLBCL) and high grade B-cell lymphoma and DLBCL arising from follicular lymphoma	Follicular Lymphoma	MONDO:0018906	COVERED
NCIT:C102758	Tisagenlecleucel	B-cell precursor acute lymphoblastic leukemia (ALL) that is refractory or in second or later relapse; relapsed or refractory large B-cell lymphoma, including diffuse large B-cell lymphoma (DLBCL) and high grade B-cell lymphoma and DLBCL arising from follicular lymphoma	Lymphoma	MONDO:0005062	MISSING_TREATMENT
NCIT:C102783	Sacituzumab Govitecan	patients with unresectable locally advanced or metastatic triple-negative breast cancer (mTNBC); advanced urothelial cancer.	Triple-Negative Breast Cancer	MONDO:0005494	COVERED
