drug_id	drug_label	indication	disorder	mondo	status
NCIT:C106250	Atezolizumab	the first-line treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have high PD-L1 expression (PD-L1 stained ≥ 50% of tumor cells [TC ≥ 50%] or PD-L1 stained tumor-infiltrating immune cells [IC] covering ≥ 10% of the tumor area [IC ≥ 10%]), with no EGFR or ALK genomic tumor aberrations.	Metastatic Non-Small Cell Lung Cancer	MONDO:0005233	MISSING_TREATMENT
NCIT:C106250	Atezolizumab	the first-line treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have high PD-L1 expression (PD-L1 stained ≥ 50% of tumor cells [TC ≥ 50%] or PD-L1 stained tumor-infiltrating immune cells [IC] covering ≥ 10% of the tumor area [IC ≥ 10%]), with no EGFR or ALK genomic tumor aberrations.	Non-Small Cell Lung Cancer	MONDO:0005233	MISSING_TREATMENT
NCIT:C106250	Atezolizumab	the first-line treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have high PD-L1 expression (PD-L1 stained ≥ 50% of tumor cells [TC ≥ 50%] or PD-L1 stained tumor-infiltrating immune cells [IC] covering ≥ 10% of the tumor area [IC ≥ 10%]), with no EGFR or ALK genomic tumor aberrations.	Small Cell Lung Cancer	MONDO:0008433	COVERED
NCIT:C106254	Tovorafenib	for patients 6 months of age and older with relapsed or refractory pediatric low-grade glioma (LGG) harboring a BRAF fusion or rearrangement, or BRAF V600 mutation.	-	-	NO_DISORDER
NCIT:C1064	Defibrotide Sodium	Thrombotic thrombocytopenic purpura; hepatic veno-occlusive disease (VOD)	-	-	NO_DISORDER
NCIT:C106432	Pembrolizumab	postmenopausal women with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative advanced or metastatic breast cancer; recurrent or metastatic head and neck squamous cell carcinoma (HNSCC); metastatic non-small cell lung cancer (NSCLC) whose tumors express PD-L1; unresectable or metastatic melanoma or melanoma with involvement of lymph node(s) following complete resection; metastatic small cell lung cancer (SCLC); advanced renal cell carcinoma (RCC); recurrent or metastatic cervical cancer; refractory primary mediastinal large B-cell lymphoma (PMBCL); urothelial cancer; hepatocellular carcinoma (HCC); recurrent locally advanced or metastatic Merkel cell carcinoma (MCC)	Aflatoxin-Related Hepatocellular Carcinoma	MONDO:0007256	MISSING_TREATMENT
NCIT:C106432	Pembrolizumab	postmenopausal women with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative advanced or metastatic breast cancer; recurrent or metastatic head and neck squamous cell carcinoma (HNSCC); metastatic non-small cell lung cancer (NSCLC) whose tumors express PD-L1; unresectable or metastatic melanoma or melanoma with involvement of lymph node(s) following complete resection; metastatic small cell lung cancer (SCLC); advanced renal cell carcinoma (RCC); recurrent or metastatic cervical cancer; refractory primary mediastinal large B-cell lymphoma (PMBCL); urothelial cancer; hepatocellular carcinoma (HCC); recurrent locally advanced or metastatic Merkel cell carcinoma (MCC)	Arsenic-Related Cancers	MONDO:0005096	MISSING_TREATMENT
NCIT:C106432	Pembrolizumab	postmenopausal women with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative advanced or metastatic breast cancer; recurrent or metastatic head and neck squamous cell carcinoma (HNSCC); metastatic non-small cell lung cancer (NSCLC) whose tumors express PD-L1; unresectable or metastatic melanoma or melanoma with involvement of lymph node(s) following complete resection; metastatic small cell lung cancer (SCLC); advanced renal cell carcinoma (RCC); recurrent or metastatic cervical cancer; refractory primary mediastinal large B-cell lymphoma (PMBCL); urothelial cancer; hepatocellular carcinoma (HCC); recurrent locally advanced or metastatic Merkel cell carcinoma (MCC)	Cervical Cancer	MONDO:0002974	COVERED
NCIT:C106432	Pembrolizumab	postmenopausal women with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative advanced or metastatic breast cancer; recurrent or metastatic head and neck squamous cell carcinoma (HNSCC); metastatic non-small cell lung cancer (NSCLC) whose tumors express PD-L1; unresectable or metastatic melanoma or melanoma with involvement of lymph node(s) following complete resection; metastatic small cell lung cancer (SCLC); advanced renal cell carcinoma (RCC); recurrent or metastatic cervical cancer; refractory primary mediastinal large B-cell lymphoma (PMBCL); urothelial cancer; hepatocellular carcinoma (HCC); recurrent locally advanced or metastatic Merkel cell carcinoma (MCC)	HPV-Negative Head and Neck Cancer	MONDO:0010150	MISSING_TREATMENT
NCIT:C106432	Pembrolizumab	postmenopausal women with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative advanced or metastatic breast cancer; recurrent or metastatic head and neck squamous cell carcinoma (HNSCC); metastatic non-small cell lung cancer (NSCLC) whose tumors express PD-L1; unresectable or metastatic melanoma or melanoma with involvement of lymph node(s) following complete resection; metastatic small cell lung cancer (SCLC); advanced renal cell carcinoma (RCC); recurrent or metastatic cervical cancer; refractory primary mediastinal large B-cell lymphoma (PMBCL); urothelial cancer; hepatocellular carcinoma (HCC); recurrent locally advanced or metastatic Merkel cell carcinoma (MCC)	Hepatocellular Carcinoma	MONDO:0007256	MISSING_TREATMENT
NCIT:C106432	Pembrolizumab	postmenopausal women with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative advanced or metastatic breast cancer; recurrent or metastatic head and neck squamous cell carcinoma (HNSCC); metastatic non-small cell lung cancer (NSCLC) whose tumors express PD-L1; unresectable or metastatic melanoma or melanoma with involvement of lymph node(s) following complete resection; metastatic small cell lung cancer (SCLC); advanced renal cell carcinoma (RCC); recurrent or metastatic cervical cancer; refractory primary mediastinal large B-cell lymphoma (PMBCL); urothelial cancer; hepatocellular carcinoma (HCC); recurrent locally advanced or metastatic Merkel cell carcinoma (MCC)	Lymphoma	MONDO:0005062	MISSING_TREATMENT
NCIT:C106432	Pembrolizumab	postmenopausal women with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative advanced or metastatic breast cancer; recurrent or metastatic head and neck squamous cell carcinoma (HNSCC); metastatic non-small cell lung cancer (NSCLC) whose tumors express PD-L1; unresectable or metastatic melanoma or melanoma with involvement of lymph node(s) following complete resection; metastatic small cell lung cancer (SCLC); advanced renal cell carcinoma (RCC); recurrent or metastatic cervical cancer; refractory primary mediastinal large B-cell lymphoma (PMBCL); urothelial cancer; hepatocellular carcinoma (HCC); recurrent locally advanced or metastatic Merkel cell carcinoma (MCC)	Merkel Cell Carcinoma	MONDO:0019210	COVERED
NCIT:C106432	Pembrolizumab	postmenopausal women with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative advanced or metastatic breast cancer; recurrent or metastatic head and neck squamous cell carcinoma (HNSCC); metastatic non-small cell lung cancer (NSCLC) whose tumors express PD-L1; unresectable or metastatic melanoma or melanoma with involvement of lymph node(s) following complete resection; metastatic small cell lung cancer (SCLC); advanced renal cell carcinoma (RCC); recurrent or metastatic cervical cancer; refractory primary mediastinal large B-cell lymphoma (PMBCL); urothelial cancer; hepatocellular carcinoma (HCC); recurrent locally advanced or metastatic Merkel cell carcinoma (MCC)	Metastatic Hepatocellular Carcinoma	MONDO:0007256	MISSING_TREATMENT
NCIT:C106432	Pembrolizumab	postmenopausal women with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative advanced or metastatic breast cancer; recurrent or metastatic head and neck squamous cell carcinoma (HNSCC); metastatic non-small cell lung cancer (NSCLC) whose tumors express PD-L1; unresectable or metastatic melanoma or melanoma with involvement of lymph node(s) following complete resection; metastatic small cell lung cancer (SCLC); advanced renal cell carcinoma (RCC); recurrent or metastatic cervical cancer; refractory primary mediastinal large B-cell lymphoma (PMBCL); urothelial cancer; hepatocellular carcinoma (HCC); recurrent locally advanced or metastatic Merkel cell carcinoma (MCC)	Metastatic Melanoma	MONDO:0005012	MISSING_TREATMENT
NCIT:C106432	Pembrolizumab	postmenopausal women with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative advanced or metastatic breast cancer; recurrent or metastatic head and neck squamous cell carcinoma (HNSCC); metastatic non-small cell lung cancer (NSCLC) whose tumors express PD-L1; unresectable or metastatic melanoma or melanoma with involvement of lymph node(s) following complete resection; metastatic small cell lung cancer (SCLC); advanced renal cell carcinoma (RCC); recurrent or metastatic cervical cancer; refractory primary mediastinal large B-cell lymphoma (PMBCL); urothelial cancer; hepatocellular carcinoma (HCC); recurrent locally advanced or metastatic Merkel cell carcinoma (MCC)	Metastatic Non-Small Cell Lung Cancer	MONDO:0005233	COVERED
NCIT:C106432	Pembrolizumab	postmenopausal women with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative advanced or metastatic breast cancer; recurrent or metastatic head and neck squamous cell carcinoma (HNSCC); metastatic non-small cell lung cancer (NSCLC) whose tumors express PD-L1; unresectable or metastatic melanoma or melanoma with involvement of lymph node(s) following complete resection; metastatic small cell lung cancer (SCLC); advanced renal cell carcinoma (RCC); recurrent or metastatic cervical cancer; refractory primary mediastinal large B-cell lymphoma (PMBCL); urothelial cancer; hepatocellular carcinoma (HCC); recurrent locally advanced or metastatic Merkel cell carcinoma (MCC)	Metastatic Renal Cell Carcinoma	MONDO:0005086	COVERED
NCIT:C106432	Pembrolizumab	postmenopausal women with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative advanced or metastatic breast cancer; recurrent or metastatic head and neck squamous cell carcinoma (HNSCC); metastatic non-small cell lung cancer (NSCLC) whose tumors express PD-L1; unresectable or metastatic melanoma or melanoma with involvement of lymph node(s) following complete resection; metastatic small cell lung cancer (SCLC); advanced renal cell carcinoma (RCC); recurrent or metastatic cervical cancer; refractory primary mediastinal large B-cell lymphoma (PMBCL); urothelial cancer; hepatocellular carcinoma (HCC); recurrent locally advanced or metastatic Merkel cell carcinoma (MCC)	Non-Small Cell Lung Cancer	MONDO:0005233	MISSING_TREATMENT
NCIT:C106432	Pembrolizumab	postmenopausal women with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative advanced or metastatic breast cancer; recurrent or metastatic head and neck squamous cell carcinoma (HNSCC); metastatic non-small cell lung cancer (NSCLC) whose tumors express PD-L1; unresectable or metastatic melanoma or melanoma with involvement of lymph node(s) following complete resection; metastatic small cell lung cancer (SCLC); advanced renal cell carcinoma (RCC); recurrent or metastatic cervical cancer; refractory primary mediastinal large B-cell lymphoma (PMBCL); urothelial cancer; hepatocellular carcinoma (HCC); recurrent locally advanced or metastatic Merkel cell carcinoma (MCC)	Renal Cell Carcinoma	MONDO:0005086	MISSING_TREATMENT
NCIT:C106432	Pembrolizumab	postmenopausal women with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative advanced or metastatic breast cancer; recurrent or metastatic head and neck squamous cell carcinoma (HNSCC); metastatic non-small cell lung cancer (NSCLC) whose tumors express PD-L1; unresectable or metastatic melanoma or melanoma with involvement of lymph node(s) following complete resection; metastatic small cell lung cancer (SCLC); advanced renal cell carcinoma (RCC); recurrent or metastatic cervical cancer; refractory primary mediastinal large B-cell lymphoma (PMBCL); urothelial cancer; hepatocellular carcinoma (HCC); recurrent locally advanced or metastatic Merkel cell carcinoma (MCC)	Small Cell Lung Cancer	MONDO:0008433	MISSING_TREATMENT
NCIT:C106432	Pembrolizumab	soft tissue sarcoma (STS)	-	-	NO_DISORDER
NCIT:C1071	Porfimer Sodium	Photosensitizer, bladder, esophagel, gastric, lung and rectal cancer	-	-	NO_DISORDER
NCIT:C1093	Etoposide Phosphate	Acute leukemia; Adrenal cortical cancer; Brain cancer; Chronic lymphocytic leukemia; Choriocarcinoma; Esophageal cancer; Ewings sarcoma; Gastric cancer; Germ cell cancer; Gestational trophoblastic neoplasms	Chronic Lymphocytic Leukemia	MONDO:0004948	MISSING_TREATMENT
