disorder	mondo_id	n_dismech	n_kg	exact	more_specific	more_general	unmatched	semantic_overlap	unmatched_terms
15q11q13_Microduplication_Syndrome	MONDO:0012081	18	34	5	1	5	7	11	HP:0000709(Psychosis);HP:0001270(Motor delay);HP:0002019(Constipation);HP:0002020(Gastroesophageal reflux);HP:0002360(Sleep disturbance);HP:0011968(Feeding difficulties);HP:0033258(Sudden unexpected death in epilepsy)
2-Methylbutyryl-CoA_Dehydrogenase_Deficiency	MONDO:0012392	11	16	7	0	3	1	10	HP:0001942(Metabolic acidosis)
22q11.2_Deletion_Syndrome	MONDO:0018923	11	234	6	3	2	0	11	
2q37_Microdeletion_Syndrome	MONDO:0010886	17	79	9	1	5	2	15	HP:0002119(Ventriculomegaly);HP:0002650(Scoliosis)
3-Hydroxy-3-Methylglutaric_Aciduria	MONDO:0009520	13	70	11	0	0	2	11	HP:0002059(Cerebral atrophy);HP:0006554(Acute hepatic failure)
3-Hydroxy-3-Methylglutaryl-CoA_Synthase_Deficiency	MONDO:0011614	17	21	10	3	0	4	13	HP:0001254(Lethargy);HP:0002789(Tachypnea);HP:0011900(Hypofibrinogenemia);HP:0031273(Shock)
3-Hydroxyisobutyryl-CoA_Hydrolase_Deficiency	MONDO:0009603	16	41	12	0	1	3	13	HP:0000252(Microcephaly);HP:0000648(Optic atrophy);HP:0001257(Spasticity)
3-Methylcrotonyl-CoA_Carboxylase_Deficiency	MONDO:0018950	6	70	6	0	0	0	6	
3-Methylglutaconic_Aciduria_Type_I	MONDO:0009610	8	32	8	0	0	0	8	
3-Phosphoglycerate_Dehydrogenase_Deficiency	MONDO:0011152	12	54	8	0	2	2	10	HP:0001251(Ataxia);HP:0003477(Peripheral axonal neuropathy)
46_XX_Gonadal_Dysgenesis	MONDO:0009299	9	63	9	0	0	0	9	
46_XX_Testicular_DSD	MONDO:0100249	8	29	5	1	0	2	6	HP:0000028(Cryptorchidism);HP:0000815(Hypergonadotropic hypogonadism)
46_XY_DSD_Due_to_17_Beta_Hydroxysteroid_Dehydrogenase_3_Deficiency	MONDO:0009916	14	15	14	0	0	0	14	
46_XY_DSD_Due_to_5_Alpha_Reductase_2_Deficiency	MONDO:0009923	13	14	13	0	0	0	13	
46_XY_complete_gonadal_dysgenesis	MONDO:0010765	11	99	5	3	0	3	8	HP:0000823(Delayed puberty);HP:0003187(Breast hypoplasia);HP:0004349(Reduced bone mineral density)
5-Oxoprolinase_Deficiency	MONDO:0009825	6	24	5	0	0	1	5	HP:0001510(Growth delay)
ACAD9_Deficiency	MONDO:0012624	9	36	3	0	1	5	4	HP:0000124(Renal tubular dysfunction);HP:0000648(Optic atrophy);HP:0001250(Seizure);HP:0012758(Neurodevelopmental delay);HP:0100543(Cognitive impairment)
ADGRG1_Bilateral_Frontoparietal_Polymicrogyria	MONDO:0011738	13	37	6	0	4	3	10	HP:0001252(Hypotonia);HP:0002353(EEG abnormality);HP:0003429(CNS hypomyelination)
ADNP-Related_Syndrome	MONDO:0014379	23	163	16	0	6	1	22	HP:0000365(Hearing impairment)
ADan_amyloidosis	MONDO:0007297	8	9	3	2	1	2	6	HP:0001260(Dysarthria);HP:0011999(Paranoia)
AGAT_Deficiency	MONDO:0012996	18	27	17	0	0	1	17	HP:0002059(Cerebral atrophy)
ALDH18A1_Cutis_Laxa	MONDO:0014706	16	33	7	0	2	7	9	HP:0002061(Lower limb spasticity);HP:0002119(Ventriculomegaly);HP:0002500(Abnormal cerebral white matter morphology);HP:0003467(Atlantoaxial instability);HP:0004322(Short stature);HP:0033725(Thin corpus callosum);HP:0034392(Joint contracture)
ALDH18A1_De_Barsy_Spectrum	MONDO:0100126	15	153	13	1	1	0	15	
ALG12_Congenital_Disorder_of_Glycosylation	MONDO:0011783	14	116	6	2	6	0	14	
ALG9-congenital_disorder_of_glycosylation	MONDO:0012117	17	114	16	0	1	0	17	
ALK_Rearranged_NSCLC	MONDO:0005233	2	11	0	0	0	2	0	HP:0030078(Lung adenocarcinoma);HP:0030692(Brain neoplasm)
AL_Amyloidosis	MONDO:0017816	13	0	0	0	0	13	0	HP:0000093(Proteinuria);HP:0000100(Nephrotic syndrome);HP:0000158(Macroglossia);HP:0001541(Ascites);HP:0001635(Congestive heart failure);HP:0001723(Restrictive cardiomyopathy);HP:0001824(Weight loss);HP:0002579(Gastrointestinal dysmotility);HP:0009830(Peripheral neuropathy);HP:0012332(Abnormal autonomic nervous system physiology);HP:0012378(Fatigue);HP:0025552(Periorbital purpura);HP:0033842(Early satiety)
ANK2_Ankyrin_B_Syndrome	MONDO:0010958	4	5	0	0	1	3	1	HP:0001663(Ventricular fibrillation);HP:0004756(Ventricular tachycardia);HP:0011704(Sick sinus syndrome)
ANK2_Related_Complex_Neurodevelopmental_Disorder	MONDO:0100038	3	999	3	0	0	0	3	
APL_PML_RARA	MONDO:0012883	9	38	9	0	0	0	9	
ARX-Related_Lissencephaly_and_Interneuronopathy	MONDO:0010268	15	41	9	2	1	3	12	HP:0002059(Cerebral atrophy);HP:0002134(Abnormal basal ganglia morphology);HP:0007256(Abnormal pyramidal sign)
AR_Cerebellar_Ataxia-Saccadic_Intrusion_Syndrome	MONDO:0011811	6	42	5	1	0	0	6	
ATRX_Syndrome	MONDO:0016980	17	136	13	2	2	0	17	
ATTR_Amyloidosis	MONDO:0007100	16	124	16	0	0	0	16	
Abdominal_Aortic_Aneurysm	MONDO:0005350	4	1	1	0	0	3	1	HP:0002027(Abdominal pain);HP:0003418(Back pain);HP:0031649(Aortic rupture)
Abetalipoproteinemia	MONDO:0008692	40	68	38	1	1	0	40	
Acatalasia	MONDO:0013571	7	17	5	0	1	1	6	HP:0012119(Methemoglobinemia)
Acetaminophen_Hepatotoxicity	MONDO:0018741	10	0	0	0	0	10	0	HP:0000952(Jaundice);HP:0001919(Acute kidney injury);HP:0001942(Metabolic acidosis);HP:0002017(Nausea and vomiting);HP:0002480(Hepatic encephalopathy);HP:0002516(Increased intracranial pressure);HP:0002910(Elevated circulating hepatic transaminase concentration);HP:0006554(Acute hepatic failure);HP:0008151(Prolonged prothrombin time);HP:0031273(Shock)
Achondrogenesis_Type_II	MONDO:0008702	24	47	17	1	0	6	18	HP:0000470(Short neck);HP:0001591(Bell-shaped thorax);HP:0002643(Neonatal respiratory distress);HP:0002878(Respiratory failure);HP:0003016(Metaphyseal widening);HP:0004482(Relative macrocephaly)
Achondroplasia	MONDO:0007037	44	71	33	3	0	8	36	HP:0000750(Delayed speech and language development);HP:0002318(Cervical myelopathy);HP:0002650(Scoliosis);HP:0005070(Proximal radial head dislocation);HP:0009763(Limb pain);HP:0011220(Prominent forehead);HP:0031353(Otitis media with effusion);HP:0034391(Elbow contracture)
Achoo_Syndrome	MONDO:0007038	1	1	1	0	0	0	1	
Achromatopsia	MONDO:0018852	8	45	7	1	0	0	8	
Acne_Vulgaris	MONDO:0011438	6	1	0	0	0	6	0	HP:0000953(Hyperpigmentation of the skin);HP:0001075(Atrophic scars);HP:0030350(Erythematous papule);HP:0033188(Cystic acne);HP:0040137(Comedonal acne);HP:0200039(Pustule)
