entry	genes	mf_terms	reactions	biomarkers	concordant	matched
Dopa_Responsive_Dystonia	0	2	2	2	0	
Sanfilippo_syndrome	0	4	2	3	0	
Acute_Intermittent_Porphyria	1	2	2	4	4	Urinary 5-aminolevulinic acid (CHEBI:17549); Urinary porphobilinogen (CHEBI:17381); Plasma 5-aminolevulinic acid (CHEBI:17549); Plasma porphobilinogen (CHEBI:17381)
Arginase_Deficiency	1	1	1	5	3	Plasma arginine (CHEBI:32682); Ornithine (CHEBI:46911); Urea (CHEBI:16199)
Guanidinoacetate_Methyltransferase_Deficiency	1	1	1	3	3	Guanidinoacetate (CHEBI:131444); Creatine (CHEBI:16919); Creatine on brain MRS (CHEBI:16919)
Asparagine_Synthetase_Deficiency	1	1	1	2	2	Cerebrospinal-fluid asparagine (CHEBI:17196); Plasma asparagine (CHEBI:17196)
Infantile_Cataract_Skin_Abnormalities_Glutamate_Excess_and_Impaired_Intellectual_Development	1	1	1	3	2	Urine glutamate (CHEBI:29985); Brain glutamate (MR spectroscopic imaging) (CHEBI:29985)
Inherited_Threoninemia	1	1	1	2	2	Plasma threonine (CHEBI:16857); Urinary threonine (CHEBI:16857)
Phenylketonuria	1	1	1	3	2	Blood Phenylalanine (CHEBI:58095); Blood Tyrosine (CHEBI:58315)
Sorbitol_Dehydrogenase_Deficiency	1	1	2	2	2	Elevated Fasting Serum Sorbitol (CHEBI:17924); Elevated Urine Sorbitol and Xylitol (CHEBI:17924)
Wolman_Disease	1	2	38	2	2	Cholesteryl ester storage burden (CHEBI:17002); Triglyceride storage burden (CHEBI:17855)
5-Oxoprolinase_Deficiency	1	1	1	1	1	Increased urinary 5-oxoproline (CHEBI:18183)
AGAT_Deficiency	1	1	1	2	1	Urine and plasma guanidinoacetate (CHEBI:16344)
AHCY_Deficiency	1	2	1	3	1	Elevated S-adenosyl-L-homocysteine (CHEBI:16680)
Alkaptonuria	1	1	1	1	1	Increased urinary homogentisic acid (CHEBI:44747)
Apparent_Mineralocorticoid_Excess	1	1	6	1	1	Urinary cortisol-to-cortisone metabolite ratio (CHEBI:17650)
Aromatase_Deficiency	1	1	2	4	1	Serum Testosterone (CHEBI:17347)
Aromatase_Excess_Syndrome	1	1	2	2	1	Serum Estrone (CHEBI:17263)
Citrullinemia_Type_I	1	1	1	6	1	Argininosuccinate (CHEBI:15682)
Combined_Malonic_and_Methylmalonic_Aciduria	1	2	1	2	1	Malonic acid (CHEBI:30794)
Crigler-Najjar_Syndrome	1	1	65	1	1	Unconjugated Bilirubin (CHEBI:16990)
Diaphyseal_Medullary_Stenosis_With_Malignant_Fibrous_Histiocytoma	1	1	1	1	1	Serum methylthioadenosine (CHEBI:17509)
Dimethylglycine_Dehydrogenase_Deficiency	1	3	1	1	1	N,N-dimethylglycine (CHEBI:58251)
Global_Developmental_Delay_Progressive_Ataxia_and_Elevated_Glutamine	1	1	1	2	1	Plasma glutamate (CHEBI:29985)
Glutathione_Synthetase_Deficiency	1	1	1	2	1	Reduced erythrocyte glutathione (CHEBI:16856)
Hereditary_Orotic_Aciduria	1	2	2	1	1	Elevated urinary orotic acid (CHEBI:16742)
Hyperprolinemia_Type_1	1	1	1	1	1	Plasma proline elevation (CHEBI:17203)
Isolated_Sulfite_Oxidase_Deficiency	1	3	1	6	1	Urinary sulfite (CHEBI:17359)
N-Acetylglutamate_Synthase_Deficiency	1	1	1	5	1	N-acetylglutamate (NAG) (CHEBI:44337)
PNPO_Deficiency	1	1	2	1	1	Low CSF Pyridoxal 5-Phosphate (CHEBI:18405)
PRPS1_Superactivity	1	1	1	3	1	Increased PRPP and purine nucleotide synthesis (CHEBI:17111)
Porphyria-Related_Leukoencephalopathy	1	1	1	1	1	Cerebrospinal fluid porphobilinogen (CHEBI:17381)
