species/code,symbol
human,CPE
human,GAD1
human,GAD2
human,GZMB
human,HLA-A
human,HLA-B
human,HLA-C
human,HLA-DMA
human,HLA-DMB
human,HLA-DOA
human,HLA-DOB
human,HLA-DPA1
human,HLA-DPB1
human,HLA-DQA1
human,HLA-DQA2
human,HLA-DQB1
human,HLA-DRA
human,HLA-DRB1
human,HLA-DRB3
human,HLA-DRB4
human,HLA-DRB5
human,HLA-E
human,HLA-F
human,HLA-G
human,HSPD1
human,ICA1
human,IFNG
human,FAS
human,IL1A
human,IL1B
human,IL2
human,FASLG
human,IL12A
human,IL12B
human,INS
human,LTA
human,PRF1
human,PTPRN
human,PTPRN2
human,TNF
human,CD28
human,CD80
human,CD86
