class_id	class_label	total	present	absent	coverage_pct	module_hint
NCIT:C2139	Immunostimulant	4	0	4	0	-
NCIT:C579	Inorganic Chemical	4	0	4	0	-
NCIT:C172200	JAK Inhibitor	4	0	4	0	-
NCIT:C125450	JAK2 Inhibitor	4	0	4	0	-
NCIT:C699	Nitrosourea Compound	4	0	4	0	-
NCIT:C2152	Phosphatidylinositide 3-Kinase Inhibitor	4	0	4	0	-
NCIT:C1420	Photosensitizing Agent	4	0	4	0	-
NCIT:C1511	Radioimmunoconjugate	4	0	4	0	-
NCIT:C593	Recombinant Interleukin	4	0	4	0	-
NCIT:C186719	Regimen Used to Treat Lymphocytic Neoplasm	4	0	4	0	-
NCIT:C203470	Regimen Used to Treat Malignant Digestive System Neoplasm	4	0	4	0	-
NCIT:C63360	Regimen Used to Treat Non-Small Cell Lung Carcinoma	4	0	4	0	-
NCIT:C1904	Topoisomerase-I Inhibitor	4	0	4	0	-
NCIT:C213309	Virus-based Gene Therapy Agent	4	0	4	0	-
NCIT:C28197	Antianxiety Agent	4	1	3	25	-
NCIT:C29710	Antipsychotic Agent	4	1	3	25	-
NCIT:C280	Antitubercular Agent	4	1	3	25	-
NCIT:C1740	Aromatase Inhibitor	4	1	3	25	-
NCIT:C155700	BCR-ABL Inhibitor	4	1	3	25	-
NCIT:C124801	BTK Inhibitor	4	1	3	25	-
NCIT:C163774	BTK-targeting Agent	4	1	3	25	-
NCIT:C200714	Carbonyl Compound	4	1	3	25	-
NCIT:C292	Ethylenimine Compound	4	1	3	25	-
NCIT:C1946	Histone Deacetylase Inhibitor	4	1	3	25	-
NCIT:C575	Immunotoxin	4	1	3	25	-
NCIT:C97452	Nucleoside Reverse Transcriptase Inhibitor	4	1	3	25	-
NCIT:C78568	Prostaglandin Analogue	4	1	3	25	-
NCIT:C94725	Selective Serotonin Reuptake Inhibitor	4	1	3	25	-
NCIT:C29707	Vasodilating Agent	4	1	3	25	-
NCIT:C143099	c-Met Inhibitor	4	1	3	25	-
NCIT:C155322	BRAF Inhibitor	4	2	2	50	-
NCIT:C784	Protein Synthesis Inhibitor	4	2	2	50	bacterial_protein_synthesis_inhibition
NCIT:C944	Vitamin	4	2	2	50	-
NCIT:C26017	Vitamin, Other	4	2	2	50	-
NCIT:C128057	Anti-PD-L1 Monoclonal Antibody	4	3	1	75	-
NCIT:C2163	DNA Adduct Forming Agent	4	3	1	75	-
NCIT:C54677	Indole Compound	4	3	1	75	-
NCIT:C156893	PD-1 Ligand Inhibitor	4	3	1	75	-
NCIT:C191689	PD-L1 Inhibitor	4	3	1	75	-
NCIT:C155764	AKT Inhibitor	3	0	3	0	-
NCIT:C47792	Acetylcholinesterase Inhibitor	3	0	3	0	-
NCIT:C204256	Adenovirus Serotype 5-based Therapeutic Agent	3	0	3	0	-
NCIT:C87053	Adrenergic Agonist	3	0	3	0	-
NCIT:C72900	Adrenergic Antagonist	3	0	3	0	-
NCIT:C268	Antigen	3	0	3	0	-
NCIT:C1663	Antineoplastic Vaccine	3	0	3	0	-
NCIT:C1327	Antiplatelet Agent	3	0	3	0	-
NCIT:C181111	BCMA-targeting Agent	3	0	3	0	-
NCIT:C48149	Beta-Adrenergic Agonist	3	0	3	0	-
NCIT:C2459	Chemoprotective Agent	3	0	3	0	-
NCIT:C192741	Cyclin-Dependent Kinase 4 Inhibitor	3	0	3	0	-
NCIT:C192742	Cyclin-Dependent Kinase 6 Inhibitor	3	0	3	0	-
NCIT:C2185	Cyclin-Dependent Kinase Inhibitor	3	0	3	0	-
NCIT:C25760	DNA Crosslinking Agent	3	0	3	0	-
NCIT:C188731	Hedgehog Pathway Inhibitor	3	0	3	0	-
NCIT:C47933	Isotope	3	0	3	0	-
NCIT:C2578	Low Molecular Weight Heparin	3	0	3	0	-
NCIT:C1506	Opioid	3	0	3	0	-
NCIT:C87006	Pharmacological Chaperone	3	0	3	0	-
NCIT:C799	Radioisotope	3	0	3	0	-
NCIT:C65070	Regimen Used to Treat Cervical Carcinoma	3	0	3	0	-
NCIT:C63719	Regimen Used to Treat Esophageal Carcinoma	3	0	3	0	-
NCIT:C173974	Regimen Used to Treat Leukemia	3	0	3	0	-
NCIT:C63587	Regimen Used to Treat Malignant Head and Neck Neoplasm	3	0	3	0	-
NCIT:C159893	Regimen Used to Treat Malignant Intestinal Neoplasm	3	0	3	0	-
NCIT:C156290	Regimen Used to Treat Malignant Neuroendocrine and Adrenal Neoplasm	3	0	3	0	-
NCIT:C63522	Regimen Used to Treat Malignant Ovarian Neoplasm	3	0	3	0	-
NCIT:C63524	Regimen Used to Treat Melanoma	3	0	3	0	-
NCIT:C63502	Regimen Used to Treat Pancreatic Carcinoma	3	0	3	0	-
NCIT:C63496	Regimen Used to Treat Plasma Cell Myeloma	3	0	3	0	-
NCIT:C159460	Regimen Used to Treat Plasma Cell Neoplasm	3	0	3	0	-
NCIT:C28428	Retired Concept	3	0	3	0	-
NCIT:C155725	Smoothened Antagonist	3	0	3	0	-
NCIT:C862	Therapeutic Testosterone	3	0	3	0	-
NCIT:C210737	Thrombopoietin Receptor Agonist	3	0	3	0	-
