class_id	class_label	total	present	absent	coverage_pct	module_hint
NCIT:C75525	Anti-CD25 Monoclonal Antibody	1	0	1	0	-
NCIT:C72960	Anti-CD52 Monoclonal Antibody	1	0	1	0	-
NCIT:C2456	Anti-CEA Antibody	1	0	1	0	-
NCIT:C198645	Anti-CSF1R Monoclonal Antibody	1	0	1	0	-
NCIT:C200615	Anti-DLL3 Monoclonal Antibody	1	0	1	0	-
NCIT:C200086	Anti-FOLR1 Antibody-drug Conjugate	1	0	1	0	-
NCIT:C199386	Anti-HER3 Monoclonal Antibody	1	0	1	0	-
NCIT:C1660	Anti-HIV Agent	1	0	1	0	-
NCIT:C134305	Anti-LAG-3 Monoclonal Antibody	1	0	1	0	-
NCIT:C164036	Anti-PDGFR Monoclonal Antibody	1	0	1	0	-
NCIT:C158974	Anti-SLAMF7 Monoclonal Antibody	1	0	1	0	-
NCIT:C207757	Anti-TGF-beta Monoclonal Antibody	1	0	1	0	-
NCIT:C29712	Anti-asthmatic Agent	1	0	1	0	-
NCIT:C201552	Anti-c-Met Antibody-drug Conjugate	1	0	1	0	-
NCIT:C47793	Antiarrhythmic Agent	1	0	1	0	-
NCIT:C16295	Antibody	1	0	1	0	-
NCIT:C271	Antimalarial Agent	1	0	1	0	-
NCIT:C38149	Antiparkinsonian Agent	1	0	1	0	-
NCIT:C1291	Antisense Oligonucleotides	1	0	1	0	-
NCIT:C129839	Apoptotic Pathway-targeting Antineoplastic Agent	1	0	1	0	-
NCIT:C159200	BCL-2 Inhibitor	1	0	1	0	-
NCIT:C199627	BMX Inhibitor	1	0	1	0	-
NCIT:C14187	Bacteria	1	0	1	0	-
NCIT:C67084	Barbiturate	1	0	1	0	-
NCIT:C192025	Bcl-2 Family Protein Inhibitor	1	0	1	0	-
NCIT:C29576	Beta-Adrenergic Antagonist	1	0	1	0	-
NCIT:C2077	Bioreductive Agent	1	0	1	0	-
NCIT:C2311	Bleomycin Antibiotic	1	0	1	0	-
NCIT:C190412	Bradykinin Receptor Antagonist	1	0	1	0	-
NCIT:C319	Bronchodilator	1	0	1	0	-
NCIT:C219650	CD25-targeting Agent	1	0	1	0	-
NCIT:C200043	CEA-targeting Agent	1	0	1	0	-
NCIT:C173023	COVID-19 Vaccine	1	0	1	0	-
NCIT:C198646	CSF1R Inhibitor	1	0	1	0	-
NCIT:C107589	CXCR4 Inhibitor	1	0	1	0	-
NCIT:C215099	CXCR4-targeting Agent	1	0	1	0	-
NCIT:C333	Calcium Channel Blocker	1	0	1	0	-
NCIT:C78322	Cardiotonic Agent	1	0	1	0	-
NCIT:C351	Carotenoid	1	0	1	0	-
NCIT:C357	Cephalosporin Antibiotic	1	0	1	0	-
NCIT:C2141	Chemo Immunostimulant Adjuvant	1	0	1	0	-
NCIT:C63817	Chemokine Receptor Antagonist	1	0	1	0	-
NCIT:C66913	Cholagogues or Choleretic Agents	1	0	1	0	-
NCIT:C2080	Cytoprotective Agent	1	0	1	0	-
NCIT:C200611	DLL3-targeting Agent	1	0	1	0	-
NCIT:C214992	DM1-containing Antibody-drug Conjugate	1	0	1	0	-
NCIT:C214993	DM4-containing Antibody-drug Conjugate	1	0	1	0	-
NCIT:C68442	Dietary Amino Acid	1	0	1	0	-
NCIT:C68441	Dietary Protein	1	0	1	0	-
NCIT:C66884	Dopamine Agonist	1	0	1	0	-
NCIT:C66883	Dopamine Antagonist	1	0	1	0	-
NCIT:C17423	Drug Delivery System	1	0	1	0	-
NCIT:C174048	ERK Inhibitor	1	0	1	0	-
NCIT:C156804	EZH2 Inhibitor	1	0	1	0	-
NCIT:C29730	Electrolyte Replacement Agent	1	0	1	0	-
NCIT:C28313	Endothelin Receptor Antagonist	1	0	1	0	-
NCIT:C85932	Enterobacteriaceae	1	0	1	0	-
NCIT:C217661	EpCAM-targeting Agent	1	0	1	0	-
NCIT:C2584	Epothilone B Analogue	1	0	1	0	-
NCIT:C1922	Epothilone Compound	1	0	1	0	-
NCIT:C2293	Estrogen	1	0	1	0	-
NCIT:C1558	Extended Spectrum Penicillin Antibiotic	1	0	1	0	-
NCIT:C199169	FAK Inhibitor	1	0	1	0	-
NCIT:C200114	FOLR1-targeting Agent	1	0	1	0	-
NCIT:C492	Fatty Acid	1	0	1	0	-
NCIT:C200529	Gamma-Secretase Inhibitor	1	0	1	0	-
NCIT:C2516	Geldanamycin Analogue	1	0	1	0	-
